epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/recall
,0.0003,0.0003,0,,,,,,,,,,,
0,,,19,,,1.9692648649215698,,,,,,,,
0,,,39,,,0.8692609071731567,,,,,,,,
0,,,59,,,1.223487377166748,,,,,,,,
0,,,79,,,1.080446720123291,,,,,,,,
0,,,99,,,0.8916312456130981,,,,,,,,
0,,,119,,,1.0018333196640015,,,,,,,,
0,,,139,,,0.9324736595153809,,,,,,,,
0,,,159,,,1.4968961477279663,,,,,,,,
0,,,179,,,1.18264639377594,,,,,,,,
0,,,199,,,1.2595069408416748,,,,,,,,
0,,,219,,,0.7004978060722351,,,,,,,,
0,,,239,,,0.8362568616867065,,,,,,,,
0,,,259,,,0.8730422258377075,,,,,,,,
0,,,279,,,1.0934197902679443,,,,,,,,
0,,,299,,,0.7417343258857727,,,,,,,,
0,,,319,,,2.2172799110412598,,,,,,,,
0,,,339,,,0.876812219619751,,,,,,,,
0,,,359,,,0.9912976026535034,,,,,,,,
0,,,379,,,1.1659424304962158,,,,,,,,
0,,,399,,,1.5909144878387451,,,,,,,,
0,,,419,,,0.4764118492603302,,,,,,,,
0,,,439,,,1.113213300704956,,,,,,,,
0,,,459,,,0.6037518978118896,,,,,,,,
0,,,479,,,1.3150923252105713,,,,,,,,
0,,,499,,,0.9363365173339844,,,,,,,,
0,,,519,,,1.5158969163894653,,,,,,,,
0,,,539,,,1.5039646625518799,,,,,,,,
0,,,559,,,0.8247317671775818,,,,,,,,
0,,,579,,,1.5021424293518066,,,,,,,,
0,,,599,,,0.795991063117981,,,,,,,,
0,,,619,,,0.5230287313461304,,,,,,,,
0,,,639,,,0.9968937635421753,,,,,,,,
0,,,659,,,0.9854377508163452,,,,,,,,
0,,,679,,,1.4456191062927246,,,,,,,,
0,,,699,,,0.985554575920105,,,,,,,,
0,,,719,,,0.7582855224609375,,,,,,,,
0,,,739,,,0.8211416602134705,,,,,,,,
0,,,759,,,1.4806194305419922,,,,,,,,
0,,,779,,,1.870753288269043,,,,,,,,
0,,,799,,,0.8341007232666016,,,,,,,,
0,,,819,,,1.9672503471374512,,,,,,,,
0,,,839,,,0.8937604427337646,,,,,,,,
0,,,859,,,0.6990407109260559,,,,,,,,
0,,,879,,,1.4124069213867188,,,,,,,,
0,,,899,,,1.3455263376235962,,,,,,,,
0,,,919,,,0.8688222765922546,,,,,,,,
0,,,939,,,1.0051743984222412,,,,,,,,
0,,,959,,,0.7749461531639099,,,,,,,,
0,,,979,,,0.9354125261306763,,,,,,,,
0,,,999,,,0.4113772511482239,,,,,,,,
0,,,1019,,,1.2144855260849,,,,,,,,
0,,,1039,,,0.6553181409835815,,,,,,,,
0,,,1059,,,2.5235486030578613,,,,,,,,
0,,,1079,,,0.9802109003067017,,,,,,,,
0,,,1099,,,1.1362459659576416,,,,,,,,
0,,,1119,,,0.900492787361145,,,,,,,,
0,,,1139,,,0.6682031750679016,,,,,,,,
0,,,1159,,,0.6583446860313416,,,,,,,,
0,,,1179,,,0.7034163475036621,,,,,,,,
0,,,1199,,,0.6634639501571655,,,,,,,,
0,,,1219,,,0.6538183689117432,,,,,,,,
0,,,1239,,,0.9506150484085083,,,,,,,,
0,,,1259,,,0.9972759485244751,,,,,,,,
0,,,1279,,,0.6151572465896606,,,,,,,,
0,,,1299,,,1.9166606664657593,,,,,,,,
0,,,1319,,,2.3452234268188477,,,,,,,,
0,,,1339,,,0.8683949112892151,,,,,,,,
0,,,1359,,,1.299098014831543,,,,,,,,
0,,,1379,,,0.8256047368049622,,,,,,,,
0,,,1399,,,1.2610447406768799,,,,,,,,
0,,,1419,,,0.8472206592559814,,,,,,,,
0,,,1439,,,0.9571353793144226,,,,,,,,
0,,,1459,,,0.2680450975894928,,,,,,,,
0,,,1479,,,2.057094097137451,,,,,,,,
0,,,1499,,,1.7115973234176636,,,,,,,,
0,,,1519,,,0.8549811840057373,,,,,,,,
0,,,1539,,,1.116416573524475,,,,,,,,
0,,,1559,,,0.9195238351821899,,,,,,,,
0,,,1579,,,0.1064901128411293,,,,,,,,
0,,,1599,,,0.3464812636375427,,,,,,,,
0,,,1619,,,0.8966326117515564,,,,,,,,
0,,,1639,,,0.8859879970550537,,,,,,,,
0,,,1659,,,0.8477996587753296,,,,,,,,
0,,,1679,,,0.736146092414856,,,,,,,,
0,,,1699,,,0.5724817514419556,,,,,,,,
0,,,1719,,,0.81634521484375,,,,,,,,
0,,,1739,,,0.6753466129302979,,,,,,,,
0,,,1759,,,0.9046971797943115,,,,,,,,
0,,,1779,,,0.8155984878540039,,,,,,,,
0,,,1799,,,1.3198628425598145,,,,,,,,
0,,,1819,,,0.7130143642425537,,,,,,,,
0,,,1839,,,1.031739592552185,,,,,,,,
0,,,1859,,,1.438654899597168,,,,,,,,
0,,,1879,,,1.152024745941162,,,,,,,,
0,,,1899,,,1.0821088552474976,,,,,,,,
0,,,1919,,,1.1279191970825195,,,,,,,,
0,,,1939,,,0.7562094926834106,,,,,,,,
0,,,1959,,,0.36312469840049744,,,,,,,,
0,,,1979,,,1.423401117324829,,,,,,,,
0,,,1999,,,0.7308859825134277,,,,,,,,
0,,,2019,,,0.6907532811164856,,,,,,,,
0,,,2039,,,0.6915808916091919,,,,,,,,
0,,,2059,,,0.866118311882019,,,,,,,,
0,,,2079,,,0.7125539779663086,,,,,,,,
0,,,2099,,,0.8620060682296753,,,,,,,,
0,,,2119,,,2.968675374984741,,,,,,,,
0,,,2139,,,0.9617264866828918,,,,,,,,
0,,,2159,,,0.5125123262405396,,,,,,,,
0,,,2179,,,0.5642645359039307,,,,,,,,
0,,,2199,,,1.256803274154663,,,,,,,,
0,,,2219,,,0.700275182723999,,,,,,,,
0,,,2239,,,0.7996043562889099,,,,,,,,
0,,,2259,,,1.1892666816711426,,,,,,,,
0,,,2279,,,0.7810726761817932,,,,,,,,
0,,,2299,,,0.9836223125457764,,,,,,,,
0,,,2319,,,0.5617706775665283,,,,,,,,
0,,,2339,,,1.9102833271026611,,,,,,,,
0,,,2359,,,0.7364858388900757,,,,,,,,
0,,,2379,,,0.5498065948486328,,,,,,,,
0,,,2399,,,0.3572978973388672,,,,,,,,
0,,,2419,,,1.0079014301300049,,,,,,,,
0,,,2439,,,0.6128404140472412,,,,,,,,
0,,,2459,,,1.285767674446106,,,,,,,,
0,,,2479,,,1.2994616031646729,,,,,,,,
0,,,2499,,,3.5126359462738037,,,,,,,,
0,,,2519,,,0.8840705156326294,,,,,,,,
0,,,2539,,,0.4236714243888855,,,,,,,,
0,,,2559,,,0.6680483818054199,,,,,,,,
0,,,2579,,,0.9095502495765686,,,,,,,,
0,,,2599,,,0.6784433126449585,,,,,,,,
0,,,2619,,,1.6195013523101807,,,,,,,,
0,,,2639,,,0.4434713125228882,,,,,,,,
0,,,2659,,,0.8676329851150513,,,,,,,,
0,,,2679,,,0.6015329360961914,,,,,,,,
0,,,2699,,,1.4898425340652466,,,,,,,,
0,,,2719,,,0.40686988830566406,,,,,,,,
0,,,2739,,,0.43227264285087585,,,,,,,,
0,,,2759,,,2.4975030422210693,,,,,,,,
0,,,2779,,,0.511025071144104,,,,,,,,
0,,,2785,,,,0.08658137172460556,0.0,0.1374586522579193,1.1108149290084839,0.3333333432674408,0.0,0.2597441077232361,0.08658137172460556
0,,,2785,0.41238343715667725,1.0238211154937744,,,,,,,,,
