epoch,lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,5.9999999999999995e-05,5.9999999999999995e-05,6e-06,0,,,,,,,,,,,,,,,
0,,,,19,,,0.9371259808540344,,,,,,,,,,,,
0,,,,39,,,0.7008092999458313,,,,,,,,,,,,
0,,,,59,,,0.9133351445198059,,,,,,,,,,,,
0,,,,79,,,0.6893168091773987,,,,,,,,,,,,
0,,,,99,,,0.6410144567489624,,,,,,,,,,,,
0,,,,119,,,0.6596677303314209,,,,,,,,,,,,
0,,,,139,,,0.5443342328071594,,,,,,,,,,,,
0,,,,159,,,0.7567324042320251,,,,,,,,,,,,
0,,,,179,,,0.5092892646789551,,,,,,,,,,,,
0,,,,199,,,0.607774555683136,,,,,,,,,,,,
0,,,,219,,,0.7886909246444702,,,,,,,,,,,,
0,,,,239,,,0.6089205741882324,,,,,,,,,,,,
0,,,,259,,,0.640217661857605,,,,,,,,,,,,
0,,,,279,,,0.6409028172492981,,,,,,,,,,,,
0,,,,299,,,0.6407021284103394,,,,,,,,,,,,
0,,,,319,,,0.5811216831207275,,,,,,,,,,,,
0,,,,339,,,0.5423247814178467,,,,,,,,,,,,
0,,,,359,,,0.5328912734985352,,,,,,,,,,,,
0,,,,379,,,0.6223700642585754,,,,,,,,,,,,
0,,,,399,,,0.9542962908744812,,,,,,,,,,,,
0,,,,419,,,0.8829216361045837,,,,,,,,,,,,
0,,,,439,,,0.8524383306503296,,,,,,,,,,,,
0,,,,459,,,0.7700337171554565,,,,,,,,,,,,
0,,,,479,,,0.6014977097511292,,,,,,,,,,,,
0,,,,499,,,0.6275568008422852,,,,,,,,,,,,
0,,,,519,,,0.29221269488334656,,,,,,,,,,,,
0,,,,539,,,0.5635332465171814,,,,,,,,,,,,
0,,,,559,,,0.8626430630683899,,,,,,,,,,,,
0,,,,579,,,0.8478832244873047,,,,,,,,,,,,
0,,,,599,,,0.3784092664718628,,,,,,,,,,,,
0,,,,619,,,1.1113951206207275,,,,,,,,,,,,
0,,,,639,,,0.42491060495376587,,,,,,,,,,,,
0,,,,659,,,0.5925658345222473,,,,,,,,,,,,
0,,,,679,,,0.7342802882194519,,,,,,,,,,,,
0,,,,699,,,0.39631393551826477,,,,,,,,,,,,
0,,,,719,,,0.6643410921096802,,,,,,,,,,,,
0,,,,739,,,0.3988063335418701,,,,,,,,,,,,
0,,,,759,,,0.32722291350364685,,,,,,,,,,,,
0,,,,779,,,0.6926290988922119,,,,,,,,,,,,
0,,,,799,,,0.3149721026420593,,,,,,,,,,,,
0,,,,819,,,0.4717649519443512,,,,,,,,,,,,
0,,,,839,,,0.4724257290363312,,,,,,,,,,,,
0,,,,859,,,0.6350508332252502,,,,,,,,,,,,
0,,,,879,,,0.9685155153274536,,,,,,,,,,,,
0,,,,899,,,0.39636656641960144,,,,,,,,,,,,
0,,,,919,,,0.5969108939170837,,,,,,,,,,,,
0,,,,939,,,0.37488293647766113,,,,,,,,,,,,
0,,,,959,,,0.6052075624465942,,,,,,,,,,,,
0,,,,979,,,0.3261837065219879,,,,,,,,,,,,
0,,,,999,,,0.6097211241722107,,,,,,,,,,,,
0,,,,1019,,,0.5441345572471619,,,,,,,,,,,,
0,,,,1039,,,0.6086327433586121,,,,,,,,,,,,
0,,,,1059,,,0.48970815539360046,,,,,,,,,,,,
0,,,,1079,,,0.6804277896881104,,,,,,,,,,,,
0,,,,1099,,,0.472076952457428,,,,,,,,,,,,
0,,,,1119,,,0.38956233859062195,,,,,,,,,,,,
0,,,,1139,,,0.571155309677124,,,,,,,,,,,,
0,,,,1159,,,0.5270925164222717,,,,,,,,,,,,
0,,,,1179,,,0.28537026047706604,,,,,,,,,,,,
0,,,,1199,,,0.713874101638794,,,,,,,,,,,,
0,,,,1219,,,0.4071158170700073,,,,,,,,,,,,
0,,,,1239,,,0.5515783429145813,,,,,,,,,,,,
0,,,,1259,,,0.6162511706352234,,,,,,,,,,,,
0,,,,1279,,,0.32757022976875305,,,,,,,,,,,,
0,,,,1299,,,0.49215230345726013,,,,,,,,,,,,
0,,,,1319,,,0.922822117805481,,,,,,,,,,,,
0,,,,1339,,,0.8217753767967224,,,,,,,,,,,,
0,,,,1359,,,0.7236329913139343,,,,,,,,,,,,
0,,,,1379,,,0.2766687870025635,,,,,,,,,,,,
0,,,,1399,,,0.4217918813228607,,,,,,,,,,,,
0,,,,1419,,,0.5698183178901672,,,,,,,,,,,,
0,,,,1439,,,0.6928907632827759,,,,,,,,,,,,
0,,,,1459,,,0.9283386468887329,,,,,,,,,,,,
0,,,,1479,,,0.5589787364006042,,,,,,,,,,,,
0,,,,1499,,,0.5191848278045654,,,,,,,,,,,,
0,,,,1519,,,0.30198583006858826,,,,,,,,,,,,
0,,,,1539,,,0.8786036968231201,,,,,,,,,,,,
0,,,,1559,,,0.6762360334396362,,,,,,,,,,,,
0,,,,1579,,,1.059119701385498,,,,,,,,,,,,
0,,,,1599,,,0.3808460533618927,,,,,,,,,,,,
0,,,,1619,,,0.9295276999473572,,,,,,,,,,,,
0,,,,1639,,,0.3659401535987854,,,,,,,,,,,,
0,,,,1659,,,0.5015948414802551,,,,,,,,,,,,
0,,,,1679,,,0.2931993901729584,,,,,,,,,,,,
0,,,,1699,,,0.2475937455892563,,,,,,,,,,,,
0,,,,1719,,,0.47168299555778503,,,,,,,,,,,,
0,,,,1739,,,0.25584036111831665,,,,,,,,,,,,
0,,,,1759,,,0.9103924036026001,,,,,,,,,,,,
0,,,,1779,,,0.7884310483932495,,,,,,,,,,,,
0,,,,1799,,,0.4032421410083771,,,,,,,,,,,,
0,,,,1819,,,0.2194862812757492,,,,,,,,,,,,
0,,,,1839,,,0.27489134669303894,,,,,,,,,,,,
0,,,,1859,,,0.7334506511688232,,,,,,,,,,,,
0,,,,1879,,,0.26160019636154175,,,,,,,,,,,,
0,,,,1899,,,0.8335850238800049,,,,,,,,,,,,
0,,,,1919,,,0.643975019454956,,,,,,,,,,,,
0,,,,1939,,,0.8195245862007141,,,,,,,,,,,,
0,,,,1959,,,0.3898419439792633,,,,,,,,,,,,
0,,,,1979,,,0.34665215015411377,,,,,,,,,,,,
0,,,,1999,,,0.5719829201698303,,,,,,,,,,,,
0,,,,2019,,,0.22993847727775574,,,,,,,,,,,,
0,,,,2039,,,0.778850793838501,,,,,,,,,,,,
0,,,,2059,,,0.7617533802986145,,,,,,,,,,,,
0,,,,2079,,,0.271042138338089,,,,,,,,,,,,
0,,,,2099,,,0.28160035610198975,,,,,,,,,,,,
0,,,,2119,,,0.3158349096775055,,,,,,,,,,,,
0,,,,2139,,,0.3213726878166199,,,,,,,,,,,,
0,,,,2159,,,0.27816927433013916,,,,,,,,,,,,
0,,,,2179,,,0.6115924119949341,,,,,,,,,,,,
0,,,,2199,,,0.29706981778144836,,,,,,,,,,,,
0,,,,2219,,,0.35877230763435364,,,,,,,,,,,,
0,,,,2239,,,0.20958204567432404,,,,,,,,,,,,
0,,,,2259,,,0.43389445543289185,,,,,,,,,,,,
0,,,,2279,,,0.3072078824043274,,,,,,,,,,,,
0,,,,2299,,,0.29423630237579346,,,,,,,,,,,,
0,,,,2319,,,0.31383955478668213,,,,,,,,,,,,
0,,,,2339,,,0.2918752133846283,,,,,,,,,,,,
0,,,,2359,,,0.43420010805130005,,,,,,,,,,,,
0,,,,2379,,,0.311092734336853,,,,,,,,,,,,
0,,,,2399,,,0.37590259313583374,,,,,,,,,,,,
0,,,,2419,,,0.31533387303352356,,,,,,,,,,,,
0,,,,2439,,,0.8429539203643799,,,,,,,,,,,,
0,,,,2459,,,0.4258553385734558,,,,,,,,,,,,
0,,,,2479,,,0.3338721692562103,,,,,,,,,,,,
0,,,,2499,,,0.33849483728408813,,,,,,,,,,,,
0,,,,2519,,,0.29939979314804077,,,,,,,,,,,,
0,,,,2539,,,0.23713938891887665,,,,,,,,,,,,
0,,,,2559,,,0.2541346251964569,,,,,,,,,,,,
0,,,,2579,,,0.36466893553733826,,,,,,,,,,,,
0,,,,2599,,,0.2932804524898529,,,,,,,,,,,,
0,,,,2619,,,0.24696211516857147,,,,,,,,,,,,
0,,,,2639,,,0.6915819644927979,,,,,,,,,,,,
0,,,,2659,,,0.7091876864433289,,,,,,,,,,,,
0,,,,2679,,,0.8492299318313599,,,,,,,,,,,,
0,,,,2699,,,0.7895451784133911,,,,,,,,,,,,
0,,,,2719,,,0.260859876871109,,,,,,,,,,,,
0,,,,2739,,,0.5181046724319458,,,,,,,,,,,,
0,,,,2759,,,0.46160414814949036,,,,,,,,,,,,
0,,,,2779,,,0.7291100025177002,,,,,,,,,,,,
0,,,,2799,,,0.3416394591331482,,,,,,,,,,,,
0,,,,2819,,,0.41561609506607056,,,,,,,,,,,,
0,,,,2839,,,0.36947426199913025,,,,,,,,,,,,
0,,,,2859,,,0.2619427442550659,,,,,,,,,,,,
0,,,,2879,,,0.43451622128486633,,,,,,,,,,,,
0,,,,2899,,,0.19801537692546844,,,,,,,,,,,,
0,,,,2919,,,0.7506648302078247,,,,,,,,,,,,
0,,,,2939,,,0.6574415564537048,,,,,,,,,,,,
0,,,,2959,,,0.25681859254837036,,,,,,,,,,,,
0,,,,2979,,,0.25820621848106384,,,,,,,,,,,,
0,,,,2999,,,0.27403876185417175,,,,,,,,,,,,
0,,,,3019,,,0.8887622356414795,,,,,,,,,,,,
0,,,,3039,,,0.3717699348926544,,,,,,,,,,,,
0,,,,3059,,,0.20903532207012177,,,,,,,,,,,,
0,,,,3079,,,0.26739245653152466,,,,,,,,,,,,
0,,,,3099,,,0.6653395891189575,,,,,,,,,,,,
0,,,,3119,,,0.5624372959136963,,,,,,,,,,,,
0,,,,3139,,,0.6057662963867188,,,,,,,,,,,,
0,,,,3159,,,0.6642650365829468,,,,,,,,,,,,
0,,,,3179,,,0.6185522675514221,,,,,,,,,,,,
0,,,,3199,,,0.7865954041481018,,,,,,,,,,,,
0,,,,3219,,,0.5691131353378296,,,,,,,,,,,,
0,,,,3239,,,0.4934104382991791,,,,,,,,,,,,
0,,,,3259,,,0.5363895893096924,,,,,,,,,,,,
0,,,,3279,,,1.0166161060333252,,,,,,,,,,,,
0,,,,3299,,,0.724413275718689,,,,,,,,,,,,
0,,,,3319,,,0.3247085511684418,,,,,,,,,,,,
0,,,,3339,,,0.2721747159957886,,,,,,,,,,,,
0,,,,3359,,,0.5866292715072632,,,,,,,,,,,,
0,,,,3379,,,0.3412153720855713,,,,,,,,,,,,
0,,,,3399,,,0.2967141568660736,,,,,,,,,,,,
0,,,,3419,,,0.22047929465770721,,,,,,,,,,,,
0,,,,3439,,,0.37469053268432617,,,,,,,,,,,,
