epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/recall,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/loss,val/macro_precision,val/mcc,val/precision_c0,val/precision_c1,val/recall
,3.75e-05,3.75e-05,0,,,,,,,,,,,,,,,,,,,
0,,,19,,,,,,,,,,0.5290574431419373,,,,,,,,,
0,,,39,,,,,,,,,,0.3718034327030182,,,,,,,,,
0,,,59,,,,,,,,,,0.29926377534866333,,,,,,,,,
0,,,79,,,,,,,,,,0.3332698345184326,,,,,,,,,
0,,,99,,,,,,,,,,0.31140565872192383,,,,,,,,,
0,,,119,,,,,,,,,,0.35230597853660583,,,,,,,,,
0,,,139,,,,,,,,,,0.20651298761367798,,,,,,,,,
0,,,159,,,,,,,,,,0.33459392189979553,,,,,,,,,
0,,,179,,,,,,,,,,0.3031505048274994,,,,,,,,,
0,,,199,,,,,,,,,,0.32445988059043884,,,,,,,,,
0,,,219,,,,,,,,,,0.37051263451576233,,,,,,,,,
0,,,239,,,,,,,,,,0.20620927214622498,,,,,,,,,
0,,,259,,,,,,,,,,0.39094850420951843,,,,,,,,,
0,,,279,,,,,,,,,,0.23356080055236816,,,,,,,,,
0,,,299,,,,,,,,,,0.27486783266067505,,,,,,,,,
0,,,319,,,,,,,,,,0.26003649830818176,,,,,,,,,
0,,,339,,,,,,,,,,0.3422060012817383,,,,,,,,,
0,,,359,,,,,,,,,,0.3108472228050232,,,,,,,,,
0,,,379,,,,,,,,,,0.33489489555358887,,,,,,,,,
0,,,399,,,,,,,,,,0.19135494530200958,,,,,,,,,
0,,,419,,,,,,,,,,0.285402774810791,,,,,,,,,
0,,,439,,,,,,,,,,0.2378358095884323,,,,,,,,,
0,,,459,,,,,,,,,,0.3444668650627136,,,,,,,,,
0,,,479,,,,,,,,,,0.22246773540973663,,,,,,,,,
0,,,499,,,,,,,,,,0.2791684865951538,,,,,,,,,
0,,,519,,,,,,,,,,0.2629763185977936,,,,,,,,,
0,,,539,,,,,,,,,,0.2471729815006256,,,,,,,,,
0,,,559,,,,,,,,,,0.4395632743835449,,,,,,,,,
0,,,579,,,,,,,,,,0.15685172379016876,,,,,,,,,
0,,,599,,,,,,,,,,0.3226238191127777,,,,,,,,,
0,,,619,,,,,,,,,,0.31232428550720215,,,,,,,,,
0,,,639,,,,,,,,,,0.3040737509727478,,,,,,,,,
0,,,659,,,,,,,,,,0.20728272199630737,,,,,,,,,
0,,,679,,,,,,,,,,0.18132257461547852,,,,,,,,,
0,,,699,,,,,,,,,,0.22196583449840546,,,,,,,,,
0,,,719,,,,,,,,,,0.21771281957626343,,,,,,,,,
0,,,739,,,,,,,,,,0.37291187047958374,,,,,,,,,
0,,,759,,,,,,,,,,0.2624034881591797,,,,,,,,,
0,,,779,,,,,,,,,,0.18303504586219788,,,,,,,,,
0,,,799,,,,,,,,,,0.2095254510641098,,,,,,,,,
0,,,819,,,,,,,,,,0.27008137106895447,,,,,,,,,
0,,,839,,,,,,,,,,0.17720627784729004,,,,,,,,,
0,,,859,,,,,,,,,,0.25190144777297974,,,,,,,,,
0,,,879,,,,,,,,,,0.28858932852745056,,,,,,,,,
0,,,899,,,,,,,,,,0.4481450915336609,,,,,,,,,
0,,,919,,,,,,,,,,0.24506285786628723,,,,,,,,,
0,,,939,,,,,,,,,,0.2269543707370758,,,,,,,,,
0,,,959,,,,,,,,,,0.192884624004364,,,,,,,,,
0,,,979,,,,,,,,,,0.2836460769176483,,,,,,,,,
0,,,999,,,,,,,,,,0.24948081374168396,,,,,,,,,
0,,,1019,,,,,,,,,,0.24649959802627563,,,,,,,,,
0,,,1039,,,,,,,,,,0.24721914529800415,,,,,,,,,
0,,,1059,,,,,,,,,,0.24190180003643036,,,,,,,,,
0,,,1079,,,,,,,,,,0.26461973786354065,,,,,,,,,
0,,,1099,,,,,,,,,,0.361400306224823,,,,,,,,,
0,,,1119,,,,,,,,,,0.29270604252815247,,,,,,,,,
