epoch,latent/centroid_cos_sim,latent/fisher_ratio,latent/intra_class_var,latent/knn_acc,latent/silhouette,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/micro_precision,test/recall,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/f1_p_score,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,,,,,,3.75e-05,3.75e-05,0,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,19,,,,,,,,,,,0.6120824813842773,,,,,,,,,,,,,
0,0.9939847588539124,0.04892352968454361,15.025644302368164,0.6890000104904175,-0.15026739239692688,,,30,,,,,,,,,,,,0.2846972942352295,0.6357427835464478,0.12458322197198868,0.25345849990844727,0.762529730796814,0.38233378529548645,0.061725106090307236,0.16285072267055511,1.0,0.4139370322227478,0.0,0.1153980940580368,0.2846972942352295
0,,,,,,,,30,,,,,,,,,0.38471055030822754,0.6209712624549866,,,,,,,,,,,,,,
,,,,,,7.5e-05,7.5e-05,31,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,39,,,,,,,,,,,0.564260721206665,,,,,,,,,,,,,
1,,,,,,,,59,,,,,,,,,,,0.5070942640304565,,,,,,,,,,,,,
1,0.7190423011779785,0.2635442912578583,109.1143569946289,0.7229999899864197,-0.019040873274207115,,,61,,,,,,,,,,,,0.5251430869102478,0.7621394395828247,0.4542049169540405,0.4851943850517273,0.5259078145027161,0.5161838531494141,0.3636121451854706,0.4984434247016907,0.5398314595222473,0.6158055663108826,0.6713943481445312,0.23770399391651154,0.5251430869102478
1,,,,,,,,61,,,,,,,,,0.5970140695571899,0.48119640350341797,,,,,,,,,,,,,,
,,,,,,0.0001125,0.0001125,62,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,79,,,,,,,,,,,0.39700549840927124,,,,,,,,,,,,,
2,0.5844319462776184,0.33264097571372986,122.34954071044922,0.7429999709129333,0.004834507126361132,,,92,,,,,,,,,,,,0.5573936700820923,0.7990812659263611,0.5008947849273682,0.5117062330245972,0.4650192856788635,0.522517740726471,0.3847399950027466,0.5266590714454651,0.4554278552532196,0.631959080696106,0.7165696024894714,0.2861144542694092,0.5573936700820923
2,,,,,,,,92,,,,,,,,,0.6702739000320435,0.3586135506629944,,,,,,,,,,,,,,
,,,,,,0.00015,0.00015,93,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,99,,,,,,,,,,,0.30039626359939575,,,,,,,,,,,,,
3,,,,,,,,119,,,,,,,,,,,0.2589966952800751,,,,,,,,,,,,,
3,0.5592924952507019,0.34347301721572876,125.76628875732422,0.7360000014305115,0.03288964927196503,,,123,,,,,,,,,,,,0.548112154006958,0.8145318031311035,0.4955366849899292,0.5152750015258789,0.4324514865875244,0.5350133776664734,0.35184791684150696,0.49627602100372314,0.3959222733974457,0.681930422782898,0.7454320192337036,0.3167688250541687,0.548112154006958
3,,,,,,,,123,,,,,,,,,0.7111895084381104,0.29247626662254333,,,,,,,,,,,,,,
,,,,,,0.00018749999999999998,0.00018749999999999998,124,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,139,,,,,,,,,,,0.2372753918170929,,,,,,,,,,,,,
4,0.5466932654380798,0.3530551791191101,125.11344146728516,0.7519999742507935,0.03533797338604927,,,154,,,,,,,,,,,,0.5834492444992065,0.8504273295402527,0.5583912134170532,0.5963454842567444,0.39679333567619324,0.6342997550964355,0.4317358136177063,0.557140588760376,0.4126003682613373,0.8832672238349915,0.7329752445220947,0.508355975151062,0.5834492444992065
4,,,,,,,,154,,,,,,,,,0.7224394083023071,0.27040019631385803,,,,,,,,,,,,,,
,,,,,,0.000225,0.000225,155,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,159,,,,,,,,,,,0.18170243501663208,,,,,,,,,,,,,
5,,,,,,,,179,,,,,,,,,,,0.3027490973472595,,,,,,,,,,,,,
5,0.5522699952125549,0.31692031025886536,130.4840850830078,0.7390000224113464,0.028313543647527695,,,185,,,,,,,,,,,,0.5663638114929199,0.8220329284667969,0.49376145005226135,0.5361153483390808,0.43305590748786926,0.5784692764282227,0.4199972450733185,0.5486286282539368,0.6221105456352234,0.7745316028594971,0.5979748964309692,0.31926003098487854,0.5663638114929199
5,,,,,,,,185,,,,,,,,,0.7218835353851318,0.2659056782722473,,,,,,,,,,,,,,
,,,,,,0.0002625,0.0002625,186,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,199,,,,,,,,,,,0.2938600480556488,,,,,,,,,,,,,
6,0.61164790391922,0.27874237298965454,133.3672637939453,0.7369999885559082,0.04897448793053627,,,216,,,,,,,,,,,,0.5740369558334351,0.8173940777778625,0.5290336012840271,0.5426509976387024,0.4558080732822418,0.5562683939933777,0.3914148509502411,0.5343631505966187,0.4331594407558441,0.7054786682128906,0.7231985926628113,0.3632369637489319,0.5740369558334351
