epoch,step,train/acc,train/loss_epoch,train/loss_step,val/acc,val/f1,val/loss,val/mcc,val/precision
0,19,,,1.7600756883621216,,,,,
0,39,,,1.5498343706130981,,,,,
0,59,,,1.8118300437927246,,,,,
0,79,,,1.6335116624832153,,,,,
0,99,,,1.6372109651565552,,,,,
0,119,,,1.5261855125427246,,,,,
0,139,,,1.28384530544281,,,,,
0,159,,,1.2685189247131348,,,,,
0,179,,,1.4312078952789307,,,,,
0,199,,,1.1011756658554077,,,,,
0,219,,,1.1947245597839355,,,,,
0,239,,,1.026611566543579,,,,,
0,259,,,1.045634388923645,,,,,
0,269,,,,0.4791489839553833,0.37291502952575684,0.766488254070282,0.2591688334941864,0.538191556930542
0,269,0.41666677594184875,1.4690278768539429,,,,,,
1,279,,,0.9417328834533691,,,,,
1,299,,,0.9813822507858276,,,,,
1,319,,,1.2023630142211914,,,,,
1,339,,,1.1275577545166016,,,,,
1,359,,,0.4814591705799103,,,,,
1,379,,,0.8341748714447021,,,,,
1,399,,,0.5356141924858093,,,,,
1,419,,,0.6642859578132629,,,,,
1,439,,,0.47665226459503174,,,,,
1,459,,,1.0810946226119995,,,,,
1,479,,,0.5844468474388123,,,,,
1,499,,,0.5782609581947327,,,,,
1,519,,,0.9593853950500488,,,,,
1,539,,,1.1136358976364136,,,,,
1,539,,,,0.3598130941390991,0.19687175750732422,2.620408296585083,0.10292495787143707,0.29534024000167847
1,539,0.44097596406936646,0.8005725741386414,,,,,,
2,559,,,0.5372627377510071,,,,,
2,579,,,0.5820743441581726,,,,,
2,599,,,1.0596678256988525,,,,,
2,619,,,0.3793184161186218,,,,,
2,639,,,0.7237632274627686,,,,,
2,659,,,0.5452170372009277,,,,,
2,679,,,0.8654748201370239,,,,,
2,699,,,0.5650005340576172,,,,,
2,719,,,0.5627663731575012,,,,,
2,739,,,1.083904504776001,,,,,
2,759,,,0.45337748527526855,,,,,
2,779,,,0.6273271441459656,,,,,
2,799,,,0.8480052947998047,,,,,
2,809,,,,0.3980616331100464,0.2575368881225586,2.3798882961273193,0.18595749139785767,0.3644079267978668
2,809,0.45559585094451904,0.6930821537971497,,,,,,
3,819,,,0.4666445851325989,,,,,
3,839,,,0.6403305530548096,,,,,
3,859,,,0.8864214420318604,,,,,
3,879,,,0.4418433606624603,,,,,
3,899,,,0.9105627536773682,,,,,
3,919,,,1.001785397529602,,,,,
3,939,,,0.5446909070014954,,,,,
3,959,,,0.5321763157844543,,,,,
3,979,,,0.8425289392471313,,,,,
3,999,,,0.6081441640853882,,,,,
3,1019,,,0.5733448266983032,,,,,
3,1039,,,0.9965329170227051,,,,,
3,1059,,,1.1329524517059326,,,,,
3,1079,,,0.913506031036377,,,,,
3,1079,,,,0.45067498087882996,0.32237088680267334,2.079686164855957,0.2566807270050049,0.3686790466308594
3,1079,0.459453284740448,0.6641024351119995,,,,,,
4,1099,,,0.6439012289047241,,,,,
