epoch,latent/centroid_cos_sim,latent/fisher_ratio,latent/intra_class_var,latent/knn_acc,latent/silhouette,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/micro_precision,test/recall,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/f1_p_score,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,,,,,,3.75e-05,3.75e-05,0,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,19,,,,,,,,,,,0.6101185083389282,,,,,,,,,,,,,
0,0.9942074418067932,0.04150034859776497,16.272470474243164,0.6800000071525574,-0.17082619667053223,,,30,,,,,,,,,,,,0.28121572732925415,0.6262280941009521,0.12141495198011398,0.12225843966007233,0.7961404323577881,0.12310191988945007,0.04876256734132767,0.16176702082157135,0.0,0.37634649872779846,0.0,0.11606118828058243,0.28121572732925415
0,,,,,,,,30,,,,,,,,,0.38690003752708435,0.625371515750885,,,,,,,,,,,,,,
,,,,,,7.5e-05,7.5e-05,31,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,39,,,,,,,,,,,0.5761727094650269,,,,,,,,,,,,,
1,,,,,,,,59,,,,,,,,,,,0.38979825377464294,,,,,,,,,,,,,
1,0.7450987696647644,0.23527094721794128,110.15975189208984,0.7210000157356262,-0.014638123102486134,,,61,,,,,,,,,,,,0.5211376547813416,0.7562596797943115,0.4591732621192932,0.47413814067840576,0.5342338681221008,0.4891030192375183,0.3449535667896271,0.49363571405410767,0.4738750755786896,0.5251262784004211,0.7025854587554932,0.25482529401779175,0.5211376547813416
1,,,,,,,,61,,,,,,,,,0.559599757194519,0.506440281867981,,,,,,,,,,,,,,
,,,,,,0.0001125,0.0001125,62,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,79,,,,,,,,,,,0.41520994901657104,,,,,,,,,,,,,
2,0.5988761782646179,0.2596450448036194,135.20904541015625,0.7400000095367432,-0.01842907816171646,,,92,,,,,,,,,,,,0.5283614993095398,0.7511932849884033,0.4530959725379944,0.5115759372711182,0.5559185743331909,0.5700559616088867,0.38010454177856445,0.5132211446762085,0.7847656011581421,0.6143497824668884,0.6368779540061951,0.24423065781593323,0.5283614993095398
2,,,,,,,,92,,,,,,,,,0.6417834162712097,0.4050288796424866,,,,,,,,,,,,,,
,,,,,,0.00015,0.00015,93,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,99,,,,,,,,,,,0.4090580940246582,,,,,,,,,,,,,
3,,,,,,,,119,,,,,,,,,,,0.38182806968688965,,,,,,,,,,,,,
3,0.5518761873245239,0.3256283104419708,132.2777557373047,0.7549999952316284,0.030912309885025024,,,123,,,,,,,,,,,,0.5823260545730591,0.7938129901885986,0.515531599521637,0.5517873764038086,0.4715372622013092,0.588043212890625,0.44271156191825867,0.5630123019218445,0.6977589130401611,0.6913277506828308,0.6830500960350037,0.28003618121147156,0.5823260545730591
3,,,,,,,,123,,,,,,,,,0.6775003671646118,0.34754058718681335,,,,,,,,,,,,,,
,,,,,,0.00018749999999999998,0.00018749999999999998,124,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,139,,,,,,,,,,,0.334321528673172,,,,,,,,,,,,,
4,0.5343721508979797,0.3508930504322052,127.3973388671875,0.746999979019165,0.024174824357032776,,,154,,,,,,,,,,,,0.5764456987380981,0.8281241655349731,0.5187262296676636,0.55755215883255,0.47555726766586304,0.5963780879974365,0.41503942012786865,0.5403727889060974,0.4835622012615204,0.8943455219268799,0.7266800403594971,0.28092461824417114,0.5764456987380981
4,,,,,,,,154,,,,,,,,,0.7093368172645569,0.3079613745212555,,,,,,,,,,,,,,
,,,,,,0.000225,0.000225,155,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,159,,,,,,,,,,,0.28121277689933777,,,,,,,,,,,,,
5,,,,,,,,179,,,,,,,,,,,0.29526716470718384,,,,,,,,,,,,,
5,0.5299238562583923,0.3318045139312744,132.04776000976562,0.7419999837875366,0.027820101007819176,,,185,,,,,,,,,,,,0.5844780206680298,0.8307050466537476,0.5356250405311584,0.5505479574203491,0.4469800889492035,0.565470814704895,0.42631736397743225,0.5567662119865417,0.5396648049354553,0.7037284970283508,0.733366072177887,0.2851239740848541,0.5844780206680298
5,,,,,,,,185,,,,,,,,,0.7374924421310425,0.2841263711452484,,,,,,,,,,,,,,
,,,,,,0.0002625,0.0002625,186,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,199,,,,,,,,,,,0.2653973400592804,,,,,,,,,,,,,
6,0.5034086108207703,0.3181847929954529,137.08746337890625,0.7279999852180481,0.021015964448451996,,,216,,,,,,,,,,,,0.5278619527816772,0.8207087516784668,0.48075249791145325,0.5023670792579651,0.4815656244754791,0.5239816904067993,0.3380908668041229,0.48394152522087097,0.3968968689441681,0.6782923340797424,0.7467713952064514,0.2739660143852234,0.5278619527816772
6,,,,,,,,216,,,,,,,,,0.7381364107131958,0.2868039011955261,,,,,,,,,,,,,,
,,,,,,0.0003,0.0003,217,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,219,,,,,,,,,,,0.3199518322944641,,,,,,,,,,,,,
7,,,,,,,,239,,,,,,,,,,,0.2792168855667114,,,,,,,,,,,,,
7,0.5533546805381775,0.3239736557006836,127.7389144897461,0.7329999804496765,0.019132502377033234,,,247,,,,,,,,,,,,0.552200198173523,0.8327048420906067,0.5008987784385681,0.5183165073394775,0.462054580450058,0.5357342958450317,0.3645268380641937,0.5056943297386169,0.43064194917678833,0.6938138008117676,0.7292146682739258,0.28926682472229004,0.552200198173523
7,,,,,,,,247,,,,,,,,,0.7635182738304138,0.26434123516082764,,,,,,,,,,,,,,
,,,,,,0.0003,0.0003,248,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,259,,,,,,,,,,,0.1684606969356537,,,,,,,,,,,,,
8,0.4568138122558594,0.3378452956676483,136.8307647705078,0.7289999723434448,0.05338645353913307,,,278,,,,,,,,,,,,0.5846157073974609,0.8450194597244263,0.5504816174507141,0.5615329146385193,0.4360584318637848,0.5725842118263245,0.41561317443847656,0.5585986971855164,0.4780171513557434,0.7767878174781799,0.6541448831558228,0.3813868761062622,0.5846157073974609
8,,,,,,,,278,,,,,,,,,0.7721000909805298,0.2436215579509735,,,,,,,,,,,,,,
,,,,,,0.0002984732162821399,0.0002984732162821399,279,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,279,,,,,,,,,,,0.3110007643699646,,,,,,,,,,,,,
9,,,,,,,,299,,,,,,,,,,,0.2891564965248108,,,,,,,,,,,,,
9,0.468609482049942,0.29737427830696106,143.53758239746094,0.699999988079071,0.021834813058376312,,,309,,,,,,,,,,,,0.5751345157623291,0.8303436040878296,0.5208147764205933,0.5392212271690369,0.5172350406646729,0.5576276779174805,0.3930320143699646,0.5360183119773865,0.5098965167999268,0.7628673315048218,0.6229795217514038,0.33476731181144714,0.5751345157623291
9,,,,,,,,309,,,,,,,,,0.8012074828147888,0.22453837096691132,,,,,,,,,,,,,,
,,,,,,0.0002939239460421746,0.0002939239460421746,310,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,319,,,,,,,,,,,0.11381882429122925,,,,,,,,,,,,,
10,,,,,,,,339,,,,,,,,,,,0.20690394937992096,,,,,,,,,,,,,
10,0.4521474838256836,0.3305717706680298,141.94827270507812,0.7110000252723694,0.0476393960416317,,,340,,,,,,,,,,,,0.6012911796569824,0.8393138647079468,0.5456055402755737,0.5619990825653076,0.5413746237754822,0.5783926248550415,0.44334107637405396,0.5706967115402222,0.626007616519928,0.6857724189758301,0.6928656101226807,0.30892497301101685,0.6012911796569824
10,,,,,,,,340,,,,,,,,,0.8361895084381104,0.20382165908813477,,,,,,,,,,,,,,
,,,,,,0.00028644479930317775,0.00028644479930317775,341,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,359,,,,,,,,,,,0.14748719334602356,,,,,,,,,,,,,
11,0.46207913756370544,0.32166793942451477,139.45046997070312,0.7120000123977661,0.06315260380506516,,,371,,,,,,,,,,,,0.6133365631103516,0.8411744236946106,0.5825411081314087,0.5837899446487427,0.49677684903144836,0.5850387215614319,0.4611126780509949,0.6004886627197266,0.6532342433929443,0.5717938542366028,0.7288960218429565,0.38623079657554626,0.6133365631103516
11,,,,,,,,371,,,,,,,,,0.8305853605270386,0.2011594921350479,,,,,,,,,,,,,,
12,,,,,,,,372,0.5054942965507507,0.7616432905197144,0.43025195598602295,0.5267155170440674,0.4754575490951538,0.3167053759098053,0.46276745200157166,0.5054942965507507,,,,,,,,,,,,,,,,
