epoch,lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/micro_precision,test/recall,train/acc,train/cons_epoch,train/cons_lam_epoch,train/cons_lam_step,train/cons_step,train/loss_epoch,train/loss_step,train/supcon_epoch,train/supcon_step,val/acc,val/auroc,val/f1,val/f1_p_score,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,0.00020812733796781542,0.00020812733796781542,2.0812733796781544e-05,114906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,114919,,,,,,,,,,,,0.46207091212272644,0.25780731439590454,,0.6647209525108337,,4.4170732498168945,,,,,,,,,,,,,
33,,,,114939,,,,,,,,,,,,0.46207091212272644,0.1934526413679123,,0.642090916633606,,3.2605695724487305,,,,,,,,,,,,,
33,,,,114959,,,,,,,,,,,,0.46207091212272644,0.2824201285839081,,0.6994562149047852,,4.43386173248291,,,,,,,,,,,,,
33,,,,114979,,,,,,,,,,,,0.46207091212272644,0.20632529258728027,,0.4914720058441162,,3.228260040283203,,,,,,,,,,,,,
33,,,,114999,,,,,,,,,,,,0.46207091212272644,0.1999514400959015,,0.4653298854827881,,3.176020860671997,,,,,,,,,,,,,
33,,,,115019,,,,,,,,,,,,0.46207091212272644,0.31246891617774963,,0.6667055487632751,,4.504919052124023,,,,,,,,,,,,,
33,,,,115039,,,,,,,,,,,,0.46207091212272644,0.31016379594802856,,0.7117476463317871,,4.487392425537109,,,,,,,,,,,,,
33,,,,115059,,,,,,,,,,,,0.46207091212272644,0.29155635833740234,,0.6588547229766846,,4.445469856262207,,,,,,,,,,,,,
33,,,,115079,,,,,,,,,,,,0.46207091212272644,0.1892152726650238,,0.46754419803619385,,3.235182762145996,,,,,,,,,,,,,
33,,,,115099,,,,,,,,,,,,0.46207091212272644,0.28114378452301025,,0.8676586747169495,,4.39586067199707,,,,,,,,,,,,,
33,,,,115119,,,,,,,,,,,,0.46207091212272644,0.16492971777915955,,1.4293400049209595,,3.4758377075195312,,,,,,,,,,,,,
33,,,,115139,,,,,,,,,,,,0.46207091212272644,0.16542832553386688,,0.5282680988311768,,3.268669366836548,,,,,,,,,,,,,
33,,,,115159,,,,,,,,,,,,0.46207091212272644,0.2914109230041504,,0.6624905467033386,,4.443357467651367,,,,,,,,,,,,,
33,,,,115179,,,,,,,,,,,,0.46207091212272644,0.17338615655899048,,0.6637885570526123,,3.319347620010376,,,,,,,,,,,,,
33,,,,115199,,,,,,,,,,,,0.46207091212272644,0.17980211973190308,,1.871739149093628,,3.704026699066162,,,,,,,,,,,,,
33,,,,115219,,,,,,,,,,,,0.46207091212272644,0.2039845883846283,,0.5781369209289551,,3.273813486099243,,,,,,,,,,,,,
33,,,,115239,,,,,,,,,,,,0.46207091212272644,0.1975550502538681,,0.739711344242096,,3.284883975982666,,,,,,,,,,,,,
33,,,,115259,,,,,,,,,,,,0.46207091212272644,0.2939314842224121,,0.6460279822349548,,4.380302906036377,,,,,,,,,,,,,
33,,,,115279,,,,,,,,,,,,0.46207091212272644,0.31332850456237793,,0.6525391340255737,,4.374432563781738,,,,,,,,,,,,,
33,,,,115299,,,,,,,,,,,,0.46207091212272644,0.17361661791801453,,0.47042280435562134,,3.2991299629211426,,,,,,,,,,,,,
33,,,,115319,,,,,,,,,,,,0.46207091212272644,0.25136053562164307,,0.6224259734153748,,4.348994255065918,,,,,,,,,,,,,
33,,,,115339,,,,,,,,,,,,0.46207091212272644,0.28198906779289246,,0.6745877265930176,,4.427293300628662,,,,,,,,,,,,,
33,,,,115359,,,,,,,,,,,,0.46207091212272644,0.2439115196466446,,2.0235109329223633,,4.444253921508789,,,,,,,,,,,,,
33,,,,115379,,,,,,,,,,,,0.46207091212272644,0.166330948472023,,0.5553238987922668,,3.2830843925476074,,,,,,,,,,,,,
33,,,,115399,,,,,,,,,,,,0.46207091212272644,0.16927838325500488,,0.623091459274292,,3.301575183868408,,,,,,,,,,,,,
33,,,,115419,,,,,,,,,,,,0.46207091212272644,0.16603079438209534,,0.7939897775650024,,3.287019968032837,,,,,,,,,,,,,
33,,,,115439,,,,,,,,,,,,0.46207091212272644,0.16658824682235718,,0.4690917134284973,,3.25907039642334,,,,,,,,,,,,,
33,,,,115459,,,,,,,,,,,,0.46207091212272644,0.3022457957267761,,0.6493666768074036,,4.3485236167907715,,,,,,,,,,,,,
33,,,,115479,,,,,,,,,,,,0.46207091212272644,0.19365301728248596,,0.5455487966537476,,3.3243136405944824,,,,,,,,,,,,,
33,,,,115499,,,,,,,,,,,,0.46207091212272644,0.18634065985679626,,2.609816074371338,,3.993600606918335,,,,,,,,,,,,,
33,,,,115519,,,,,,,,,,,,0.46207091212272644,0.3044200539588928,,0.6482726335525513,,4.375498294830322,,,,,,,,,,,,,
33,,,,115539,,,,,,,,,,,,0.46207091212272644,0.21052591502666473,,0.48718711733818054,,3.320606231689453,,,,,,,,,,,,,
33,,,,115559,,,,,,,,,,,,0.46207091212272644,0.32004013657569885,,0.6566731929779053,,4.377900123596191,,,,,,,,,,,,,
33,,,,115579,,,,,,,,,,,,0.46207091212272644,0.26560795307159424,,0.6302244067192078,,4.317032814025879,,,,,,,,,,,,,
