epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/micro_precision,test/recall,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,0.0003333333333333333,0.0003333333333333333,0,,,,,,,,,,,,,,,,,,,,,,,
0,,,19,,,,,,,,,,,1.0440382957458496,,,,,,,,,,,,
0,,,39,,,,,,,,,,,0.8209511041641235,,,,,,,,,,,,
0,,,59,,,,,,,,,,,0.8769592046737671,,,,,,,,,,,,
0,,,79,,,,,,,,,,,1.1552355289459229,,,,,,,,,,,,
0,,,99,,,,,,,,,,,0.8664541840553284,,,,,,,,,,,,
0,,,119,,,,,,,,,,,0.7926196455955505,,,,,,,,,,,,
0,,,139,,,,,,,,,,,0.6274371147155762,,,,,,,,,,,,
0,,,159,,,,,,,,,,,0.7804665565490723,,,,,,,,,,,,
0,,,179,,,,,,,,,,,0.5642511248588562,,,,,,,,,,,,
0,,,199,,,,,,,,,,,0.5942779779434204,,,,,,,,,,,,
0,,,219,,,,,,,,,,,0.39161667227745056,,,,,,,,,,,,
0,,,239,,,,,,,,,,,0.5114214420318604,,,,,,,,,,,,
0,,,259,,,,,,,,,,,0.6718788146972656,,,,,,,,,,,,
0,,,279,,,,,,,,,,,0.5246262550354004,,,,,,,,,,,,
0,,,299,,,,,,,,,,,0.49188920855522156,,,,,,,,,,,,
0,,,319,,,,,,,,,,,0.43507128953933716,,,,,,,,,,,,
0,,,339,,,,,,,,,,,0.35975420475006104,,,,,,,,,,,,
0,,,359,,,,,,,,,,,0.6730837225914001,,,,,,,,,,,,
0,,,379,,,,,,,,,,,0.5867744088172913,,,,,,,,,,,,
0,,,399,,,,,,,,,,,0.4694737195968628,,,,,,,,,,,,
0,,,419,,,,,,,,,,,0.549691915512085,,,,,,,,,,,,
0,,,439,,,,,,,,,,,0.6962966322898865,,,,,,,,,,,,
0,,,459,,,,,,,,,,,0.5080795288085938,,,,,,,,,,,,
0,,,479,,,,,,,,,,,0.2844567894935608,,,,,,,,,,,,
0,,,499,,,,,,,,,,,0.7661566734313965,,,,,,,,,,,,
0,,,519,,,,,,,,,,,0.4539393484592438,,,,,,,,,,,,
0,,,539,,,,,,,,,,,0.47671908140182495,,,,,,,,,,,,
0,,,559,,,,,,,,,,,0.38289231061935425,,,,,,,,,,,,
0,,,579,,,,,,,,,,,0.5931816697120667,,,,,,,,,,,,
0,,,599,,,,,,,,,,,0.5633689165115356,,,,,,,,,,,,
0,,,619,,,,,,,,,,,0.29303431510925293,,,,,,,,,,,,
0,,,639,,,,,,,,,,,0.6197701692581177,,,,,,,,,,,,
0,,,659,,,,,,,,,,,0.27155929803848267,,,,,,,,,,,,
0,,,679,,,,,,,,,,,0.3496459424495697,,,,,,,,,,,,
0,,,699,,,,,,,,,,,0.4556964933872223,,,,,,,,,,,,
0,,,719,,,,,,,,,,,0.49148035049438477,,,,,,,,,,,,
0,,,739,,,,,,,,,,,0.3821728229522705,,,,,,,,,,,,
0,,,759,,,,,,,,,,,0.6456795930862427,,,,,,,,,,,,
