run_name,margin,gamma,smoothing,gambler_w,best_epoch,val_macro_prec,gated_prec@0.80,cov@0.80,gated_prec@0.85,cov@0.85,gated_prec@0.90,cov@0.90,temperature,best_ckpt
grid_hydra_m0.30_g3.0_s0.00_gw0.1,0.30,3.0,0.00,0.1,038,0.5829,0.6180194535648291,0.8021197552447552,0.6039577809681438,0.8567526223776224,0.590406290139422,0.9000218531468531,4.259,lightning_logs/grid_hydra/grid_hydra_m0.30_g3.0_s0.00_gw0.1/version_0/checkpoints/hydra-038-p0.5829.ckpt
grid_hydra_m0.50_g2.0_s0.00_gw0.1,0.50,2.0,0.00,0.1,021,0.5768,0.6134805959447918,0.8225524475524476,0.603377886399694,0.8575174825174825,0.5984741041256458,0.9063592657342657,4.298,lightning_logs/grid_hydra/grid_hydra_m0.50_g2.0_s0.00_gw0.1/version_0/checkpoints/hydra-021-p0.5768.ckpt
grid_hydra_m0.90_g3.0_s0.05_gw0.1,0.90,3.0,0.05,0.1,020,0.5672,0.5961624782460635,0.8084571678321678,0.5985771699574869,0.8585008741258742,0.6052439161671115,0.9032998251748252,2.704,lightning_logs/grid_hydra/grid_hydra_m0.90_g3.0_s0.05_gw0.1/version_0/checkpoints/hydra-020-p0.5672.ckpt
grid_hydra_m0.90_g2.0_s0.05_gw0.1,0.90,2.0,0.05,0.1,051,0.5770,0.6247301335677053,0.8011363636363636,0.5978958610897549,0.8505244755244755,0.678181516934171,0.9016608391608392,3.317,lightning_logs/grid_hydra/grid_hydra_m0.90_g2.0_s0.05_gw0.1/version_0/checkpoints/hydra-051-p0.5770.ckpt
grid_hydra_m0.70_g3.0_s0.05_gw0.0,0.70,3.0,0.05,0.0,048,0.5853,0.6193894014574016,0.8000437062937062,0.5933702041520481,0.8503059440559441,0.590650784949204,0.900458916083916,2.714,lightning_logs/grid_hydra/grid_hydra_m0.70_g3.0_s0.05_gw0.0/version_0/checkpoints/hydra-048-p0.5853.ckpt
grid_hydra_m0.30_g2.0_s0.05_gw0.1,0.30,2.0,0.05,0.1,014,0.5142,0.6374991595087508,0.8002622377622378,0.5932640675763123,0.8517263986013986,0.5438016959169678,0.9027534965034965,2.613,lightning_logs/grid_hydra/grid_hydra_m0.30_g2.0_s0.05_gw0.1/version_0/checkpoints/hydra-014-p0.5142.ckpt
grid_hydra_m0.30_g3.0_s0.00_gw0.0,0.30,3.0,0.00,0.0,020,0.5366,0.5758919218538957,0.8008085664335665,0.5898042997928081,0.8528190559440559,0.5869010928487608,0.9023164335664335,3.438,lightning_logs/grid_hydra/grid_hydra_m0.30_g3.0_s0.00_gw0.0/version_0/checkpoints/hydra-020-p0.5366.ckpt
grid_hydra_m0.90_g2.0_s0.05_gw0.0,0.90,2.0,0.05,0.0,033,0.5621,0.5945945888198817,0.8003715034965035,0.5723560074911165,0.8516171328671329,0.6299585772660725,0.9024256993006993,2.769,lightning_logs/grid_hydra/grid_hydra_m0.90_g2.0_s0.05_gw0.0/version_0/checkpoints/hydra-033-p0.5621.ckpt
grid_hydra_m0.70_g2.0_s0.00_gw0.1,0.70,2.0,0.00,0.1,057,0.5584,0.5726386313150297,0.8004807692307693,0.569340782686071,0.8511800699300699,0.577280611949974,0.9001311188811189,4.660,lightning_logs/grid_hydra/grid_hydra_m0.70_g2.0_s0.00_gw0.1/version_0/checkpoints/hydra-057-p0.5584.ckpt
grid_hydra_m0.30_g2.0_s0.00_gw0.0,0.30,2.0,0.00,0.0,021,0.5394,0.6099066031780701,0.8028846153846154,0.5533099266668512,0.8545673076923077,0.5581056628571514,0.9019886363636364,3.557,lightning_logs/grid_hydra/grid_hydra_m0.30_g2.0_s0.00_gw0.0/version_0/checkpoints/hydra-021-p0.5394.ckpt
grid_hydra_m0.90_g3.0_s0.00_gw0.0,0.90,3.0,0.00,0.0,014,0.5128,0.598106957105415,0.8022290209790209,0.548893495046066,0.8509615384615384,0.5315759647447765,0.9049388111888111,2.587,lightning_logs/grid_hydra/grid_hydra_m0.90_g3.0_s0.00_gw0.0/version_0/checkpoints/hydra-014-p0.5128.ckpt
