epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/recall,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/loss,val/macro_precision,val/mcc,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,3.75e-05,3.75e-05,0,,,,,,,,,,,,,,,,,,,,,
0,,,19,,,,,,,,,,2.5010733604431152,,,,,,,,,,,
0,,,39,,,,,,,,,,2.0933730602264404,,,,,,,,,,,
0,,,59,,,,,,,,,,2.1426429748535156,,,,,,,,,,,
0,,,79,,,,,,,,,,1.8789550065994263,,,,,,,,,,,
0,,,99,,,,,,,,,,1.4927070140838623,,,,,,,,,,,
0,,,119,,,,,,,,,,1.4195226430892944,,,,,,,,,,,
0,,,139,,,,,,,,,,1.2522176504135132,,,,,,,,,,,
0,,,159,,,,,,,,,,1.4389722347259521,,,,,,,,,,,
0,,,179,,,,,,,,,,1.1395478248596191,,,,,,,,,,,
0,,,199,,,,,,,,,,1.0119564533233643,,,,,,,,,,,
0,,,219,,,,,,,,,,0.8958536386489868,,,,,,,,,,,
0,,,239,,,,,,,,,,1.3317797183990479,,,,,,,,,,,
0,,,259,,,,,,,,,,1.1747506856918335,,,,,,,,,,,
0,,,279,,,,,,,,,,0.8763540387153625,,,,,,,,,,,
0,,,299,,,,,,,,,,1.2125604152679443,,,,,,,,,,,
0,,,319,,,,,,,,,,0.9030587077140808,,,,,,,,,,,
0,,,339,,,,,,,,,,1.023379921913147,,,,,,,,,,,
0,,,359,,,,,,,,,,0.9084913730621338,,,,,,,,,,,
0,,,379,,,,,,,,,,1.324636459350586,,,,,,,,,,,
0,,,399,,,,,,,,,,1.1223689317703247,,,,,,,,,,,
0,,,419,,,,,,,,,,0.764999508857727,,,,,,,,,,,
0,,,439,,,,,,,,,,1.1279116868972778,,,,,,,,,,,
0,,,459,,,,,,,,,,0.7496873140335083,,,,,,,,,,,
