epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/loss,val/macro_precision,val/mcc,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,3.75e-05,3.75e-05,0,,,,,,,,,,,,,,
0,,,19,,,1.6687297821044922,,,,,,,,,,,
0,,,39,,,1.4915897846221924,,,,,,,,,,,
0,,,59,,,1.3173292875289917,,,,,,,,,,,
0,,,79,,,1.1482319831848145,,,,,,,,,,,
0,,,99,,,1.1230003833770752,,,,,,,,,,,
0,,,119,,,1.019068956375122,,,,,,,,,,,
0,,,139,,,1.0192197561264038,,,,,,,,,,,
0,,,159,,,1.0203676223754883,,,,,,,,,,,
0,,,179,,,0.8864812850952148,,,,,,,,,,,
0,,,199,,,0.8722212314605713,,,,,,,,,,,
0,,,219,,,0.836730420589447,,,,,,,,,,,
0,,,239,,,0.9147289991378784,,,,,,,,,,,
0,,,259,,,0.8703086972236633,,,,,,,,,,,
0,,,279,,,0.7424610257148743,,,,,,,,,,,
0,,,299,,,0.7752964496612549,,,,,,,,,,,
0,,,319,,,0.6687796711921692,,,,,,,,,,,
0,,,339,,,0.7759226560592651,,,,,,,,,,,
0,,,359,,,0.8961732387542725,,,,,,,,,,,
0,,,379,,,0.9735977649688721,,,,,,,,,,,
0,,,399,,,0.6014676690101624,,,,,,,,,,,
0,,,419,,,0.5113636255264282,,,,,,,,,,,
0,,,439,,,1.1255966424942017,,,,,,,,,,,
0,,,459,,,0.748012363910675,,,,,,,,,,,
0,,,479,,,0.7519515752792358,,,,,,,,,,,
0,,,499,,,0.5986006855964661,,,,,,,,,,,
0,,,519,,,0.6619968414306641,,,,,,,,,,,
0,,,539,,,0.7351057529449463,,,,,,,,,,,
0,,,559,,,0.5833139419555664,,,,,,,,,,,
0,,,579,,,0.8666178584098816,,,,,,,,,,,
0,,,599,,,0.810582160949707,,,,,,,,,,,
0,,,619,,,0.731720507144928,,,,,,,,,,,
0,,,639,,,0.7941604256629944,,,,,,,,,,,
0,,,659,,,0.8188334107398987,,,,,,,,,,,
0,,,679,,,0.6543664932250977,,,,,,,,,,,
0,,,699,,,0.8393221497535706,,,,,,,,,,,
0,,,719,,,0.6614636778831482,,,,,,,,,,,
0,,,739,,,0.7057097554206848,,,,,,,,,,,
0,,,759,,,0.7110748291015625,,,,,,,,,,,
0,,,779,,,0.6341792345046997,,,,,,,,,,,
0,,,799,,,0.8538923859596252,,,,,,,,,,,
0,,,819,,,0.642761766910553,,,,,,,,,,,
0,,,839,,,0.6961088180541992,,,,,,,,,,,
0,,,859,,,0.6346338987350464,,,,,,,,,,,
0,,,879,,,0.6161363124847412,,,,,,,,,,,
0,,,899,,,0.789697527885437,,,,,,,,,,,
0,,,919,,,0.7407777905464172,,,,,,,,,,,
0,,,939,,,0.7325767874717712,,,,,,,,,,,
