epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/acc,train/loss_epoch,train/loss_step,val/acc,val/f1,val/loss,val/mcc,val/precision
,0.0,0.0,0,,,,,,,,
0,,,19,,,29.87841796875,,,,,
0,,,39,,,20.274076461791992,,,,,
0,,,59,,,30.467845916748047,,,,,
0,,,79,,,28.606149673461914,,,,,
0,,,99,,,25.768272399902344,,,,,
0,,,119,,,22.35140609741211,,,,,
0,,,139,,,28.251296997070312,,,,,
0,,,159,,,22.592832565307617,,,,,
0,,,179,,,12.509485244750977,,,,,
0,,,199,,,26.995336532592773,,,,,
0,,,219,,,22.346778869628906,,,,,
0,,,239,,,19.47610092163086,,,,,
0,,,259,,,17.839038848876953,,,,,
0,,,279,,,21.676958084106445,,,,,
0,,,299,,,28.644153594970703,,,,,
0,,,319,,,23.73396110534668,,,,,
0,,,339,,,14.836310386657715,,,,,
0,,,359,,,23.689945220947266,,,,,
0,,,379,,,22.245908737182617,,,,,
0,,,399,,,26.982669830322266,,,,,
0,,,419,,,20.148303985595703,,,,,
0,,,439,,,24.234241485595703,,,,,
0,,,459,,,28.817703247070312,,,,,
0,,,479,,,40.37947082519531,,,,,
0,,,499,,,22.629459381103516,,,,,
0,,,519,,,38.160430908203125,,,,,
0,,,539,,,20.333234786987305,,,,,
0,,,559,,,33.64198303222656,,,,,
0,,,579,,,33.60831832885742,,,,,
0,,,599,,,26.42092514038086,,,,,
0,,,619,,,34.37911605834961,,,,,
0,,,639,,,28.793230056762695,,,,,
0,,,659,,,10.214990615844727,,,,,
0,,,679,,,18.44275665283203,,,,,
0,,,699,,,39.47465515136719,,,,,
0,,,719,,,38.623985290527344,,,,,
0,,,739,,,18.551101684570312,,,,,
0,,,759,,,19.432708740234375,,,,,
0,,,779,,,33.923194885253906,,,,,
0,,,799,,,28.134544372558594,,,,,
0,,,819,,,28.698772430419922,,,,,
0,,,839,,,13.394692420959473,,,,,
0,,,859,,,16.777118682861328,,,,,
0,,,879,,,20.602380752563477,,,,,
0,,,899,,,14.360551834106445,,,,,
0,,,919,,,23.943471908569336,,,,,
0,,,939,,,27.317291259765625,,,,,
0,,,959,,,15.634211540222168,,,,,
0,,,979,,,22.962228775024414,,,,,
0,,,999,,,30.131202697753906,,,,,
0,,,1019,,,13.82239818572998,,,,,
0,,,1039,,,24.279144287109375,,,,,
0,,,1059,,,9.761083602905273,,,,,
0,,,1079,,,22.553260803222656,,,,,
0,,,1099,,,22.347543716430664,,,,,
0,,,1119,,,7.2607831954956055,,,,,
0,,,1139,,,32.605628967285156,,,,,
0,,,1159,,,33.45378494262695,,,,,
0,,,1179,,,17.968717575073242,,,,,
0,,,1199,,,14.78016185760498,,,,,
0,,,1219,,,25.992158889770508,,,,,
0,,,1239,,,20.2186336517334,,,,,
0,,,1259,,,21.639482498168945,,,,,
0,,,1279,,,21.810482025146484,,,,,
0,,,1299,,,28.624794006347656,,,,,
0,,,1319,,,26.92723274230957,,,,,
0,,,1339,,,29.32084846496582,,,,,
0,,,1359,,,29.18780517578125,,,,,
0,,,1379,,,21.266157150268555,,,,,
0,,,1399,,,34.04388427734375,,,,,
0,,,1419,,,24.59096908569336,,,,,
0,,,1434,,,,0.297622948884964,0.2746069133281708,18.29709815979004,0.057317886501550674,0.3093760311603546
0,,,1434,0.25172358751296997,25.412532806396484,,,,,,
,1.143098387631323e-05,1.143098387631323e-05,1435,,,,,,,,
1,,,1439,,,23.017969131469727,,,,,
1,,,1459,,,20.10394287109375,,,,,
1,,,1479,,,18.975353240966797,,,,,
1,,,1499,,,19.51491928100586,,,,,
1,,,1519,,,15.47773265838623,,,,,
1,,,1539,,,26.25368881225586,,,,,
1,,,1559,,,11.506071090698242,,,,,
1,,,1579,,,13.891322135925293,,,,,
1,,,1599,,,10.853068351745605,,,,,
1,,,1619,,,10.36187744140625,,,,,
1,,,1639,,,6.895681381225586,,,,,
1,,,1659,,,7.057314395904541,,,,,
1,,,1679,,,14.9646635055542,,,,,
1,,,1699,,,8.830957412719727,,,,,
1,,,1719,,,9.799101829528809,,,,,
1,,,1739,,,4.711121559143066,,,,,
1,,,1759,,,5.867860794067383,,,,,
1,,,1779,,,5.779644966125488,,,,,
1,,,1799,,,16.180660247802734,,,,,
1,,,1819,,,5.58490514755249,,,,,
1,,,1839,,,5.765264987945557,,,,,
1,,,1859,,,6.936588764190674,,,,,
1,,,1879,,,6.263340950012207,,,,,
1,,,1899,,,8.479193687438965,,,,,
1,,,1919,,,6.008090019226074,,,,,
1,,,1939,,,5.99656343460083,,,,,
1,,,1959,,,4.178280830383301,,,,,
1,,,1979,,,6.36518669128418,,,,,
1,,,1999,,,7.78176212310791,,,,,
1,,,2019,,,4.6425461769104,,,,,
1,,,2039,,,5.502296447753906,,,,,
1,,,2059,,,6.361289978027344,,,,,
1,,,2079,,,6.129403114318848,,,,,
1,,,2099,,,3.8237314224243164,,,,,
1,,,2119,,,6.715266227722168,,,,,
1,,,2139,,,4.444911003112793,,,,,
1,,,2159,,,11.74422550201416,,,,,
1,,,2179,,,6.225569725036621,,,,,
1,,,2199,,,5.030722618103027,,,,,
1,,,2219,,,5.401370525360107,,,,,
1,,,2239,,,4.936442852020264,,,,,
1,,,2259,,,4.831010818481445,,,,,
1,,,2279,,,5.0266242027282715,,,,,
1,,,2299,,,6.648170471191406,,,,,
1,,,2319,,,6.521617412567139,,,,,
1,,,2339,,,5.60312557220459,,,,,
1,,,2359,,,6.061708927154541,,,,,
1,,,2379,,,4.503614902496338,,,,,
1,,,2399,,,4.324453353881836,,,,,
1,,,2419,,,9.834278106689453,,,,,
1,,,2439,,,5.321126937866211,,,,,
1,,,2459,,,6.141676425933838,,,,,
1,,,2479,,,4.560240745544434,,,,,
1,,,2499,,,4.545736789703369,,,,,
1,,,2519,,,4.916304111480713,,,,,
1,,,2539,,,3.6742258071899414,,,,,
1,,,2559,,,5.1712188720703125,,,,,
1,,,2579,,,3.783596992492676,,,,,
1,,,2599,,,5.037322998046875,,,,,
1,,,2619,,,3.4733550548553467,,,,,
1,,,2639,,,5.195182800292969,,,,,
1,,,2659,,,3.4417355060577393,,,,,
1,,,2679,,,5.404938220977783,,,,,
1,,,2699,,,3.8632431030273438,,,,,
1,,,2719,,,3.641738176345825,,,,,
1,,,2739,,,4.092986583709717,,,,,
1,,,2759,,,4.86934232711792,,,,,
1,,,2779,,,4.584754943847656,,,,,
1,,,2799,,,4.063411235809326,,,,,
1,,,2819,,,3.390119791030884,,,,,
1,,,2839,,,3.895933151245117,,,,,
1,,,2859,,,3.851372241973877,,,,,
1,,,2869,,,,0.2481280267238617,0.08603274077177048,5.192842483520508,-0.017500489950180054,0.28485095500946045
1,,,2869,0.2533971667289734,7.536438941955566,,,,,,
,2.286196775262646e-05,2.286196775262646e-05,2870,,,,,,,,
2,,,2879,,,3.881525754928589,,,,,
2,,,2899,,,3.455916404724121,,,,,
2,,,2919,,,4.635668754577637,,,,,
2,,,2939,,,4.430866718292236,,,,,
2,,,2959,,,3.958531141281128,,,,,
2,,,2979,,,4.620938777923584,,,,,
2,,,2999,,,3.6954305171966553,,,,,
2,,,3019,,,2.9542644023895264,,,,,
2,,,3039,,,4.323623180389404,,,,,
2,,,3059,,,3.6756889820098877,,,,,
2,,,3079,,,3.6525192260742188,,,,,
2,,,3099,,,3.709808826446533,,,,,
2,,,3119,,,3.5511934757232666,,,,,
2,,,3139,,,4.468084812164307,,,,,
2,,,3159,,,5.489039421081543,,,,,
2,,,3179,,,3.979494094848633,,,,,
2,,,3199,,,2.8231396675109863,,,,,
2,,,3219,,,4.875185966491699,,,,,
2,,,3239,,,2.751253128051758,,,,,
2,,,3259,,,2.95432186126709,,,,,
2,,,3279,,,2.812037944793701,,,,,
2,,,3299,,,2.9861466884613037,,,,,
2,,,3319,,,3.7725162506103516,,,,,
2,,,3339,,,3.860499858856201,,,,,
2,,,3359,,,2.915581226348877,,,,,
2,,,3379,,,4.0598649978637695,,,,,
2,,,3399,,,2.7589681148529053,,,,,
2,,,3419,,,3.791797161102295,,,,,
2,,,3439,,,2.42531418800354,,,,,
2,,,3459,,,4.352520942687988,,,,,
2,,,3479,,,3.656768798828125,,,,,
2,,,3499,,,3.949826240539551,,,,,
2,,,3519,,,3.684171676635742,,,,,
2,,,3539,,,3.037942409515381,,,,,
2,,,3559,,,3.165796995162964,,,,,
2,,,3579,,,4.194974422454834,,,,,
2,,,3599,,,2.0616650581359863,,,,,
2,,,3619,,,6.128641128540039,,,,,
2,,,3639,,,2.8874411582946777,,,,,
2,,,3659,,,4.496450901031494,,,,,
2,,,3679,,,3.1700010299682617,,,,,
2,,,3699,,,2.6483497619628906,,,,,
2,,,3719,,,2.4717633724212646,,,,,
2,,,3739,,,4.5802321434021,,,,,
2,,,3759,,,2.4109723567962646,,,,,
2,,,3779,,,4.3815460205078125,,,,,
2,,,3799,,,4.029284954071045,,,,,
2,,,3819,,,4.04578971862793,,,,,
2,,,3839,,,2.90791654586792,,,,,
2,,,3859,,,5.142330646514893,,,,,
2,,,3879,,,3.950479507446289,,,,,
2,,,3899,,,2.352037191390991,,,,,
2,,,3919,,,3.7141990661621094,,,,,
2,,,3939,,,2.5529870986938477,,,,,
2,,,3959,,,2.1970412731170654,,,,,
2,,,3979,,,4.189622402191162,,,,,
2,,,3999,,,2.7398533821105957,,,,,
2,,,4019,,,2.611117362976074,,,,,
2,,,4039,,,4.700913906097412,,,,,
2,,,4059,,,2.3298439979553223,,,,,
2,,,4079,,,3.351827621459961,,,,,
2,,,4099,,,1.937617540359497,,,,,
2,,,4119,,,3.5254223346710205,,,,,
2,,,4139,,,2.7589471340179443,,,,,
2,,,4159,,,2.585533618927002,,,,,
2,,,4179,,,2.279183864593506,,,,,
2,,,4199,,,2.910982608795166,,,,,
2,,,4219,,,2.120028257369995,,,,,
2,,,4239,,,2.4088807106018066,,,,,
2,,,4259,,,1.9250080585479736,,,,,
2,,,4279,,,3.684274435043335,,,,,
2,,,4299,,,2.498140573501587,,,,,
2,,,4304,,,,0.26412034034729004,0.1482904553413391,7.774057865142822,0.04193438962101936,0.3029940724372864
