epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/micro_precision,test/recall,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,0.00016666666666666666,0.00016666666666666666,0,,,,,,,,,,,,,,,,,,,,,,,
0,,,19,,,,,,,,,,,0.665858268737793,,,,,,,,,,,,
0,,,39,,,,,,,,,,,0.4647827446460724,,,,,,,,,,,,
0,,,59,,,,,,,,,,,0.457072913646698,,,,,,,,,,,,
0,,,79,,,,,,,,,,,0.3930959105491638,,,,,,,,,,,,
0,,,99,,,,,,,,,,,0.5109535455703735,,,,,,,,,,,,
0,,,119,,,,,,,,,,,0.33772099018096924,,,,,,,,,,,,
0,,,139,,,,,,,,,,,0.4359612762928009,,,,,,,,,,,,
0,,,159,,,,,,,,,,,0.32388460636138916,,,,,,,,,,,,
0,,,179,,,,,,,,,,,0.3656071424484253,,,,,,,,,,,,
0,,,199,,,,,,,,,,,0.4649713635444641,,,,,,,,,,,,
0,,,219,,,,,,,,,,,0.3625519275665283,,,,,,,,,,,,
0,,,239,,,,,,,,,,,0.3089539408683777,,,,,,,,,,,,
0,,,259,,,,,,,,,,,0.3104257583618164,,,,,,,,,,,,
0,,,279,,,,,,,,,,,0.29909807443618774,,,,,,,,,,,,
0,,,299,,,,,,,,,,,0.33661410212516785,,,,,,,,,,,,
0,,,319,,,,,,,,,,,0.29922357201576233,,,,,,,,,,,,
0,,,339,,,,,,,,,,,0.3261612355709076,,,,,,,,,,,,
0,,,359,,,,,,,,,,,0.24929635226726532,,,,,,,,,,,,
0,,,379,,,,,,,,,,,0.3495098650455475,,,,,,,,,,,,
0,,,399,,,,,,,,,,,0.2566726803779602,,,,,,,,,,,,
0,,,419,,,,,,,,,,,0.27946582436561584,,,,,,,,,,,,
0,,,439,,,,,,,,,,,0.2526858150959015,,,,,,,,,,,,
0,,,459,,,,,,,,,,,0.22182846069335938,,,,,,,,,,,,
0,,,479,,,,,,,,,,,0.36846256256103516,,,,,,,,,,,,
0,,,499,,,,,,,,,,,0.27850526571273804,,,,,,,,,,,,
0,,,519,,,,,,,,,,,0.3208697438240051,,,,,,,,,,,,
0,,,539,,,,,,,,,,,0.20298081636428833,,,,,,,,,,,,
0,,,559,,,,,,,,,,,0.3469582796096802,,,,,,,,,,,,
0,,,579,,,,,,,,,,,0.28506869077682495,,,,,,,,,,,,
0,,,599,,,,,,,,,,,0.4035205841064453,,,,,,,,,,,,
0,,,619,,,,,,,,,,,0.4562486410140991,,,,,,,,,,,,
0,,,639,,,,,,,,,,,0.29103225469589233,,,,,,,,,,,,
0,,,659,,,,,,,,,,,0.2619432210922241,,,,,,,,,,,,
0,,,679,,,,,,,,,,,0.359653115272522,,,,,,,,,,,,
0,,,699,,,,,,,,,,,0.3381141722202301,,,,,,,,,,,,
0,,,719,,,,,,,,,,,0.28946319222450256,,,,,,,,,,,,
0,,,739,,,,,,,,,,,0.2630472183227539,,,,,,,,,,,,
0,,,759,,,,,,,,,,,0.3652310371398926,,,,,,,,,,,,
0,,,779,,,,,,,,,,,0.2592954933643341,,,,,,,,,,,,
0,,,799,,,,,,,,,,,0.32685327529907227,,,,,,,,,,,,
0,,,819,,,,,,,,,,,0.322672039270401,,,,,,,,,,,,
0,,,839,,,,,,,,,,,0.19391733407974243,,,,,,,,,,,,
0,,,859,,,,,,,,,,,0.24289149045944214,,,,,,,,,,,,
