epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_step
,0.00016666666666666666,0.00016666666666666666,0,
0,,,19,0.8732100129127502
0,,,39,0.6824621558189392
0,,,59,0.6713430285453796
0,,,79,0.569036066532135
0,,,99,0.5314942002296448
0,,,119,0.5591723322868347
0,,,139,0.44643306732177734
0,,,159,0.37639063596725464
0,,,179,0.4427776634693146
0,,,199,0.5140833258628845
0,,,219,0.46496516466140747
0,,,239,0.8384808301925659
0,,,259,0.3517753481864929
0,,,279,0.5013416409492493
0,,,299,0.3667783737182617
0,,,319,0.33513572812080383
0,,,339,0.42288288474082947
0,,,359,0.3630944490432739
0,,,379,0.5768663883209229
0,,,399,0.3127477467060089
0,,,419,0.3568163514137268
0,,,439,0.5499869585037231
0,,,459,0.3528360426425934
0,,,479,0.5127698183059692
0,,,499,0.4768492877483368
0,,,519,0.41220778226852417
0,,,539,0.48120152950286865
0,,,559,0.3178287744522095
0,,,579,0.3290117084980011
0,,,599,0.41198399662971497
