run_name,margin,gamma,smoothing,gambler_w,best_epoch,val_macro_prec,gated_prec@0.80,cov@0.80,gated_prec@0.85,cov@0.85,gated_prec@0.90,cov@0.90,temperature,best_ckpt
grid_precise_m0.30_g3.0_s0.05_gw0.1,0.30,3.0,0.05,0.1,026,0.6554,0.7215558921985431,0.80203125,0.7175126566799097,0.850625,0.714236274416379,0.90375,3.296,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.30_g3.0_s0.05_gw0.1/version_0/checkpoints/precise-026-p0.6554.ckpt
grid_precise_m0.70_g3.0_s0.05_gw0.1,0.70,3.0,0.05,0.1,027,0.6247,0.7236083477583986,0.8021197552447552,0.7173027811769503,0.8501966783216783,0.716406462938231,0.9000218531468531,2.816,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.70_g3.0_s0.05_gw0.1/version_0/checkpoints/precise-027-p0.6247.ckpt
grid_precise_m0.90_g3.0_s0.00_gw0.0,0.90,3.0,0.00,0.0,056,0.6702,0.7219762064194765,0.8097683566433567,0.7149084148483534,0.8509615384615384,0.7145482136621527,0.9048295454545454,4.141,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.90_g3.0_s0.00_gw0.0/version_0/checkpoints/precise-056-p0.6702.ckpt
grid_precise_m0.30_g2.0_s0.00_gw0.1,0.30,2.0,0.00,0.1,027,0.6223,0.7101930442484213,0.80125,0.7131758819974147,0.85171875,0.7066121277261743,0.9040625,3.902,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.30_g2.0_s0.00_gw0.1/version_0/checkpoints/precise-027-p0.6223.ckpt
grid_precise_m0.30_g2.0_s0.00_gw0.1,0.30,2.0,0.00,0.1,025,0.6917,0.7101930442484213,0.80125,0.7131758819974147,0.85171875,0.7066121277261743,0.9040625,4.352,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.30_g2.0_s0.00_gw0.1/version_0/checkpoints/precise-025-p0.6917.ckpt
grid_precise_m0.30_g3.0_s0.00_gw0.0,0.30,3.0,0.00,0.0,035,0.6372,0.7168274615920591,0.83890625,0.7038479009124156,0.89,0.698734778091303,0.908125,3.810,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.30_g3.0_s0.00_gw0.0/version_0/checkpoints/precise-035-p0.6372.ckpt
grid_precise_m0.30_g3.0_s0.00_gw0.0,0.30,3.0,0.00,0.0,000,0.6842,0.7168274615920591,0.83890625,0.7038479009124156,0.89,0.698734778091303,0.908125,2.148,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.30_g3.0_s0.00_gw0.0/version_0/checkpoints/precise-000-p0.6842.ckpt
grid_precise_m0.90_g2.0_s0.05_gw0.1,0.90,2.0,0.05,0.1,003,0.5691,0.7094950849874954,0.807583041958042,0.6967620573273122,0.8575174825174825,0.6861013774272383,0.9104020979020979,2.480,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.90_g2.0_s0.05_gw0.1/version_0/checkpoints/precise-003-p0.5691.ckpt
grid_precise_m0.90_g2.0_s0.05_gw0.0,0.90,2.0,0.05,0.0,027,0.6478,0.7222565949010191,0.8043050699300699,0.6950789829018807,0.8508522727272727,0.7172929296492999,0.9042832167832168,2.876,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.90_g2.0_s0.05_gw0.0/version_0/checkpoints/precise-027-p0.6478.ckpt
grid_precise_m0.70_g2.0_s0.00_gw0.1,0.70,2.0,0.00,0.1,027,0.6566,0.6973786086127318,0.8025568181818182,0.6942505470383479,0.8520541958041958,0.6919466980080803,0.9026442307692307,3.808,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.70_g2.0_s0.00_gw0.1/version_0/checkpoints/precise-027-p0.6566.ckpt
grid_precise_m0.90_g3.0_s0.05_gw0.0,0.90,3.0,0.05,0.0,030,0.6525,0.6754829463398745,0.8014641608391608,0.6871804465282148,0.8504152097902098,0.6907181738285745,0.9001311188811189,2.902,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.90_g3.0_s0.05_gw0.0/version_0/checkpoints/precise-030-p0.6525.ckpt
grid_precise_m0.90_g2.0_s0.00_gw0.1,0.90,2.0,0.00,0.1,019,0.6329,0.6852241499327469,0.8271416083916084,0.6830910698233044,0.8629807692307693,0.6780453953659832,0.9014423076923077,4.186,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.90_g2.0_s0.00_gw0.1/version_0/checkpoints/precise-019-p0.6329.ckpt
grid_precise_m0.30_g2.0_s0.00_gw0.0,0.30,2.0,0.00,0.0,003,0.5568,0.6788578010117995,0.85609375,0.6788578010117995,0.85609375,0.6735176673153052,0.93,3.097,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.30_g2.0_s0.00_gw0.0/version_0/checkpoints/precise-003-p0.5568.ckpt
grid_precise_m0.30_g2.0_s0.00_gw0.0,0.30,2.0,0.00,0.0,000,0.6633,0.6788578010117995,0.85609375,0.6788578010117995,0.85609375,0.6735176673153052,0.93,2.422,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.30_g2.0_s0.00_gw0.0/version_0/checkpoints/precise-000-p0.6633.ckpt
grid_precise_m0.70_g2.0_s0.05_gw0.1,0.70,2.0,0.05,0.1,027,0.6351,0.7072416765244965,0.8008085664335665,0.6759134430386646,0.8509615384615384,0.7003212034827655,0.9000218531468531,2.887,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.70_g2.0_s0.05_gw0.1/version_0/checkpoints/precise-027-p0.6351.ckpt
grid_precise_m0.70_g3.0_s0.00_gw0.1,0.70,3.0,0.00,0.1,013,0.6050,0.7676113715397626,0.8139204545454546,0.6670708120002118,0.850743006993007,0.7561473914717053,0.9117132867132867,3.230,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.70_g3.0_s0.00_gw0.1/version_0/checkpoints/precise-013-p0.6050.ckpt
grid_precise_m0.70_g2.0_s0.05_gw0.0,0.70,2.0,0.05,0.0,030,0.6221,0.6787286019943876,0.8012456293706294,0.6628235687813588,0.8506337412587412,0.6308698021954458,0.9018793706293706,2.591,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.70_g2.0_s0.05_gw0.0/version_0/checkpoints/precise-030-p0.6221.ckpt
grid_precise_m0.70_g3.0_s0.05_gw0.0,0.70,3.0,0.05,0.0,056,0.6331,0.6568930435108841,0.800152972027972,0.6616131574100818,0.8500874125874126,0.665878163934032,0.9001311188811189,3.082,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.70_g3.0_s0.05_gw0.0/version_0/checkpoints/precise-056-p0.6331.ckpt
grid_precise_m0.50_g2.0_s0.05_gw0.0,0.50,2.0,0.05,0.0,027,0.6126,0.6369941052892181,0.800152972027972,0.6580467024462264,0.8532561188811189,0.6406881206473706,0.9001311188811189,2.607,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.50_g2.0_s0.05_gw0.0/version_0/checkpoints/precise-027-p0.6126.ckpt
grid_precise_m0.90_g3.0_s0.00_gw0.1,0.90,3.0,0.00,0.1,030,0.6185,0.6567068342581444,0.8006993006993007,0.6505188880431191,0.8515078671328671,0.6482007934566814,0.9017701048951049,3.334,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.90_g3.0_s0.00_gw0.1/version_0/checkpoints/precise-030-p0.6185.ckpt
grid_precise_m0.90_g2.0_s0.00_gw0.0,0.90,2.0,0.00,0.0,003,0.5605,0.6550148722883797,0.8269230769230769,0.6484123242030967,0.8550043706293706,0.6466576604196472,0.9003496503496503,3.045,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.90_g2.0_s0.00_gw0.0/version_0/checkpoints/precise-003-p0.5605.ckpt
grid_precise_m0.50_g3.0_s0.05_gw0.0,0.50,3.0,0.05,0.0,027,0.6239,0.6752075695210944,0.8025568181818182,0.6463923511104755,0.8500874125874126,0.6631243539260465,0.9002403846153846,2.304,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.50_g3.0_s0.05_gw0.0/version_0/checkpoints/precise-027-p0.6239.ckpt
grid_precise_m0.50_g2.0_s0.00_gw0.1,0.50,2.0,0.00,0.1,006,0.5310,0.6095821240383817,0.8070367132867133,0.6003889680198776,0.8579545454545454,0.5791819761529227,0.901333041958042,2.794,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.50_g2.0_s0.00_gw0.1/version_0/checkpoints/precise-006-p0.5310.ckpt
grid_precise_m0.50_g2.0_s0.00_gw0.0,0.50,2.0,0.00,0.0,008,0.5249,,,,,,,2.925,/var/home/damo/Documents/Git/Audio_classification_testing/lightning_logs/grid_precise/grid_precise_m0.50_g2.0_s0.00_gw0.0/version_0/checkpoints/precise-008-p0.5249.ckpt
