epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/mcc,train/acc,train/loss_epoch,train/loss_step,val/acc,val/f1,val/loss,val/mcc,val/precision
,0.0,0.0,0,,,,,,,,,,,,,
0,,,19,,,,,,,,16.669456481933594,,,,,
0,,,39,,,,,,,,20.44170379638672,,,,,
0,,,59,,,,,,,,31.42711639404297,,,,,
0,,,79,,,,,,,,24.147262573242188,,,,,
0,,,99,,,,,,,,31.576587677001953,,,,,
0,,,119,,,,,,,,17.477602005004883,,,,,
0,,,139,,,,,,,,22.48821449279785,,,,,
0,,,159,,,,,,,,19.43854331970215,,,,,
0,,,179,,,,,,,,21.76236343383789,,,,,
0,,,199,,,,,,,,22.770015716552734,,,,,
0,,,219,,,,,,,,22.757137298583984,,,,,
0,,,239,,,,,,,,21.770858764648438,,,,,
0,,,259,,,,,,,,23.45560073852539,,,,,
0,,,279,,,,,,,,23.256813049316406,,,,,
0,,,299,,,,,,,,23.169784545898438,,,,,
0,,,319,,,,,,,,28.861562728881836,,,,,
0,,,339,,,,,,,,20.844074249267578,,,,,
0,,,359,,,,,,,,27.41810417175293,,,,,
0,,,379,,,,,,,,20.27361297607422,,,,,
0,,,399,,,,,,,,22.19261932373047,,,,,
0,,,419,,,,,,,,19.505441665649414,,,,,
0,,,439,,,,,,,,32.322322845458984,,,,,
0,,,459,,,,,,,,18.160470962524414,,,,,
0,,,479,,,,,,,,23.60820960998535,,,,,
0,,,499,,,,,,,,27.542325973510742,,,,,
0,,,519,,,,,,,,22.5819149017334,,,,,
0,,,539,,,,,,,,28.27103042602539,,,,,
0,,,559,,,,,,,,22.817115783691406,,,,,
0,,,579,,,,,,,,24.191484451293945,,,,,
0,,,599,,,,,,,,18.391860961914062,,,,,
0,,,619,,,,,,,,21.655805587768555,,,,,
0,,,639,,,,,,,,22.230520248413086,,,,,
0,,,659,,,,,,,,25.631572723388672,,,,,
0,,,679,,,,,,,,23.946014404296875,,,,,
0,,,699,,,,,,,,20.465383529663086,,,,,
