epoch,lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,train/acc,train/cons_epoch,train/cons_lam_epoch,train/cons_lam_step,train/cons_step,train/loss_epoch,train/loss_step,train/supcon_epoch,train/supcon_step,val/acc,val/auroc,val/f1,val/f1_p_score,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,5.9999999999999995e-05,5.9999999999999995e-05,6e-06,0,,,,,,,,,,,,,,,,,,,,,,
0,,,,19,,,,0.03792908787727356,0.23014333844184875,,8.490708351135254,,4.0945963859558105,,,,,,,,,,,,,
0,,,,39,,,,0.03792908787727356,0.16261282563209534,,3.794175386428833,,4.164984226226807,,,,,,,,,,,,,
0,,,,59,,,,0.03792908787727356,0.1666930913925171,,8.043655395507812,,4.056916236877441,,,,,,,,,,,,,
0,,,,79,,,,0.03792908787727356,0.20880670845508575,,6.861854076385498,,4.120053291320801,,,,,,,,,,,,,
0,,,,99,,,,0.03792908787727356,0.23331649601459503,,3.8993449211120605,,4.18358039855957,,,,,,,,,,,,,
0,,,,119,,,,0.03792908787727356,0.23728995025157928,,2.4088056087493896,,4.190346717834473,,,,,,,,,,,,,
0,,,,139,,,,0.03792908787727356,0.15889984369277954,,6.250888824462891,,3.960702896118164,,,,,,,,,,,,,
0,,,,159,,,,0.03792908787727356,0.2335582673549652,,3.3622379302978516,,4.190025806427002,,,,,,,,,,,,,
0,,,,179,,,,0.03792908787727356,0.1957201361656189,,4.697758674621582,,3.898343086242676,,,,,,,,,,,,,
0,,,,199,,,,0.03792908787727356,0.2332155704498291,,4.869949817657471,,3.883025646209717,,,,,,,,,,,,,
0,,,,219,,,,0.03792908787727356,0.20615023374557495,,2.003680944442749,,4.196566104888916,,,,,,,,,,,,,
0,,,,239,,,,0.03792908787727356,0.2302761673927307,,2.109170913696289,,4.206986904144287,,,,,,,,,,,,,
0,,,,259,,,,0.03792908787727356,0.230833038687706,,2.7038774490356445,,4.193344593048096,,,,,,,,,,,,,
0,,,,279,,,,0.03792908787727356,0.18477074801921844,,5.379341125488281,,3.9589359760284424,,,,,,,,,,,,,
0,,,,299,,,,0.03792908787727356,0.2351926863193512,,5.000636100769043,,3.9106202125549316,,,,,,,,,,,,,
0,,,,319,,,,0.03792908787727356,0.2157391905784607,,4.197723388671875,,4.193398475646973,,,,,,,,,,,,,
0,,,,339,,,,0.03792908787727356,0.1600012481212616,,6.859982490539551,,4.04493522644043,,,,,,,,,,,,,
0,,,,359,,,,0.03792908787727356,0.22314339876174927,,2.1346869468688965,,4.193686008453369,,,,,,,,,,,,,
0,,,,379,,,,0.03792908787727356,0.24951091408729553,,2.7799389362335205,,4.239246368408203,,,,,,,,,,,,,
0,,,,399,,,,0.03792908787727356,0.2296166718006134,,4.28460693359375,,3.8537535667419434,,,,,,,,,,,,,
0,,,,419,,,,0.03792908787727356,0.20556265115737915,,4.262779712677002,,3.862372398376465,,,,,,,,,,,,,
0,,,,439,,,,0.03792908787727356,0.22931993007659912,,4.248849391937256,,3.830740451812744,,,,,,,,,,,,,
0,,,,459,,,,0.03792908787727356,0.20069566369056702,,3.721526861190796,,3.8027896881103516,,,,,,,,,,,,,
0,,,,479,,,,0.03792908787727356,0.23026832938194275,,3.5456135272979736,,3.7992146015167236,,,,,,,,,,,,,
0,,,,499,,,,0.03792908787727356,0.24297550320625305,,5.0120673179626465,,3.873762369155884,,,,,,,,,,,,,
0,,,,519,,,,0.03792908787727356,0.22997522354125977,,4.013473987579346,,3.8051400184631348,,,,,,,,,,,,,
0,,,,539,,,,0.03792908787727356,0.23656035959720612,,1.9705111980438232,,4.183444976806641,,,,,,,,,,,,,
0,,,,559,,,,0.03792908787727356,0.2352401316165924,,6.015838623046875,,4.182950496673584,,,,,,,,,,,,,
0,,,,579,,,,0.03792908787727356,0.22132879495620728,,6.350785255432129,,4.142945766448975,,,,,,,,,,,,,
0,,,,599,,,,0.03792908787727356,0.27780061960220337,,2.619176149368286,,4.217511177062988,,,,,,,,,,,,,
0,,,,619,,,,0.03792908787727356,0.2416832000017166,,1.2754559516906738,,4.211691856384277,,,,,,,,,,,,,
0,,,,639,,,,0.03792908787727356,0.2706335186958313,,1.8092561960220337,,4.2121195793151855,,,,,,,,,,,,,
0,,,,659,,,,0.03792908787727356,0.28840285539627075,,1.6696234941482544,,4.174333572387695,,,,,,,,,,,,,
0,,,,679,,,,0.03792908787727356,0.24881094694137573,,3.914141893386841,,3.828883409500122,,,,,,,,,,,,,
0,,,,699,,,,0.03792908787727356,0.27078866958618164,,1.9862048625946045,,4.228733539581299,,,,,,,,,,,,,
0,,,,719,,,,0.03792908787727356,0.2664657235145569,,4.023733139038086,,3.7510857582092285,,,,,,,,,,,,,
0,,,,739,,,,0.03792908787727356,0.2764286994934082,,3.9488794803619385,,3.7726550102233887,,,,,,,,,,,,,
0,,,,759,,,,0.03792908787727356,0.26557210087776184,,2.4560060501098633,,4.2484307289123535,,,,,,,,,,,,,
0,,,,779,,,,0.03792908787727356,0.2418350875377655,,3.602952003479004,,3.7522149085998535,,,,,,,,,,,,,
0,,,,799,,,,0.03792908787727356,0.26764050126075745,,5.725900650024414,,3.9226632118225098,,,,,,,,,,,,,
0,,,,819,,,,0.03792908787727356,0.263062059879303,,3.1041862964630127,,3.748755931854248,,,,,,,,,,,,,
0,,,,839,,,,0.03792908787727356,0.2796044647693634,,2.43626070022583,,4.2064385414123535,,,,,,,,,,,,,
0,,,,859,,,,0.03792908787727356,0.3054860234260559,,4.384401798248291,,3.8043856620788574,,,,,,,,,,,,,
0,,,,879,,,,0.03792908787727356,0.2799537479877472,,2.0920569896698,,4.25624942779541,,,,,,,,,,,,,
0,,,,899,,,,0.03792908787727356,0.2657487988471985,,1.7878457307815552,,4.202554225921631,,,,,,,,,,,,,
0,,,,919,,,,0.03792908787727356,0.2938169538974762,,1.1327695846557617,,4.226245403289795,,,,,,,,,,,,,
0,,,,939,,,,0.03792908787727356,0.28527170419692993,,1.7554454803466797,,4.277656555175781,,,,,,,,,,,,,
0,,,,959,,,,0.03792908787727356,0.2705766558647156,,4.586407661437988,,3.832812547683716,,,,,,,,,,,,,
0,,,,979,,,,0.03792908787727356,0.29956501722335815,,2.9900312423706055,,3.756916046142578,,,,,,,,,,,,,
0,,,,999,,,,0.03792908787727356,0.3106129765510559,,2.293972969055176,,4.2166852951049805,,,,,,,,,,,,,
0,,,,1019,,,,0.03792908787727356,0.2602601647377014,,3.2249889373779297,,3.8172767162323,,,,,,,,,,,,,
0,,,,1039,,,,0.03792908787727356,0.30348852276802063,,2.082122802734375,,4.21799373626709,,,,,,,,,,,,,
0,,,,1059,,,,0.03792908787727356,0.2819932699203491,,3.2758376598358154,,3.8325884342193604,,,,,,,,,,,,,
0,,,,1079,,,,0.03792908787727356,0.3118775486946106,,1.8470368385314941,,4.193295001983643,,,,,,,,,,,,,
0,,,,1099,,,,0.03792908787727356,0.27976661920547485,,2.8006370067596436,,3.8310000896453857,,,,,,,,,,,,,
0,,,,1119,,,,0.03792908787727356,0.2767685651779175,,1.4423818588256836,,4.1909379959106445,,,,,,,,,,,,,
0,,,,1139,,,,0.03792908787727356,0.27586448192596436,,3.3308000564575195,,3.7540059089660645,,,,,,,,,,,,,
0,,,,1159,,,,0.03792908787727356,0.25343698263168335,,3.7550086975097656,,3.7362985610961914,,,,,,,,,,,,,
0,,,,1179,,,,0.03792908787727356,0.3207716941833496,,1.3051807880401611,,4.2731218338012695,,,,,,,,,,,,,
0,,,,1199,,,,0.03792908787727356,0.2739284634590149,,2.5734050273895264,,3.6426568031311035,,,,,,,,,,,,,
0,,,,1219,,,,0.03792908787727356,0.26668959856033325,,2.8416225910186768,,3.628864288330078,,,,,,,,,,,,,
0,,,,1239,,,,0.03792908787727356,0.28940731287002563,,6.192514419555664,,3.9459500312805176,,,,,,,,,,,,,
0,,,,1259,,,,0.03792908787727356,0.30956339836120605,,1.261254906654358,,4.269352912902832,,,,,,,,,,,,,
0,,,,1279,,,,0.03792908787727356,0.2622411549091339,,1.611006259918213,,4.239194869995117,,,,,,,,,,,,,
0,,,,1299,,,,0.03792908787727356,0.2522905170917511,,2.3822968006134033,,3.6912364959716797,,,,,,,,,,,,,
0,,,,1319,,,,0.03792908787727356,0.2718767821788788,,2.7491519451141357,,3.6770291328430176,,,,,,,,,,,,,
0,,,,1339,,,,0.03792908787727356,0.3200311064720154,,1.6272600889205933,,4.2420148849487305,,,,,,,,,,,,,
0,,,,1359,,,,0.03792908787727356,0.2987860441207886,,1.203145146369934,,4.190180778503418,,,,,,,,,,,,,
0,,,,1379,,,,0.03792908787727356,0.26409250497817993,,1.6748448610305786,,4.230497360229492,,,,,,,,,,,,,
0,,,,1399,,,,0.03792908787727356,0.325689435005188,,1.3033486604690552,,4.275681495666504,,,,,,,,,,,,,
0,,,,1419,,,,0.03792908787727356,0.2885229289531708,,4.424220085144043,,4.2363080978393555,,,,,,,,,,,,,
0,,,,1439,,,,0.03792908787727356,0.31951799988746643,,5.151793956756592,,4.230349540710449,,,,,,,,,,,,,
0,,,,1459,,,,0.03792908787727356,0.25161275267601013,,3.159602165222168,,3.707589626312256,,,,,,,,,,,,,
0,,,,1479,,,,0.03792908787727356,0.2724207043647766,,1.2681885957717896,,4.268560409545898,,,,,,,,,,,,,
0,,,,1499,,,,0.03792908787727356,0.3126746416091919,,2.7501518726348877,,4.266406536102295,,,,,,,,,,,,,
0,,,,1519,,,,0.03792908787727356,0.27911365032196045,,0.8636431694030762,,4.224022388458252,,,,,,,,,,,,,
0,,,,1539,,,,0.03792908787727356,0.21613389253616333,,2.053828239440918,,3.705002784729004,,,,,,,,,,,,,
0,,,,1559,,,,0.03792908787727356,0.26337599754333496,,2.695449113845825,,3.741278648376465,,,,,,,,,,,,,
0,,,,1579,,,,0.03792908787727356,0.25790345668792725,,4.322833061218262,,3.8580875396728516,,,,,,,,,,,,,
0,,,,1599,,,,0.03792908787727356,0.3081933856010437,,3.091796636581421,,3.7118725776672363,,,,,,,,,,,,,
0,,,,1619,,,,0.03792908787727356,0.24384938180446625,,3.0569190979003906,,3.675048828125,,,,,,,,,,,,,
0,,,,1639,,,,0.03792908787727356,0.25926944613456726,,2.2235968112945557,,3.5637097358703613,,,,,,,,,,,,,
0,,,,1659,,,,0.03792908787727356,0.29887688159942627,,2.6480391025543213,,3.6134347915649414,,,,,,,,,,,,,
0,,,,1679,,,,0.03792908787727356,0.2462928742170334,,3.1184751987457275,,3.6987831592559814,,,,,,,,,,,,,
0,,,,1699,,,,0.03792908787727356,0.2962980568408966,,1.4625306129455566,,4.2289533615112305,,,,,,,,,,,,,
0,,,,1719,,,,0.03792908787727356,0.2629704177379608,,2.6046369075775146,,3.684875965118408,,,,,,,,,,,,,
0,,,,1739,,,,0.03792908787727356,0.2756742238998413,,1.105353593826294,,4.263120174407959,,,,,,,,,,,,,
0,,,,1759,,,,0.03792908787727356,0.29931479692459106,,1.2531390190124512,,4.294957637786865,,,,,,,,,,,,,
0,,,,1779,,,,0.03792908787727356,0.2527945041656494,,2.5932958126068115,,3.600659132003784,,,,,,,,,,,,,
0,,,,1799,,,,0.03792908787727356,0.250389963388443,,2.8158886432647705,,3.6585497856140137,,,,,,,,,,,,,
0,,,,1819,,,,0.03792908787727356,0.3362945318222046,,1.400753378868103,,4.252872943878174,,,,,,,,,,,,,
0,,,,1839,,,,0.03792908787727356,0.3062507212162018,,4.989748954772949,,3.9667959213256836,,,,,,,,,,,,,
0,,,,1859,,,,0.03792908787727356,0.3331061899662018,,1.5003156661987305,,4.214665412902832,,,,,,,,,,,,,
0,,,,1879,,,,0.03792908787727356,0.26744621992111206,,2.453359842300415,,3.7685604095458984,,,,,,,,,,,,,
0,,,,1899,,,,0.03792908787727356,0.304473876953125,,1.4619096517562866,,4.197978973388672,,,,,,,,,,,,,
0,,,,1919,,,,0.03792908787727356,0.2779233455657959,,2.7042722702026367,,3.6928062438964844,,,,,,,,,,,,,
0,,,,1939,,,,0.03792908787727356,0.22873738408088684,,1.3074390888214111,,3.6412041187286377,,,,,,,,,,,,,
