epoch,latent/centroid_cos_sim,latent/fisher_ratio,latent/intra_class_var,latent/knn_acc,latent/silhouette,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/micro_precision,test/recall,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/f1_p_score,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,,,,,,3.75e-05,3.75e-05,0,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,19,,,,,,,,,,,0.625882089138031,,,,,,,,,,,,,
0,0.9842097163200378,0.07150496542453766,18.744754791259766,0.6639999747276306,-0.13290835916996002,,,30,,,,,,,,,,,,0.2853057384490967,0.6111030578613281,0.12464874982833862,0.24752400815486908,0.8112671971321106,0.37039926648139954,0.048979539424180984,0.1666141301393509,1.0,0.3626561760902405,0.0,0.11894089728593826,0.2853057384490967
0,,,,,,,,30,,,,,,,,,0.4328281283378601,0.6108518838882446,,,,,,,,,,,,,,
,,,,,,7.5e-05,7.5e-05,31,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,39,,,,,,,,,,,0.4788215160369873,,,,,,,,,,,,,
1,,,,,,,,59,,,,,,,,,,,0.4271273612976074,,,,,,,,,,,,,
1,0.7205141186714172,0.23564113676548004,84.13740539550781,0.7080000042915344,-0.04666009172797203,,,61,,,,,,,,,,,,0.4947410225868225,0.7409838438034058,0.44397449493408203,0.4773794412612915,0.5564934015274048,0.510784387588501,0.2978573441505432,0.4470365643501282,0.3648374676704407,0.690026581287384,0.7373934388160706,0.25088000297546387,0.4947410225868225
1,,,,,,,,61,,,,,,,,,0.5842229127883911,0.4830286204814911,,,,,,,,,,,,,,
,,,,,,0.0001125,0.0001125,62,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,79,,,,,,,,,,,0.35183781385421753,,,,,,,,,,,,,
2,0.6212752461433411,0.28734090924263,92.91739654541016,0.7379999756813049,0.00616856524720788,,,92,,,,,,,,,,,,0.5753010511398315,0.7816213965415955,0.5283669233322144,0.5384089946746826,0.46925532817840576,0.5484510064125061,0.406536340713501,0.5471311211585999,0.5016821622848511,0.674800455570221,0.7082921862602234,0.30902934074401855,0.5753010511398315
2,,,,,,,,92,,,,,,,,,0.64974445104599,0.3869246244430542,,,,,,,,,,,,,,
,,,,,,0.00015,0.00015,93,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,99,,,,,,,,,,,0.36161935329437256,,,,,,,,,,,,,
3,,,,,,,,119,,,,,,,,,,,0.3069577217102051,,,,,,,,,,,,,
3,0.6220363974571228,0.2757144868373871,96.23942565917969,0.7390000224113464,0.008673450909554958,,,123,,,,,,,,,,,,0.5595320463180542,0.8263079524040222,0.5015855431556702,0.5273580551147461,0.42585280537605286,0.5531306266784668,0.36962011456489563,0.5053002834320068,0.426962673664093,0.7286249995231628,0.7467836737632751,0.3101513087749481,0.5595320463180542
3,,,,,,,,123,,,,,,,,,0.6877375841140747,0.32255277037620544,,,,,,,,,,,,,,
,,,,,,0.00018749999999999998,0.00018749999999999998,124,,,,,,,,,,,,,,,,,,,,,,,,
