epoch,latent/centroid_cos_sim,latent/fisher_ratio,latent/intra_class_var,latent/knn_acc,latent/silhouette,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/micro_precision,test/recall,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/f1_p_score,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,,,,,,3.75e-05,3.75e-05,0,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,19,,,,,,,,,,,0.8468212485313416,,,,,,,,,,,,,
0,0.9921998977661133,0.055174920707941055,17.294925689697266,0.699999988079071,-0.12840357422828674,,,30,,,,,,,,,,,,0.29924559593200684,0.6427516937255859,0.1377972811460495,0.12405093014240265,1.149397611618042,0.1103045791387558,0.04089668020606041,0.1896871030330658,0.0,0.3060581684112549,0.0,0.1351601630449295,0.29924559593200684
0,,,,,,,,30,,,,,,,,,0.38696932792663574,0.925894558429718,,,,,,,,,,,,,,
,,,,,,7.5e-05,7.5e-05,31,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,39,,,,,,,,,,,0.720659613609314,,,,,,,,,,,,,
1,,,,,,,,59,,,,,,,,,,,0.5368278622627258,,,,,,,,,,,,,
1,0.6841868758201599,0.2745320200920105,115.38229370117188,0.7120000123977661,-0.01915365271270275,,,61,,,,,,,,,,,,0.4519299566745758,0.7573988437652588,0.38940832018852234,0.43827152252197266,0.8188214898109436,0.4871346950531006,0.23120392858982086,0.3880044221878052,0.30778568983078003,0.5853411555290222,0.8153161406517029,0.24009574949741364,0.4519299566745758
1,,,,,,,,61,,,,,,,,,0.5835795402526855,0.7040665745735168,,,,,,,,,,,,,,
,,,,,,0.0001125,0.0001125,62,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,79,,,,,,,,,,,0.5337609052658081,,,,,,,,,,,,,
2,0.5778176188468933,0.3281975984573364,127.15097045898438,0.7369999885559082,0.0030963902827352285,,,92,,,,,,,,,,,,0.5413160920143127,0.7935094833374023,0.49165672063827515,0.5035040974617004,0.6820907592773438,0.5153514742851257,0.36341536045074463,0.5081573128700256,0.4271431267261505,0.6098859310150146,0.7549932599067688,0.2693834900856018,0.5413160920143127
2,,,,,,,,92,,,,,,,,,0.6525298953056335,0.5265354514122009,,,,,,,,,,,,,,
,,,,,,0.00015,0.00015,93,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,99,,,,,,,,,,,0.40311309695243835,,,,,,,,,,,,,
3,,,,,,,,119,,,,,,,,,,,0.31202760338783264,,,,,,,,,,,,,
3,0.5231516361236572,0.3341674506664276,133.99305725097656,0.746999979019165,0.008472180925309658,,,123,,,,,,,,,,,,0.5160344839096069,0.8022931218147278,0.4631783366203308,0.47858288884162903,0.6768907308578491,0.49398744106292725,0.303235799074173,0.46262216567993164,0.3634171485900879,0.5728394985198975,0.7257248163223267,0.31396833062171936,0.5160344839096069
3,,,,,,,,123,,,,,,,,,0.6973626017570496,0.44865936040878296,,,,,,,,,,,,,,
,,,,,,0.00018749999999999998,0.00018749999999999998,124,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,139,,,,,,,,,,,0.4732643663883209,,,,,,,,,,,,,
4,0.5185771584510803,0.3393062651157379,133.54263305664062,0.7329999804496765,0.021795758977532387,,,154,,,,,,,,,,,,0.565398097038269,0.8174780607223511,0.5144928693771362,0.5314143300056458,0.6503837704658508,0.5483357906341553,0.4014424681663513,0.5383039116859436,0.4811134934425354,0.7162144780158997,0.7136246562004089,0.28239065408706665,0.565398097038269
