epoch,lr-Adam,step,test_auroc,test_f1_score,test_f_beta,test_loss_epoch,test_loss_step,test_mcc,train_f1_score,train_f_beta,train_loss_epoch,train_loss_step,train_mcc,val_auroc,val_f1_score,val_f_beta,val_loss_epoch,val_loss_step,val_mcc
1,,409,,,,,,,,,,0.6664674282073975,,,,,,,
1,,419,,,,,,,,,,0.7518730163574219,,,,,,,
1,,429,,,,,,,,,,0.7374989986419678,,,,,,,
1,,439,,,,,,,,,,0.7100543975830078,,,,,,,
1,,449,,,,,,,,,,0.6426074504852295,,,,,,,
1,,459,,,,,,,,,,0.7788166999816895,,,,,,,
1,,469,,,,,,,,,,0.6667428016662598,,,,,,,
1,,479,,,,,,,,,,0.6447057723999023,,,,,,,
1,,489,,,,,,,,,,0.6964426040649414,,,,,,,
1,,499,,,,,,,,,,0.6336889266967773,,,,,,,
1,,509,,,,,,,,,,0.7052083015441895,,,,,,,
1,,519,,,,,,,,,,0.771270751953125,,,,,,,
1,,529,,,,,,,,,,0.7072300910949707,,,,,,,
1,,539,,,,,,,,,,0.7356667518615723,,,,,,,
,,59,,,,,,,,,,,,,,,,1.6728515625,
,,60,,,,,,,,,,,,,,,,1.8341064453125,
,,61,,,,,,,,,,,,,,,,1.5928192138671875,
,,62,,,,,,,,,,,,,,,,0.8571319580078125,
,,63,,,,,,,,,,,,,,,,1.195281982421875,
,,64,,,,,,,,,,,,,,,,1.09521484375,
,,65,,,,,,,,,,,,,,,,1.0096435546875,
,,66,,,,,,,,,,,,,,,,0.9974365234375,
,,67,,,,,,,,,,,,,,,,0.7628097534179688,
,,68,,,,,,,,,,,,,,,,0.3440208435058594,
,,69,,,,,,,,,,,,,,,,0.19427490234375,
,,70,,,,,,,,,,,,,,,,0.2712078094482422,
,,71,,,,,,,,,,,,,,,,0.48069000244140625,
,,72,,,,,,,,,,,,,,,,0.6800994873046875,
,,73,,,,,,,,,,,,,,,,1.0451812744140625,
,,74,,,,,,,,,,,,,,,,1.077301025390625,
,,75,,,,,,,,,,,,,,,,1.0133056640625,
,,76,,,,,,,,,,,,,,,,1.0899810791015625,
,,77,,,,,,,,,,,,,,,,0.885589599609375,
,,78,,,,,,,,,,,,,,,,0.8282012939453125,
,,79,,,,,,,,,,,,,,,,0.6093206405639648,
,,80,,,,,,,,,,,,,,,,1.212188720703125,
,,81,,,,,,,,,,,,,,,,1.225128173828125,
,,82,,,,,,,,,,,,,,,,1.332855224609375,
,,83,,,,,,,,,,,,,,,,1.0909423828125,
,,84,,,,,,,,,,,,,,,,1.48919677734375,
,,85,,,,,,,,,,,,,,,,0.9958953857421875,
,,86,,,,,,,,,,,,,,,,1.46728515625,
,,87,,,,,,,,,,,,,,,,1.819488525390625,
,,88,,,,,,,,,,,,,,,,0.34710216522216797,
,,89,,,,,,,,,,,,,,,,0.021648406982421875,
,,90,,,,,,,,,,,,,,,,0.38498497009277344,
,,91,,,,,,,,,,,,,,,,0.7914581298828125,
