epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/recall,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/loss,val/macro_precision,val/mcc,val/precision_c0,val/precision_c1,val/precision_c2,val/recall
2,,,1539,,,,,,,,,,0.18544597923755646,,,,,,,,,,
2,,,1559,,,,,,,,,,0.2499045878648758,,,,,,,,,,
2,,,1579,,,,,,,,,,0.2125336229801178,,,,,,,,,,
2,,,1599,,,,,,,,,,0.16964370012283325,,,,,,,,,,
2,,,1613,,,,,,,,,,,0.4773520231246948,0.6849993467330933,0.4335694909095764,3.540255546569824,0.5214626789093018,0.22882062196731567,0.3865951597690582,0.4378463923931122,0.7399463653564453,0.4773520231246948
2,,,1613,,,,,,,,0.7237675189971924,0.3528873324394226,,,,,,,,,,,
,0.00015,0.00015,1614,,,,,,,,,,,,,,,,,,,,
3,,,1619,,,,,,,,,,0.7074453830718994,,,,,,,,,,
3,,,1639,,,,,,,,,,0.2707115709781647,,,,,,,,,,
3,,,1659,,,,,,,,,,0.39204323291778564,,,,,,,,,,
3,,,1679,,,,,,,,,,0.1750703901052475,,,,,,,,,,
3,,,1699,,,,,,,,,,0.17111919820308685,,,,,,,,,,
3,,,1719,,,,,,,,,,0.8215547800064087,,,,,,,,,,
3,,,1739,,,,,,,,,,0.43966132402420044,,,,,,,,,,
3,,,1759,,,,,,,,,,0.7688549757003784,,,,,,,,,,
3,,,1779,,,,,,,,,,0.5866972208023071,,,,,,,,,,
3,,,1799,,,,,,,,,,0.3410511612892151,,,,,,,,,,
3,,,1819,,,,,,,,,,0.31235527992248535,,,,,,,,,,
3,,,1839,,,,,,,,,,0.27932363748550415,,,,,,,,,,
3,,,1859,,,,,,,,,,0.6129865050315857,,,,,,,,,,
3,,,1879,,,,,,,,,,0.1742347776889801,,,,,,,,,,
3,,,1899,,,,,,,,,,0.459789901971817,,,,,,,,,,
3,,,1919,,,,,,,,,,0.38098418712615967,,,,,,,,,,
3,,,1939,,,,,,,,,,0.27554357051849365,,,,,,,,,,
3,,,1959,,,,,,,,,,0.574415385723114,,,,,,,,,,
3,,,1979,,,,,,,,,,0.17440930008888245,,,,,,,,,,
3,,,1999,,,,,,,,,,0.27190256118774414,,,,,,,,,,
3,,,2019,,,,,,,,,,0.3560563325881958,,,,,,,,,,
3,,,2039,,,,,,,,,,0.13073816895484924,,,,,,,,,,
3,,,2059,,,,,,,,,,0.4194492697715759,,,,,,,,,,
3,,,2079,,,,,,,,,,0.16374917328357697,,,,,,,,,,
3,,,2099,,,,,,,,,,0.14778172969818115,,,,,,,,,,
3,,,2119,,,,,,,,,,0.2815623879432678,,,,,,,,,,
3,,,2139,,,,,,,,,,0.23807910084724426,,,,,,,,,,
3,,,2151,,,,,,,,,,,0.4448602497577667,0.6543392539024353,0.3614540994167328,4.277629375457764,0.44793540239334106,0.1848674863576889,0.3972206115722656,0.41894736886024475,0.5276381969451904,0.4448602497577667
3,,,2151,,,,,,,,0.7515934109687805,0.3149610757827759,,,,,,,,,,,
,0.00018749999999999998,0.00018749999999999998,2152,,,,,,,,,,,,,,,,,,,,
4,,,2159,,,,,,,,,,0.1465524137020111,,,,,,,,,,
4,,,2179,,,,,,,,,,0.14793841540813446,,,,,,,,,,
4,,,2199,,,,,,,,,,0.16801980137825012,,,,,,,,,,
4,,,2219,,,,,,,,,,0.19187518954277039,,,,,,,,,,
4,,,2239,,,,,,,,,,0.2763231694698334,,,,,,,,,,
4,,,2259,,,,,,,,,,0.1452903002500534,,,,,,,,,,
4,,,2279,,,,,,,,,,0.3780762255191803,,,,,,,,,,
4,,,2299,,,,,,,,,,0.29669082164764404,,,,,,,,,,
4,,,2319,,,,,,,,,,0.1497870236635208,,,,,,,,,,
4,,,2339,,,,,,,,,,0.15673136711120605,,,,,,,,,,
4,,,2359,,,,,,,,,,0.1748383343219757,,,,,,,,,,
4,,,2379,,,,,,,,,,0.16027361154556274,,,,,,,,,,
4,,,2399,,,,,,,,,,0.19239896535873413,,,,,,,,,,
4,,,2419,,,,,,,,,,0.1414737105369568,,,,,,,,,,
4,,,2439,,,,,,,,,,0.15902796387672424,,,,,,,,,,
4,,,2459,,,,,,,,,,0.2244134098291397,,,,,,,,,,
4,,,2479,,,,,,,,,,0.1688356101512909,,,,,,,,,,
4,,,2499,,,,,,,,,,0.32296520471572876,,,,,,,,,,
4,,,2519,,,,,,,,,,0.28665459156036377,,,,,,,,,,
4,,,2539,,,,,,,,,,0.14316138625144958,,,,,,,,,,
4,,,2559,,,,,,,,,,0.166865736246109,,,,,,,,,,
4,,,2579,,,,,,,,,,0.38003480434417725,,,,,,,,,,
4,,,2599,,,,,,,,,,0.15388986468315125,,,,,,,,,,
4,,,2619,,,,,,,,,,0.44011417031288147,,,,,,,,,,
4,,,2639,,,,,,,,,,0.2437998354434967,,,,,,,,,,
4,,,2659,,,,,,,,,,0.17500373721122742,,,,,,,,,,
4,,,2679,,,,,,,,,,0.23145222663879395,,,,,,,,,,
4,,,2689,,,,,,,,,,,0.476265549659729,0.7164008021354675,0.3801916241645813,2.729687452316284,0.6587178111076355,0.2996772527694702,0.8556700944900513,0.37492597103118896,0.7455573678016663,0.476265549659729
4,,,2689,,,,,,,,0.7696733474731445,0.2922201156616211,,,,,,,,,,,
,0.000225,0.000225,2690,,,,,,,,,,,,,,,,,,,,
5,,,2699,,,,,,,,,,0.18368270993232727,,,,,,,,,,
5,,,2719,,,,,,,,,,0.2775571346282959,,,,,,,,,,
5,,,2739,,,,,,,,,,0.16794055700302124,,,,,,,,,,
5,,,2759,,,,,,,,,,0.3170597553253174,,,,,,,,,,
5,,,2779,,,,,,,,,,0.19278651475906372,,,,,,,,,,
5,,,2799,,,,,,,,,,0.16796907782554626,,,,,,,,,,
5,,,2819,,,,,,,,,,0.1556076556444168,,,,,,,,,,
5,,,2839,,,,,,,,,,0.21045345067977905,,,,,,,,,,
5,,,2859,,,,,,,,,,0.5658152103424072,,,,,,,,,,
5,,,2879,,,,,,,,,,0.3897870182991028,,,,,,,,,,
5,,,2899,,,,,,,,,,0.1755131036043167,,,,,,,,,,
5,,,2919,,,,,,,,,,0.4599226415157318,,,,,,,,,,
5,,,2939,,,,,,,,,,0.41492170095443726,,,,,,,,,,
5,,,2959,,,,,,,,,,0.2730511426925659,,,,,,,,,,
5,,,2979,,,,,,,,,,0.11958327144384384,,,,,,,,,,
5,,,2999,,,,,,,,,,0.4919035732746124,,,,,,,,,,
5,,,3019,,,,,,,,,,0.13078349828720093,,,,,,,,,,
5,,,3039,,,,,,,,,,0.11433510482311249,,,,,,,,,,
5,,,3059,,,,,,,,,,0.31727856397628784,,,,,,,,,,
5,,,3079,,,,,,,,,,0.35166218876838684,,,,,,,,,,
5,,,3099,,,,,,,,,,0.15547490119934082,,,,,,,,,,
5,,,3119,,,,,,,,,,0.3430429697036743,,,,,,,,,,
5,,,3139,,,,,,,,,,0.7231835126876831,,,,,,,,,,
5,,,3159,,,,,,,,,,0.21831628680229187,,,,,,,,,,
5,,,3179,,,,,,,,,,0.09345722198486328,,,,,,,,,,
5,,,3199,,,,,,,,,,0.2084774225950241,,,,,,,,,,
5,,,3219,,,,,,,,,,0.7578719854354858,,,,,,,,,,
5,,,3227,,,,,,,,,,,0.4783954620361328,0.7221403121948242,0.404630184173584,2.954132080078125,0.6423115730285645,0.3036843240261078,0.7574931979179382,0.3720703125,0.7973713278770447,0.4783954620361328
5,,,3227,,,,,,,,0.7901318073272705,0.27123501896858215,,,,,,,,,,,
,0.0002625,0.0002625,3228,,,,,,,,,,,,,,,,,,,,
6,,,3239,,,,,,,,,,0.13695137202739716,,,,,,,,,,
6,,,3259,,,,,,,,,,0.1525164395570755,,,,,,,,,,
6,,,3279,,,,,,,,,,0.17507079243659973,,,,,,,,,,
6,,,3299,,,,,,,,,,0.17467503249645233,,,,,,,,,,
6,,,3319,,,,,,,,,,0.10107472538948059,,,,,,,,,,
6,,,3339,,,,,,,,,,0.16452017426490784,,,,,,,,,,
6,,,3359,,,,,,,,,,0.15800198912620544,,,,,,,,,,
6,,,3379,,,,,,,,,,0.22008982300758362,,,,,,,,,,
6,,,3399,,,,,,,,,,0.11441968381404877,,,,,,,,,,
6,,,3419,,,,,,,,,,0.34061288833618164,,,,,,,,,,
6,,,3439,,,,,,,,,,0.3694385290145874,,,,,,,,,,
6,,,3459,,,,,,,,,,0.1080213412642479,,,,,,,,,,
6,,,3479,,,,,,,,,,0.41953831911087036,,,,,,,,,,
6,,,3499,,,,,,,,,,0.4113914370536804,,,,,,,,,,
6,,,3519,,,,,,,,,,0.28525620698928833,,,,,,,,,,
6,,,3539,,,,,,,,,,0.26688116788864136,,,,,,,,,,
6,,,3559,,,,,,,,,,0.11613531410694122,,,,,,,,,,
6,,,3579,,,,,,,,,,0.27392327785491943,,,,,,,,,,
6,,,3599,,,,,,,,,,0.27009373903274536,,,,,,,,,,
6,,,3619,,,,,,,,,,0.10394106805324554,,,,,,,,,,
6,,,3639,,,,,,,,,,0.19174480438232422,,,,,,,,,,
6,,,3659,,,,,,,,,,0.3458658456802368,,,,,,,,,,
6,,,3679,,,,,,,,,,0.12526758015155792,,,,,,,,,,
6,,,3699,,,,,,,,,,0.15595686435699463,,,,,,,,,,
6,,,3719,,,,,,,,,,0.14669398963451385,,,,,,,,,,
6,,,3739,,,,,,,,,,0.14129497110843658,,,,,,,,,,
6,,,3759,,,,,,,,,,0.3598993122577667,,,,,,,,,,
6,,,3765,,,,,,,,,,,0.6360622644424438,0.78770512342453,0.6372860074043274,2.4866883754730225,0.6702983379364014,0.4589990973472595,0.5178181529045105,0.6137183904647827,0.8793584108352661,0.6360622644424438
6,,,3765,,,,,,,,0.7926740646362305,0.26640579104423523,,,,,,,,,,,
,0.0003,0.0003,3766,,,,,,,,,,,,,,,,,,,,
7,,,3779,,,,,,,,,,0.20838221907615662,,,,,,,,,,
7,,,3799,,,,,,,,,,0.22112968564033508,,,,,,,,,,
7,,,3819,,,,,,,,,,0.2455536425113678,,,,,,,,,,
7,,,3839,,,,,,,,,,0.1317078322172165,,,,,,,,,,
7,,,3859,,,,,,,,,,0.29158517718315125,,,,,,,,,,
7,,,3879,,,,,,,,,,0.3694716691970825,,,,,,,,,,
7,,,3899,,,,,,,,,,0.16053004562854767,,,,,,,,,,
7,,,3919,,,,,,,,,,0.3638090193271637,,,,,,,,,,
7,,,3939,,,,,,,,,,0.6627645492553711,,,,,,,,,,
7,,,3959,,,,,,,,,,0.11962033063173294,,,,,,,,,,
7,,,3979,,,,,,,,,,0.3725784420967102,,,,,,,,,,
7,,,3999,,,,,,,,,,0.6025282144546509,,,,,,,,,,
7,,,4019,,,,,,,,,,0.10140420496463776,,,,,,,,,,
7,,,4039,,,,,,,,,,0.12381438910961151,,,,,,,,,,
7,,,4059,,,,,,,,,,0.2762755751609802,,,,,,,,,,
7,,,4079,,,,,,,,,,0.16644157469272614,,,,,,,,,,
7,,,4099,,,,,,,,,,0.14805832505226135,,,,,,,,,,
7,,,4119,,,,,,,,,,0.11357874423265457,,,,,,,,,,
7,,,4139,,,,,,,,,,0.36124786734580994,,,,,,,,,,
7,,,4159,,,,,,,,,,0.2655022144317627,,,,,,,,,,
7,,,4179,,,,,,,,,,0.0518115758895874,,,,,,,,,,
7,,,4199,,,,,,,,,,0.49129271507263184,,,,,,,,,,
