epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/acc_step,train/auroc_step,train/f1_step,train/loss_step,train/mcc_step,train/prec_step
,1.143098387631323e-05,1.143098387631323e-06,0,,,,,,
0,,,19,0.1875,0.5143228769302368,0.16025641560554504,17.492061614990234,-0.05096472054719925,0.1805555522441864
0,,,39,0.2172619104385376,0.5706273317337036,0.21085163950920105,17.752471923828125,-0.055256206542253494,0.2083333432674408
0,,,59,0.3333333432674408,0.6287011504173279,0.15340909361839294,10.41131591796875,0.02464444935321808,0.10555555671453476
0,,,79,0.40833333134651184,0.64949631690979,0.3511904776096344,21.935758590698242,0.26281893253326416,0.4236111044883728
0,,,99,0.4583333432674408,0.7279762029647827,0.3678571581840515,17.92806625366211,0.2781469523906708,0.3499999940395355
0,,,119,0.5833333134651184,0.7653846144676208,0.4791666865348816,19.529664993286133,0.4861418306827545,0.5249999761581421
0,,,139,0.5249999761581421,0.5548992156982422,0.3916666805744171,44.306007385253906,0.21239548921585083,0.3541666865348816
0,,,159,0.2708333432674408,0.5822916626930237,0.21590909361839294,18.807987213134766,0.0703791156411171,0.19374999403953552
0,,,179,0.22499999403953552,0.5708333253860474,0.2077922224998474,25.79291534423828,0.018609505146741867,0.20555555820465088
0,,,199,0.25,0.6448717713356018,0.24264705181121826,24.48052406311035,0.07429041713476181,0.34090909361839294
0,,,219,0.5357142686843872,0.6746031641960144,0.44285714626312256,18.69940185546875,0.16540725529193878,0.4333333373069763
0,,,239,0.19166667759418488,0.4339826703071594,0.17142857611179352,24.09177017211914,-0.024881703779101372,0.32499998807907104
0,,,259,0.36250001192092896,0.4771707355976105,0.26121795177459717,13.232072830200195,0.14002540707588196,0.28333333134651184
0,,,279,0.25,0.48162880539894104,0.25,23.89299201965332,0.06416639685630798,0.3333333432674408
0,,,299,0.1875,0.4479166865348816,0.1458333432674408,20.288970947265625,-0.08908708393573761,0.125
0,,,319,0.15000000596046448,0.3512018918991089,0.10000000149011612,18.964094161987305,-0.14204028248786926,0.07500000298023224
0,,,339,0.3499999940395355,0.529291570186615,0.3214285671710968,24.244033813476562,0.14559511840343475,0.39375001192092896
0,,,359,0.25833332538604736,0.514816403388977,0.2755952477455139,12.804014205932617,0.034850750118494034,0.4444444477558136
0,,,379,0.4333333373069763,0.670512855052948,0.4035714268684387,17.53573989868164,0.3249230980873108,0.4305555820465088
0,,,399,0.5277777910232544,0.6848709583282471,0.31785714626312256,15.793323516845703,0.27049264311790466,0.4333333373069763
0,,,419,0.15000000596046448,0.6111471652984619,0.09375,11.871482849121094,-0.16777390241622925,0.06818182021379471
0,,,439,0.36250001192092896,0.5987179279327393,0.26121795177459717,11.807058334350586,0.14002540707588196,0.28333333134651184
0,,,459,0.3333333432674408,0.6086537837982178,0.18681319057941437,10.770063400268555,0.08802420645952225,0.13750000298023224
0,,,479,0.30000001192092896,0.6658729910850525,0.1428571492433548,6.933912754058838,0.07433762401342392,0.1666666716337204
0,,,499,0.4047619104385376,0.6630227565765381,0.2769230902194977,7.231472015380859,0.2103641778230667,0.33712121844291687
0,,,519,0.4166666865348816,0.651864767074585,0.4107142984867096,21.435754776000977,0.2468368411064148,0.5486111044883728
