epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/loss,val/macro_precision,val/mcc,val/precision_c0,val/precision_c1,val/recall
,3.75e-05,3.75e-05,0,,,,,,,,,,,,
0,,,19,,,0.520159900188446,,,,,,,,,
0,,,39,,,0.4750604033470154,,,,,,,,,
0,,,59,,,0.4277490973472595,,,,,,,,,
0,,,79,,,0.3835601210594177,,,,,,,,,
0,,,99,,,0.31579455733299255,,,,,,,,,
0,,,119,,,0.4075145423412323,,,,,,,,,
0,,,139,,,0.3413453698158264,,,,,,,,,
0,,,159,,,0.31550332903862,,,,,,,,,
0,,,179,,,0.42441362142562866,,,,,,,,,
0,,,199,,,0.28257471323013306,,,,,,,,,
0,,,219,,,0.28839248418807983,,,,,,,,,
0,,,239,,,0.3431573808193207,,,,,,,,,
0,,,259,,,0.29696598649024963,,,,,,,,,
0,,,279,,,0.34354549646377563,,,,,,,,,
0,,,299,,,0.34604787826538086,,,,,,,,,
0,,,319,,,0.25602471828460693,,,,,,,,,
0,,,339,,,0.2645140588283539,,,,,,,,,
0,,,359,,,0.3977699875831604,,,,,,,,,
0,,,379,,,0.2405332773923874,,,,,,,,,
0,,,399,,,0.18998798727989197,,,,,,,,,
0,,,419,,,0.25715404748916626,,,,,,,,,
0,,,439,,,0.2768018841743469,,,,,,,,,
0,,,459,,,0.20485663414001465,,,,,,,,,
0,,,479,,,0.2938166558742523,,,,,,,,,
0,,,499,,,0.2905014455318451,,,,,,,,,
0,,,519,,,0.3597390949726105,,,,,,,,,
0,,,539,,,0.18987232446670532,,,,,,,,,
0,,,559,,,0.2714535892009735,,,,,,,,,
0,,,579,,,0.18795064091682434,,,,,,,,,
0,,,599,,,0.26597386598587036,,,,,,,,,
0,,,619,,,0.19144020974636078,,,,,,,,,
0,,,639,,,0.25647059082984924,,,,,,,,,
0,,,659,,,0.3278096914291382,,,,,,,,,
0,,,679,,,0.40434005856513977,,,,,,,,,
0,,,699,,,0.21274173259735107,,,,,,,,,
0,,,719,,,0.2849092185497284,,,,,,,,,
0,,,739,,,0.289288192987442,,,,,,,,,
0,,,759,,,0.20672549307346344,,,,,,,,,
0,,,779,,,0.25504282116889954,,,,,,,,,
0,,,799,,,0.19867932796478271,,,,,,,,,
0,,,819,,,0.309852659702301,,,,,,,,,
0,,,839,,,0.3096344769001007,,,,,,,,,
0,,,859,,,0.22823914885520935,,,,,,,,,
0,,,879,,,0.1742350310087204,,,,,,,,,
0,,,899,,,0.2679470479488373,,,,,,,,,
0,,,919,,,0.2660028338432312,,,,,,,,,
0,,,939,,,0.31299889087677,,,,,,,,,
0,,,959,,,0.18435564637184143,,,,,,,,,
0,,,979,,,0.394820898771286,,,,,,,,,
0,,,999,,,0.24027985334396362,,,,,,,,,
0,,,1019,,,0.3611498475074768,,,,,,,,,
0,,,1039,,,0.2837972640991211,,,,,,,,,
0,,,1059,,,0.3274010419845581,,,,,,,,,
0,,,1079,,,0.3422543704509735,,,,,,,,,
0,,,1099,,,0.2680874466896057,,,,,,,,,
0,,,1119,,,0.4191378057003021,,,,,,,,,
0,,,1139,,,0.28784650564193726,,,,,,,,,
0,,,1159,,,0.27049100399017334,,,,,,,,,
0,,,1179,,,0.3146076798439026,,,,,,,,,
0,,,1199,,,0.33815622329711914,,,,,,,,,
0,,,1219,,,0.3206672668457031,,,,,,,,,
0,,,1239,,,0.2700813412666321,,,,,,,,,
0,,,1259,,,0.3087022602558136,,,,,,,,,
0,,,1279,,,0.28571411967277527,,,,,,,,,
0,,,1299,,,0.2416570484638214,,,,,,,,,
0,,,1319,,,0.2432631254196167,,,,,,,,,
0,,,1339,,,0.24729689955711365,,,,,,,,,
0,,,1359,,,0.2438252717256546,,,,,,,,,
0,,,1379,,,0.19264502823352814,,,,,,,,,
0,,,1399,,,0.283674955368042,,,,,,,,,
0,,,1419,,,0.2938026487827301,,,,,,,,,
0,,,1439,,,0.30234047770500183,,,,,,,,,
0,,,1459,,,0.22022442519664764,,,,,,,,,
0,,,1479,,,0.22704610228538513,,,,,,,,,
0,,,1499,,,0.25510644912719727,,,,,,,,,
0,,,1519,,,0.23127998411655426,,,,,,,,,
0,,,1539,,,0.356183260679245,,,,,,,,,
0,,,1559,,,0.32618793845176697,,,,,,,,,
0,,,1579,,,0.24756570160388947,,,,,,,,,
