epoch,lr-AdamW,p_cd1,p_cd2,p_cd3,step,test_auroc,test_f1_score,test_f_beta,test_loss_epoch,test_loss_step,test_mcc,test_task_loss,train_cd_reg,train_f1_score,train_f_beta,train_loss_epoch,train_loss_step,train_mcc,train_task_loss,val_auroc,val_f1_score,val_f_beta,val_loss_epoch,val_loss_step,val_mcc,val_task_loss
,,,,,48,,,,,,,,,,,,,,,,,,,4.861581325531006,,
,,,,,49,,,,,,,,,,,,,,,,,,,5.060571193695068,,
,,,,,50,,,,,,,,,,,,,,,,,,,5.059872627258301,,
,,,,,51,,,,,,,,,,,,,,,,,,,5.650128364562988,,
,,,,,52,,,,,,,,,,,,,,,,,,,6.630934715270996,,
,,,,,53,,,,,,,,,,,,,,,,,,,6.809453964233398,,
,,,,,54,,,,,,,,,,,,,,,,,,,6.56521463394165,,
,,,,,55,,,,,,,,,,,,,,,,,,,6.61289119720459,,
,,,,,56,,,,,,,,,,,,,,,,,,,7.600016117095947,,
,,,,,57,,,,,,,,,,,,,,,,,,,7.2502899169921875,,
,,,,,58,,,,,,,,,,,,,,,,,,,5.596395969390869,,
0,,,,,357,,,,,,,,,,,,,,,0.5416157245635986,0.11153028905391693,0.11153028905391693,8.327362060546875,,0.009805113077163696,8.327362060546875
0,,0.09939590096473694,0.1489892154932022,0.19960790872573853,357,,,,,,,,0.00202565616928041,0.23495285212993622,0.23495285212993622,9.76212215423584,,0.08157660812139511,9.760096549987793,,,,,,,
,5.9999999999999995e-05,,,,358,,,,,,,,,,,,,,,,,,,,,
1,,,,,359,,,,,,,,,,,,3.2240748405456543,,,,,,,,,
1,,,,,369,,,,,,,,,,,,4.532029151916504,,,,,,,,,
1,,,,,379,,,,,,,,,,,,5.384181499481201,,,,,,,,,
1,,,,,389,,,,,,,,,,,,3.105512857437134,,,,,,,,,
1,,,,,399,,,,,,,,,,,,4.373964309692383,,,,,,,,,
1,,,,,409,,,,,,,,,,,,4.095230579376221,,,,,,,,,
1,,,,,419,,,,,,,,,,,,2.9581117630004883,,,,,,,,,
1,,,,,429,,,,,,,,,,,,2.6955621242523193,,,,,,,,,
1,,,,,439,,,,,,,,,,,,3.8163585662841797,,,,,,,,,
1,,,,,449,,,,,,,,,,,,3.1288912296295166,,,,,,,,,
1,,,,,459,,,,,,,,,,,,2.7456209659576416,,,,,,,,,
1,,,,,469,,,,,,,,,,,,3.049051523208618,,,,,,,,,
1,,,,,479,,,,,,,,,,,,3.435919761657715,,,,,,,,,
1,,,,,489,,,,,,,,,,,,2.7555782794952393,,,,,,,,,
1,,,,,499,,,,,,,,,,,,2.5468311309814453,,,,,,,,,
1,,,,,509,,,,,,,,,,,,2.62855863571167,,,,,,,,,
1,,,,,519,,,,,,,,,,,,2.7426037788391113,,,,,,,,,
1,,,,,529,,,,,,,,,,,,2.2687792778015137,,,,,,,,,
1,,,,,539,,,,,,,,,,,,2.4733498096466064,,,,,,,,,
1,,,,,549,,,,,,,,,,,,4.836106300354004,,,,,,,,,
1,,,,,559,,,,,,,,,,,,2.510578155517578,,,,,,,,,
1,,,,,569,,,,,,,,,,,,2.721677780151367,,,,,,,,,
1,,,,,579,,,,,,,,,,,,2.6394271850585938,,,,,,,,,
1,,,,,589,,,,,,,,,,,,2.041677236557007,,,,,,,,,
1,,,,,599,,,,,,,,,,,,4.452414512634277,,,,,,,,,
1,,,,,609,,,,,,,,,,,,4.366762638092041,,,,,,,,,
1,,,,,619,,,,,,,,,,,,4.06859827041626,,,,,,,,,
1,,,,,629,,,,,,,,,,,,2.5350139141082764,,,,,,,,,
1,,,,,639,,,,,,,,,,,,3.0417587757110596,,,,,,,,,
1,,,,,649,,,,,,,,,,,,4.4817728996276855,,,,,,,,,
1,,,,,659,,,,,,,,,,,,2.601130723953247,,,,,,,,,
1,,,,,669,,,,,,,,,,,,3.943164587020874,,,,,,,,,
1,,,,,679,,,,,,,,,,,,3.6524412631988525,,,,,,,,,
1,,,,,689,,,,,,,,,,,,1.8516151905059814,,,,,,,,,
1,,,,,699,,,,,,,,,,,,5.115621566772461,,,,,,,,,
1,,,,,709,,,,,,,,,,,,2.2105088233947754,,,,,,,,,
,,,,,59,,,,,,,,,,,,,,,,,,,1.1274008750915527,,
,,,,,60,,,,,,,,,,,,,,,,,,,1.4187028408050537,,
