epoch,lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,train/acc,train/loss_epoch,train/loss_step,val/acc,val/f1,val/loss,val/mcc,val/precision
,9.183224453313752e-06,9.183224453313752e-06,9.183224453313752e-07,0,,,,,,,,
0,,,,19,,,2.068073034286499,,,,,
0,,,,39,,,1.3369207382202148,,,,,
0,,,,59,,,1.2794867753982544,,,,,
0,,,,79,,,1.4269883632659912,,,,,
0,,,,99,,,1.53340482711792,,,,,
0,,,,119,,,1.1523678302764893,,,,,
0,,,,139,,,1.1503154039382935,,,,,
0,,,,159,,,1.8290667533874512,,,,,
0,,,,179,,,1.561620831489563,,,,,
0,,,,199,,,0.8781651854515076,,,,,
0,,,,219,,,0.9149432182312012,,,,,
0,,,,239,,,1.9525749683380127,,,,,
0,,,,259,,,0.7976096272468567,,,,,
0,,,,269,,,,0.45057225227355957,0.4026118516921997,3.0122129917144775,0.2729836106300354,0.4155603349208832
0,,,,269,0.4251265525817871,1.2960455417633057,,,,,,
,0.00010009714654111988,0.00010009714654111988,1.0009714654111988e-05,270,,,,,,,,
1,,,,279,,,0.9513328075408936,,,,,
1,,,,299,,,0.675292432308197,,,,,
1,,,,319,,,1.294428825378418,,,,,
1,,,,339,,,1.2064404487609863,,,,,
1,,,,359,,,0.8527135848999023,,,,,
1,,,,379,,,0.4661075472831726,,,,,
1,,,,399,,,0.5177880525588989,,,,,
1,,,,419,,,0.4627918303012848,,,,,
1,,,,439,,,0.9575319886207581,,,,,
1,,,,459,,,1.0260748863220215,,,,,
1,,,,479,,,0.6159005761146545,,,,,
1,,,,499,,,1.1103572845458984,,,,,
1,,,,519,,,0.4166075885295868,,,,,
1,,,,539,,,0.4992811977863312,,,,,
1,,,,539,,,,0.4093111753463745,0.2716919779777527,2.417167901992798,0.196761354804039,0.3481769263744354
1,,,,539,0.46358761191368103,0.688006579875946,,,,,,
,0.000191011068628926,0.000191011068628926,1.91011068628926e-05,540,,,,,,,,
2,,,,559,,,0.987302303314209,,,,,
2,,,,579,,,0.6183599233627319,,,,,
2,,,,599,,,0.5464258193969727,,,,,
2,,,,619,,,0.4155045747756958,,,,,
2,,,,639,,,0.7247304320335388,,,,,
2,,,,659,,,0.5320074558258057,,,,,
2,,,,679,,,0.9031740427017212,,,,,
2,,,,699,,,0.5833060145378113,,,,,
2,,,,719,,,1.0427658557891846,,,,,
2,,,,739,,,0.42168116569519043,,,,,
2,,,,759,,,0.36260125041007996,,,,,
2,,,,779,,,1.0837335586547852,,,,,
2,,,,799,,,0.37254437804222107,,,,,
2,,,,809,,,,0.3357563316822052,0.15153798460960388,3.5269696712493896,0.026472754776477814,0.2355191856622696
2,,,,809,0.46911534667015076,0.6127355694770813,,,,,,
,0.0002819249907167321,0.0002819249907167321,2.8192499071673213e-05,810,,,,,,,,
3,,,,819,,,0.4256878197193146,,,,,
3,,,,839,,,0.4434080123901367,,,,,
3,,,,859,,,0.2658427357673645,,,,,
3,,,,879,,,0.4437168538570404,,,,,
3,,,,899,,,0.4660435616970062,,,,,
3,,,,919,,,0.510470986366272,,,,,
3,,,,939,,,0.4760935604572296,,,,,
3,,,,959,,,1.0955328941345215,,,,,
3,,,,979,,,0.40696635842323303,,,,,
3,,,,999,,,0.31264397501945496,,,,,
3,,,,1019,,,1.2403512001037598,,,,,
3,,,,1039,,,0.3124336898326874,,,,,
3,,,,1059,,,0.3177475333213806,,,,,
