epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/mcc,train/acc,train/loss_epoch,train/loss_step,val/acc,val/f1,val/loss,val/mcc
,0.00015,0.00015,2154,,,,,,,,,,,,
3,,,2159,,,,,,,,1.6765258312225342,,,,
3,,,2179,,,,,,,,1.6435977220535278,,,,
3,,,2199,,,,,,,,1.6068170070648193,,,,
3,,,2219,,,,,,,,6.077266216278076,,,,
3,,,2239,,,,,,,,1.444700837135315,,,,
3,,,2259,,,,,,,,2.7839913368225098,,,,
3,,,2279,,,,,,,,1.9759901762008667,,,,
3,,,2299,,,,,,,,3.7103371620178223,,,,
3,,,2319,,,,,,,,4.062294960021973,,,,
3,,,2339,,,,,,,,5.02500057220459,,,,
3,,,2359,,,,,,,,2.30841064453125,,,,
3,,,2379,,,,,,,,1.8969439268112183,,,,
3,,,2399,,,,,,,,5.0826826095581055,,,,
3,,,2419,,,,,,,,1.7861732244491577,,,,
3,,,2439,,,,,,,,2.12632417678833,,,,
3,,,2459,,,,,,,,5.6703200340271,,,,
3,,,2479,,,,,,,,3.4158360958099365,,,,
3,,,2499,,,,,,,,1.591579556465149,,,,
3,,,2519,,,,,,,,3.949662208557129,,,,
3,,,2539,,,,,,,,1.4346375465393066,,,,
3,,,2559,,,,,,,,2.626500368118286,,,,
3,,,2579,,,,,,,,1.6732412576675415,,,,
3,,,2599,,,,,,,,1.3108159303665161,,,,
3,,,2619,,,,,,,,1.165727972984314,,,,
3,,,2639,,,,,,,,1.8542656898498535,,,,
3,,,2659,,,,,,,,1.6462186574935913,,,,
3,,,2679,,,,,,,,3.0530200004577637,,,,
3,,,2699,,,,,,,,1.2889410257339478,,,,
3,,,2719,,,,,,,,6.128263473510742,,,,
3,,,2739,,,,,,,,3.3382174968719482,,,,
3,,,2759,,,,,,,,1.989159345626831,,,,
3,,,2779,,,,,,,,4.538599014282227,,,,
3,,,2799,,,,,,,,2.165247678756714,,,,
3,,,2819,,,,,,,,5.029521942138672,,,,
