epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,5.9999999999999995e-05,5.9999999999999995e-05,0,,,,,,,,,,,,,,,
0,,,19,,,0.9115498065948486,,,,,,,,,,,,
0,,,39,,,0.7242705225944519,,,,,,,,,,,,
0,,,59,,,0.7549417614936829,,,,,,,,,,,,
0,,,79,,,0.6322735548019409,,,,,,,,,,,,
0,,,99,,,0.6095501184463501,,,,,,,,,,,,
0,,,119,,,0.5947330594062805,,,,,,,,,,,,
0,,,139,,,0.5279995799064636,,,,,,,,,,,,
0,,,159,,,0.48215392231941223,,,,,,,,,,,,
0,,,179,,,0.37368977069854736,,,,,,,,,,,,
0,,,199,,,0.5432013869285583,,,,,,,,,,,,
0,,,219,,,0.5621808767318726,,,,,,,,,,,,
0,,,239,,,0.544804573059082,,,,,,,,,,,,
0,,,259,,,0.49111679196357727,,,,,,,,,,,,
0,,,279,,,0.5107132792472839,,,,,,,,,,,,
0,,,299,,,0.6176388263702393,,,,,,,,,,,,
0,,,319,,,0.31673842668533325,,,,,,,,,,,,
0,,,339,,,0.5131616592407227,,,,,,,,,,,,
0,,,359,,,0.44731605052948,,,,,,,,,,,,
0,,,379,,,0.5049936175346375,,,,,,,,,,,,
0,,,399,,,0.48592618107795715,,,,,,,,,,,,
0,,,419,,,0.67402184009552,,,,,,,,,,,,
0,,,439,,,0.30815476179122925,,,,,,,,,,,,
0,,,459,,,0.3785248100757599,,,,,,,,,,,,
0,,,479,,,0.38427528738975525,,,,,,,,,,,,
0,,,499,,,0.4229627847671509,,,,,,,,,,,,
0,,,519,,,0.36984726786613464,,,,,,,,,,,,
0,,,539,,,0.5213764905929565,,,,,,,,,,,,
0,,,559,,,0.4975268244743347,,,,,,,,,,,,
0,,,579,,,0.5527762174606323,,,,,,,,,,,,
0,,,599,,,0.4770299792289734,,,,,,,,,,,,
0,,,619,,,0.4703349173069,,,,,,,,,,,,
0,,,639,,,0.3702404499053955,,,,,,,,,,,,
0,,,659,,,0.42174428701400757,,,,,,,,,,,,
0,,,679,,,0.3068379759788513,,,,,,,,,,,,
0,,,699,,,0.29545700550079346,,,,,,,,,,,,
0,,,719,,,0.4840667247772217,,,,,,,,,,,,
0,,,739,,,0.32255756855010986,,,,,,,,,,,,
0,,,759,,,0.29533594846725464,,,,,,,,,,,,
0,,,779,,,0.30931544303894043,,,,,,,,,,,,
0,,,799,,,0.321169912815094,,,,,,,,,,,,
0,,,819,,,0.3654252886772156,,,,,,,,,,,,
0,,,839,,,0.4042462706565857,,,,,,,,,,,,
0,,,859,,,0.27564001083374023,,,,,,,,,,,,
0,,,879,,,0.27408236265182495,,,,,,,,,,,,
0,,,899,,,0.4099196791648865,,,,,,,,,,,,
0,,,919,,,0.4241678714752197,,,,,,,,,,,,
0,,,939,,,0.3928191661834717,,,,,,,,,,,,
0,,,959,,,0.3857710361480713,,,,,,,,,,,,
0,,,979,,,0.3117576241493225,,,,,,,,,,,,
0,,,999,,,0.4204540550708771,,,,,,,,,,,,
0,,,1019,,,0.29766958951950073,,,,,,,,,,,,
0,,,1039,,,0.5723472833633423,,,,,,,,,,,,
0,,,1059,,,0.18656131625175476,,,,,,,,,,,,
0,,,1079,,,0.36434030532836914,,,,,,,,,,,,
0,,,1099,,,0.33799928426742554,,,,,,,,,,,,
0,,,1119,,,0.3384295105934143,,,,,,,,,,,,
0,,,1139,,,0.26569664478302,,,,,,,,,,,,
0,,,1159,,,0.411974161863327,,,,,,,,,,,,
0,,,1179,,,0.39644598960876465,,,,,,,,,,,,
0,,,1199,,,0.5028132200241089,,,,,,,,,,,,
0,,,1219,,,0.3183898329734802,,,,,,,,,,,,
0,,,1239,,,0.34561967849731445,,,,,,,,,,,,
0,,,1259,,,0.2513123154640198,,,,,,,,,,,,
0,,,1279,,,0.414584219455719,,,,,,,,,,,,
0,,,1299,,,0.236749067902565,,,,,,,,,,,,
0,,,1319,,,0.6338184475898743,,,,,,,,,,,,
0,,,1339,,,0.4282148778438568,,,,,,,,,,,,
0,,,1359,,,0.2938322126865387,,,,,,,,,,,,
