epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_step
,3.75e-05,3.75e-05,0,
0,,,19,1.5815296173095703
0,,,39,1.4119361639022827
0,,,59,1.2335413694381714
0,,,79,1.0884802341461182
0,,,99,1.0852993726730347
0,,,119,1.1336395740509033
0,,,139,0.9802656769752502
0,,,159,0.8806485533714294
0,,,179,1.0212974548339844
0,,,199,0.994114875793457
0,,,219,0.8769198656082153
0,,,239,0.9050002098083496
0,,,259,0.9208715558052063
0,,,279,1.0556081533432007
0,,,299,0.9081324338912964
0,,,319,0.6551862359046936
0,,,339,0.8174509406089783
0,,,359,0.6484245657920837
