epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/mcc,test/prec,train/acc_epoch,train/acc_step,train/auroc_epoch,train/auroc_step,train/f1_epoch,train/f1_step,train/loss_epoch,train/loss_step,train/mcc_epoch,train/mcc_step,train/prec_epoch,train/prec_step,val/acc,val/auroc,val/f1,val/loss,val/mcc,val/prec
,2.614634594933434e-05,2.6146345949334344e-06,0,,,,,,,,,,,,,,,,,,,,,,,,
0,,,19,,,,,,,,0.2906593680381775,,0.48767703771591187,,0.27218037843704224,,1.6322791576385498,,0.07332055270671844,,0.2751736044883728,,,,,,
0,,,39,,,,,,,,0.2670634984970093,,0.5091665983200073,,0.24756944179534912,,2.4705018997192383,,0.015936605632305145,,0.25165945291519165,,,,,,
0,,,59,,,,,,,,0.2804487347602844,,0.5369995832443237,,0.2747241258621216,,1.5500067472457886,,0.026804281398653984,,0.29027777910232544,,,,,,
0,,,79,,,,,,,,0.37046658992767334,,0.644471287727356,,0.366366982460022,,1.562503457069397,,0.16158804297447205,,0.38470131158828735,,,,,,
0,,,99,,,,,,,,0.3514881134033203,,0.6021193861961365,,0.3080139756202698,,1.2367053031921387,,0.1285574585199356,,0.29674389958381653,,,,,,
0,,,119,,,,,,,,0.2538806200027466,,0.5982990264892578,,0.23670725524425507,,2.671543598175049,,0.016064099967479706,,0.28415441513061523,,,,,,
0,,,139,,,,,,,,0.40112918615341187,,0.7353609800338745,,0.36142563819885254,,1.148998498916626,,0.20343764126300812,,0.3680555522441864,,,,,,
0,,,159,,,,,,,,0.377847820520401,,0.6684252023696899,,0.3656477928161621,,1.2619177103042603,,0.1821652352809906,,0.5115439891815186,,,,,,
0,,,178,,,,,,,,,,,,,,,,,,,0.25,0.5243078470230103,0.11967070400714874,nan,0.0,0.07866255939006805
0,,,178,,,,,,,0.3163781762123108,,0.5739873051643372,,0.3025779128074646,,nan,,0.09113482385873795,,0.3157806098461151,,,,,,,
1,,,179,0.25,0.5243078470230103,0.11967070400714874,nan,0.0,0.07866255939006805,,,,,,,,,,,,,,,,,,
