epoch,step,train_loss_step,val_loss_step
0,49,0.7406460642814636,
0,99,0.8830493092536926,
0,149,0.8259174823760986,
0,199,0.8933479189872742,
0,249,0.7379398345947266,
0,299,0.8134464025497437,
0,349,0.7792023420333862,
0,399,0.9307634234428406,
0,449,0.680467963218689,
,0,,0.279500812292099
,1,,0.279500812292099
,2,,0.279500812292099
,3,,0.279500812292099
,4,,0.279500812292099
,5,,0.279500812292099
,6,,0.279500812292099
,7,,0.279500812292099
,8,,0.279500812292099
,9,,0.279500812292099
,10,,0.279500812292099
,11,,0.279500812292099
,12,,0.279500812292099
,13,,0.279500812292099
,14,,0.279500812292099
,15,,0.279500812292099
,16,,0.279500812292099
,17,,0.279500812292099
,18,,0.279500812292099
,19,,0.279500812292099
,20,,0.279500812292099
,21,,0.279500812292099
,22,,0.279500812292099
,23,,0.279500812292099
,24,,0.279500812292099
,25,,0.279500812292099
,26,,0.279500812292099
,27,,0.279500812292099
,28,,0.279500812292099
,29,,0.279500812292099
,30,,0.279500812292099
,31,,0.279500812292099
,32,,0.279500812292099
,33,,0.279500812292099
,34,,0.279500812292099
,35,,0.279500812292099
,36,,0.279500812292099
,37,,0.279500812292099
,38,,0.279500812292099
,39,,0.279500812292099
,40,,0.279500812292099
,41,,0.279500812292099
,42,,0.279500812292099
,43,,0.279500812292099
,44,,0.279500812292099
,45,,0.279500812292099
,46,,0.279500812292099
,47,,0.279500812292099
,48,,0.279500812292099
,49,,0.279500812292099
,50,,0.279500812292099
,51,,0.279500812292099
,52,,0.279500812292099
,53,,0.279500812292099
,54,,0.279500812292099
,55,,0.279500812292099
,56,,0.279500812292099
,57,,0.279500812292099
,58,,0.279500812292099
,59,,0.279500812292099
,60,,0.279500812292099
,61,,0.279500812292099
,62,,0.279500812292099
,63,,0.279500812292099
,64,,0.279500812292099
,65,,0.279500812292099
,66,,0.279500812292099
,67,,0.279500812292099
,68,,2.5063953399658203
,69,,5.761087417602539
,70,,5.761087417602539
,71,,5.761087417602539
,72,,5.761087417602539
,73,,5.761087417602539
,74,,5.761087417602539
,75,,5.761087417602539
,76,,5.761087417602539
,77,,5.761087417602539
,78,,5.761087417602539
,79,,5.761087417602539
,80,,5.761087417602539
,81,,5.761087417602539
,82,,5.761087417602539
,83,,5.761087417602539
,84,,5.761087417602539
,85,,5.761087417602539
,86,,5.761087417602539
,87,,5.761087417602539
,88,,5.761087417602539
,89,,5.761087417602539
,90,,5.761087417602539
,91,,5.761087417602539
,92,,5.761087417602539
,93,,5.761087417602539
,94,,5.761087417602539
,95,,5.761087417602539
,96,,5.761087417602539
,97,,5.761087417602539
,98,,5.761087417602539
,99,,5.761087417602539
,100,,5.761087417602539
,101,,5.761087417602539
,102,,5.761087417602539
,103,,5.761087417602539
,104,,5.761087417602539
,105,,5.761087417602539
,106,,5.761087417602539
,107,,5.761087417602539
,108,,5.761087417602539
,109,,5.761087417602539
,110,,5.761087417602539
,111,,5.761087417602539
,112,,5.761087417602539
,113,,5.761087417602539
,114,,5.761087417602539
,115,,2.630721092224121
,116,,1.754218578338623
,117,,1.754218578338623
,118,,1.754218578338623
,119,,1.754218578338623
,120,,1.754218578338623
,121,,1.754218578338623
,122,,1.754218578338623
,123,,1.754218578338623
,124,,1.754218578338623
,125,,1.754218578338623
,126,,1.754218578338623
,127,,1.754218578338623
,128,,1.754218578338623
,129,,1.754218578338623
,130,,1.754218578338623
,131,,1.754218578338623
,132,,1.754218578338623
,133,,1.754218578338623
,134,,1.754218578338623
,135,,1.754218578338623
