epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_step
,0.0,0.0,0,
0,,,19,27.530960083007812
0,,,39,19.516786575317383
0,,,59,24.978961944580078
0,,,79,23.681182861328125
0,,,99,23.61488151550293
0,,,119,29.86022186279297
0,,,139,27.40656280517578
0,,,159,17.88622283935547
0,,,179,24.926939010620117
0,,,199,20.970966339111328
0,,,219,20.983835220336914
0,,,239,22.34391975402832
0,,,259,10.788201332092285
0,,,279,23.563690185546875
0,,,299,21.164464950561523
0,,,319,28.83586311340332
0,,,339,27.115915298461914
0,,,359,26.106252670288086
0,,,379,18.35196876525879
0,,,399,24.93079376220703
0,,,419,21.048126220703125
0,,,439,21.159929275512695
0,,,459,22.134153366088867
0,,,479,27.075876235961914
