epoch,lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,train/cons_lam_step,train/cons_step,train/loss_step,train/supcon_step
,5.9999999999999995e-05,5.9999999999999995e-05,6e-06,0,,,,
0,,,,19,0.03792908787727356,0.21050749719142914,8.548768997192383,4.110134124755859
0,,,,39,0.03792908787727356,0.1764121949672699,2.975360870361328,4.156986713409424
0,,,,59,0.03792908787727356,0.16490891575813293,7.008996486663818,4.079747676849365
0,,,,79,0.03792908787727356,0.19768190383911133,6.674307823181152,4.099606513977051
0,,,,99,0.03792908787727356,0.20335718989372253,3.342191696166992,4.176647186279297
0,,,,119,0.03792908787727356,0.23152612149715424,2.973642110824585,4.2046918869018555
0,,,,139,0.03792908787727356,0.137475848197937,6.005499839782715,3.9895732402801514
0,,,,159,0.03792908787727356,0.22866101562976837,2.419821262359619,4.198676586151123
0,,,,179,0.03792908787727356,0.23439733684062958,5.674724578857422,3.9299490451812744
0,,,,199,0.03792908787727356,0.18243910372257233,5.155252933502197,3.9289989471435547
0,,,,219,0.03792908787727356,0.2284034788608551,1.568640112876892,4.232319355010986
0,,,,239,0.03792908787727356,0.24166464805603027,2.553241491317749,4.191980838775635
0,,,,259,0.03792908787727356,0.20998811721801758,1.8400850296020508,4.185774326324463
0,,,,279,0.03792908787727356,0.20635008811950684,4.831143856048584,3.8842926025390625
0,,,,299,0.03792908787727356,0.20214705169200897,4.974764347076416,3.880596160888672
0,,,,319,0.03792908787727356,0.23614561557769775,4.572295188903809,4.208160400390625
0,,,,339,0.03792908787727356,0.19779662787914276,8.33478832244873,4.070388317108154
0,,,,359,0.03792908787727356,0.23002362251281738,2.0448157787323,4.195805549621582
0,,,,379,0.03792908787727356,0.23960931599140167,1.650039553642273,4.214200496673584
0,,,,399,0.03792908787727356,0.21707601845264435,4.472743511199951,3.89152455329895
0,,,,419,0.03792908787727356,0.19205202162265778,3.9360086917877197,3.875274658203125
0,,,,439,0.03792908787727356,0.23262259364128113,4.074190616607666,3.821023941040039
