epoch,lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,train/acc,train/loss_epoch,train/loss_step,val/acc,val/f1,val/loss,val/mcc,val/precision
,2.7062296772810756e-06,2.7062296772810756e-06,2.7062296772810755e-07,0,,,,,,,,
0,,,,19,,,1.8112239837646484,,,,,
0,,,,39,,,1.6635870933532715,,,,,
0,,,,59,,,1.7935869693756104,,,,,
0,,,,79,,,1.5320378541946411,,,,,
0,,,,99,,,1.6649277210235596,,,,,
0,,,,119,,,1.6565382480621338,,,,,
0,,,,139,,,1.6745970249176025,,,,,
0,,,,159,,,1.715295433998108,,,,,
0,,,,179,,,1.8631770610809326,,,,,
0,,,,199,,,1.6417489051818848,,,,,
0,,,,219,,,1.548241376876831,,,,,
0,,,,239,,,1.5903680324554443,,,,,
0,,,,259,,,1.4740015268325806,,,,,
0,,,,269,,,,0.34606727957725525,0.16325366497039795,2.023444414138794,0.06765291839838028,0.5265979766845703
0,,,,269,0.3598562180995941,1.691498875617981,,,,,,
,5.6289577287446364e-05,5.6289577287446364e-05,5.628957728744637e-06,270,,,,,,,,
1,,,,279,,,1.855254054069519,,,,,
1,,,,299,,,1.0797858238220215,,,,,
1,,,,319,,,1.0867953300476074,,,,,
1,,,,339,,,0.830289363861084,,,,,
1,,,,359,,,0.7838332653045654,,,,,
1,,,,379,,,1.0096702575683594,,,,,
1,,,,399,,,0.8644930720329285,,,,,
1,,,,419,,,0.6694073677062988,,,,,
1,,,,439,,,0.8077883720397949,,,,,
1,,,,459,,,0.5982032418251038,,,,,
1,,,,479,,,0.7303627133369446,,,,,
1,,,,499,,,0.636748731136322,,,,,
1,,,,519,,,0.9330687522888184,,,,,
1,,,,539,,,0.6549420952796936,,,,,
1,,,,539,,,,0.5022754073143005,0.3673439621925354,1.7589571475982666,0.29697874188423157,0.34391170740127563
1,,,,539,0.4257969260215759,0.9387327432632446,,,,,,
,0.00010987292489761164,0.00010987292489761164,1.0987292489761166e-05,540,,,,,,,,
2,,,,559,,,0.5748192071914673,,,,,
2,,,,579,,,0.6413032412528992,,,,,
2,,,,599,,,0.4238407611846924,,,,,
2,,,,619,,,0.3821149170398712,,,,,
2,,,,639,,,0.5178418755531311,,,,,
2,,,,659,,,0.6300269365310669,,,,,
2,,,,679,,,0.8210996985435486,,,,,
2,,,,699,,,0.4437231123447418,,,,,
2,,,,719,,,0.5668249130249023,,,,,
2,,,,739,,,1.0526902675628662,,,,,
2,,,,759,,,0.7371779084205627,,,,,
2,,,,779,,,0.5085453391075134,,,,,
2,,,,799,,,0.5417003035545349,,,,,
2,,,,809,,,,0.5470446944236755,0.38261890411376953,1.7719389200210571,0.3042753040790558,0.29723459482192993
2,,,,809,0.45067098736763,0.6165815591812134,,,,,,
,0.00016345627250777693,0.00016345627250777693,1.6345627250777696e-05,810,,,,,,,,
3,,,,819,,,0.5898647308349609,,,,,
3,,,,839,,,0.523570716381073,,,,,
3,,,,859,,,0.5944433212280273,,,,,
3,,,,879,,,0.42248857021331787,,,,,
3,,,,899,,,0.4624628722667694,,,,,
3,,,,919,,,0.33164381980895996,,,,,
3,,,,939,,,0.7931510210037231,,,,,
3,,,,959,,,0.42108607292175293,,,,,
