epoch,latent/centroid_cos_sim,latent/fisher_ratio,latent/intra_class_var,latent/knn_acc,latent/silhouette,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/micro_precision,test/recall,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/f1_p_score,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,,,,,,3.75e-05,3.75e-05,0,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,19,,,,,,,,,,,0.6753544807434082,,,,,,,,,,,,,
0,0.988696813583374,0.061453111469745636,11.307323455810547,0.6690000295639038,-0.1330806016921997,,,30,,,,,,,,,,,,0.270512193441391,0.668796181678772,0.11641807109117508,0.37775734066963196,0.8250061869621277,0.6390966176986694,0.055170491337776184,0.15075267851352692,1.0,0.44841468334198,1.0,0.10797186195850372,0.270512193441391
0,,,,,,,,30,,,,,,,,,0.43200814723968506,0.7320732474327087,,,,,,,,,,,,,,
,,,,,,7.5e-05,7.5e-05,31,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,39,,,,,,,,,,,0.654813826084137,,,,,,,,,,,,,
1,,,,,,,,59,,,,,,,,,,,0.50795578956604,,,,,,,,,,,,,
1,0.5429094433784485,0.2753942310810089,70.09921264648438,0.7139999866485596,-0.021095259115099907,,,61,,,,,,,,,,,,0.5225329399108887,0.7610385417938232,0.4469414949417114,0.5106452107429504,0.6321941018104553,0.5743489265441895,0.3834497034549713,0.5138713717460632,0.7571028470993042,0.6833571195602417,0.6196036338806152,0.23733201622962952,0.5225329399108887
1,,,,,,,,61,,,,,,,,,0.5775822401046753,0.600523054599762,,,,,,,,,,,,,,
,,,,,,0.0001125,0.0001125,62,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,79,,,,,,,,,,,0.48571744561195374,,,,,,,,,,,,,
2,0.4112720489501953,0.36258241534233093,71.56743621826172,0.7239999771118164,0.018029138445854187,,,92,,,,,,,,,,,,0.548792839050293,0.807136595249176,0.4905685782432556,0.5202337503433228,0.5527002215385437,0.5498989820480347,0.39540863037109375,0.5296934247016907,0.5432919859886169,0.748308539390564,0.6475145220756531,0.26048097014427185,0.548792839050293
2,,,,,,,,92,,,,,,,,,0.6594696044921875,0.47770726680755615,,,,,,,,,,,,,,
,,,,,,0.00015,0.00015,93,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,99,,,,,,,,,,,0.4705488085746765,,,,,,,,,,,,,
3,,,,,,,,119,,,,,,,,,,,0.4286925196647644,,,,,,,,,,,,,
3,0.38284027576446533,0.3524124026298523,72.89444732666016,0.7239999771118164,0.028838280588388443,,,123,,,,,,,,,,,,0.523125946521759,0.810935378074646,0.47071272134780884,0.5075585842132568,0.565537691116333,0.5444045066833496,0.33216777443885803,0.47207993268966675,0.38035598397254944,0.7588522434234619,0.759168267250061,0.2792415916919708,0.523125946521759
3,,,,,,,,123,,,,,,,,,0.6926556825637817,0.4159049689769745,,,,,,,,,,,,,,
,,,,,,0.00018749999999999998,0.00018749999999999998,124,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,139,,,,,,,,,,,0.4121958613395691,,,,,,,,,,,,,
4,0.3998833894729614,0.34964439272880554,73.0462417602539,0.7369999885559082,0.03053082525730133,,,154,,,,,,,,,,,,0.5669196844100952,0.8306193351745605,0.5269455909729004,0.5394899845123291,0.5171223878860474,0.552034318447113,0.3943878412246704,0.5353680849075317,0.4614188075065613,0.7117430567741394,0.7286092638969421,0.3063661456108093,0.5669196844100952
4,,,,,,,,154,,,,,,,,,0.7341533899307251,0.36614716053009033,,,,,,,,,,,,,,
,,,,,,0.000225,0.000225,155,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,159,,,,,,,,,,,0.38218986988067627,,,,,,,,,,,,,
