epoch,latent/centroid_cos_sim,latent/fisher_ratio,latent/intra_class_var,latent/knn_acc,latent/silhouette,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/micro_precision,test/recall,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/f1_p_score,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,,,,,,3.75e-05,3.75e-05,0,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,19,,,,,,,,,,,0.7381041049957275,,,,,,,,,,,,,
0,0.9932365417480469,0.053624533116817474,15.485870361328125,0.6919999718666077,-0.1329370141029358,,,30,,,,,,,,,,,,0.30391305685043335,0.6293230056762695,0.14502355456352234,0.12794223427772522,0.9621257185935974,0.1108609288930893,0.04156738147139549,0.20208071172237396,0.0,0.3017754554748535,0.0,0.14166824519634247,0.30391305685043335
0,,,,,,,,30,,,,,,,,,0.4033523499965668,0.7596315741539001,,,,,,,,,,,,,,
,,,,,,7.5e-05,7.5e-05,31,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,39,,,,,,,,,,,0.6062743663787842,,,,,,,,,,,,,
1,,,,,,,,59,,,,,,,,,,,0.5736998915672302,,,,,,,,,,,,,
1,0.6973250508308411,0.27735257148742676,112.3408203125,0.7269999980926514,-0.013201550580561161,,,61,,,,,,,,,,,,0.5182313919067383,0.7558108568191528,0.43988150358200073,0.4723145067691803,0.6321657299995422,0.5047475099563599,0.3517882227897644,0.49816757440567017,0.586712121963501,0.5190597176551819,0.654900074005127,0.2583180069923401,0.5182313919067383
1,,,,,,,,61,,,,,,,,,0.5737906694412231,0.5833048224449158,,,,,,,,,,,,,,
,,,,,,0.0001125,0.0001125,62,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,79,,,,,,,,,,,0.4270471930503845,,,,,,,,,,,,,
2,0.6365479230880737,0.2904486060142517,125.72843933105469,0.7350000143051147,0.027735641226172447,,,92,,,,,,,,,,,,0.5617660284042358,0.7880647778511047,0.48892736434936523,0.5211364030838013,0.5535659193992615,0.5533454418182373,0.41040700674057007,0.5418899655342102,0.632897138595581,0.6394510865211487,0.6529479026794434,0.2880854904651642,0.5617660284042358
2,,,,,,,,92,,,,,,,,,0.6502504348754883,0.45466935634613037,,,,,,,,,,,,,,
,,,,,,0.00015,0.00015,93,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,99,,,,,,,,,,,0.4505857229232788,,,,,,,,,,,,,
3,,,,,,,,119,,,,,,,,,,,0.35717952251434326,,,,,,,,,,,,,
3,0.6135523319244385,0.2851725220680237,129.58926391601562,0.753000020980835,-0.0019918358884751797,,,123,,,,,,,,,,,,0.49444815516471863,0.7752740979194641,0.4475937485694885,0.46210503578186035,0.5902947187423706,0.4766163229942322,0.28111591935157776,0.4484749436378479,0.3427025079727173,0.5566045045852661,0.7051920294761658,0.30196627974510193,0.49444815516471863
3,,,,,,,,123,,,,,,,,,0.6671212911605835,0.3906548023223877,,,,,,,,,,,,,,
,,,,,,0.00018749999999999998,0.00018749999999999998,124,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,139,,,,,,,,,,,0.2730119526386261,,,,,,,,,,,,,
4,0.5723918676376343,0.31763848662376404,129.4161376953125,0.7400000095367432,0.01382020115852356,,,154,,,,,,,,,,,,0.5819811224937439,0.8200262784957886,0.5231248140335083,0.5498180389404297,0.5018853545188904,0.5765112638473511,0.43670374155044556,0.5632290244102478,0.5506781935691833,0.783078670501709,0.6804569363594055,0.29183122515678406,0.5819811224937439
4,,,,,,,,154,,,,,,,,,0.6986934542655945,0.35848069190979004,,,,,,,,,,,,,,
,,,,,,0.000225,0.000225,155,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,159,,,,,,,,,,,0.28467443585395813,,,,,,,,,,,,,
5,,,,,,,,179,,,,,,,,,,,0.3698508143424988,,,,,,,,,,,,,
5,0.5767447352409363,0.2993873655796051,132.55905151367188,0.7409999966621399,0.04108705744147301,,,185,,,,,,,,,,,,0.5834883451461792,0.8216220140457153,0.5449718832969666,0.5702712535858154,0.5119694471359253,0.5955705642700195,0.4528841972351074,0.5871295928955078,0.7333036065101624,0.6733831763267517,0.6010595560073853,0.3745357096195221,0.5834883451461792
5,,,,,,,,185,,,,,,,,,0.735268235206604,0.3093492388725281,,,,,,,,,,,,,,
,,,,,,0.0002625,0.0002625,186,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,199,,,,,,,,,,,0.21086588501930237,,,,,,,,,,,,,
6,0.6122749447822571,0.2768090069293976,130.7506103515625,0.7210000157356262,0.04967403784394264,,,216,,,,,,,,,,,,0.5693464279174805,0.8347195386886597,0.5142823457717896,0.5560067892074585,0.6231180429458618,0.5977312326431274,0.40161821246147156,0.5325110554695129,0.44059452414512634,0.8841807842254639,0.7273820042610168,0.33876749873161316,0.5693464279174805
6,,,,,,,,216,,,,,,,,,0.7582129836082458,0.2862125635147095,,,,,,,,,,,,,,
,,,,,,0.0003,0.0003,217,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,219,,,,,,,,,,,0.22534233331680298,,,,,,,,,,,,,
7,,,,,,,,239,,,,,,,,,,,0.21845132112503052,,,,,,,,,,,,,
7,0.5765705704689026,0.27210789918899536,139.87095642089844,0.7549999952316284,0.05097300559282303,,,247,,,,,,,,,,,,0.5869481563568115,0.8267389535903931,0.5315516591072083,0.568863034248352,0.5698253512382507,0.6061744689941406,0.44408100843429565,0.5692780613899231,0.6328698992729187,0.8554129600524902,0.6309419870376587,0.3054731488227844,0.5869481563568115
7,,,,,,,,247,,,,,,,,,0.7931127548217773,0.2642728388309479,,,,,,,,,,,,,,
,,,,,,0.0003,0.0003,248,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,259,,,,,,,,,,,0.16249673068523407,,,,,,,,,,,,,
8,0.6414162516593933,0.2564912438392639,131.58287048339844,0.7390000224113464,0.04829226806759834,,,278,,,,,,,,,,,,0.5717344880104065,0.8238122463226318,0.5404654741287231,0.5459656715393066,0.5702285170555115,0.5514658689498901,0.4102528691291809,0.555465817451477,0.4684975743293762,0.6818955540657043,0.7363401651382446,0.3191302716732025,0.5717344880104065
8,,,,,,,,278,,,,,,,,,0.7995970249176025,0.24857641756534576,,,,,,,,,,,,,,
,,,,,,0.0002984732162821399,0.0002984732162821399,279,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,279,,,,,,,,,,,0.358835369348526,,,,,,,,,,,,,
9,,,,,,,,299,,,,,,,,,,,0.2064216583967209,,,,,,,,,,,,,
