epoch,latent/centroid_cos_sim,latent/fisher_ratio,latent/intra_class_var,latent/knn_acc,latent/silhouette,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/micro_precision,test/recall,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/f1_p_score,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,,,,,,3.75e-05,3.75e-05,0,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,19,,,,,,,,,,,0.8374762535095215,,,,,,,,,,,,,
0,0.9921236038208008,0.05175421014428139,18.444581985473633,0.6959999799728394,-0.1316537708044052,,,30,,,,,,,,,,,,0.3023621439933777,0.652180552482605,0.14200440049171448,0.2527555525302887,1.0285124778747559,0.3635067045688629,0.047885552048683167,0.19514502584934235,1.0,0.3188624680042267,0.0,0.13516438007354736,0.3023621439933777
0,,,,,,,,30,,,,,,,,,0.38796308636665344,0.8617859482765198,,,,,,,,,,,,,,
,,,,,,7.5e-05,7.5e-05,31,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,39,,,,,,,,,,,0.7600559592247009,,,,,,,,,,,,,
1,,,,,,,,59,,,,,,,,,,,0.5514326095581055,,,,,,,,,,,,,
1,0.7170417904853821,0.2583019733428955,111.46543884277344,0.7260000109672546,-0.013305963948369026,,,61,,,,,,,,,,,,0.5102542638778687,0.7492839694023132,0.4238547086715698,0.48997631669044495,0.7426866292953491,0.5560979247093201,0.34292399883270264,0.487842857837677,0.8432098627090454,0.48213815689086914,0.6492857336997986,0.24975799024105072,0.5102542638778687
1,,,,,,,,61,,,,,,,,,0.5861334204673767,0.6669436693191528,,,,,,,,,,,,,,
,,,,,,0.0001125,0.0001125,62,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,79,,,,,,,,,,,0.5603619813919067,,,,,,,,,,,,,
2,0.6061466932296753,0.28852537274360657,128.27130126953125,0.734000027179718,-0.0033692580182105303,,,92,,,,,,,,,,,,0.5436198711395264,0.7808874249458313,0.4914313852787018,0.4998909831047058,0.6650267243385315,0.5083506107330322,0.3643462359905243,0.5139107704162598,0.4818849563598633,0.542399525642395,0.724230170249939,0.28488773107528687,0.5436198711395264
2,,,,,,,,92,,,,,,,,,0.656359076499939,0.5295089483261108,,,,,,,,,,,,,,
,,,,,,0.00015,0.00015,93,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,99,,,,,,,,,,,0.446094810962677,,,,,,,,,,,,,
3,,,,,,,,119,,,,,,,,,,,0.47487401962280273,,,,,,,,,,,,,
3,0.6051040887832642,0.31211793422698975,125.501708984375,0.7329999804496765,0.03661002591252327,,,123,,,,,,,,,,,,0.5860800743103027,0.8286662101745605,0.5275822877883911,0.5774364471435547,0.5534095168113708,0.627290666103363,0.461093544960022,0.5951489806175232,0.8726778626441956,0.5810313820838928,0.6569424867630005,0.3985108435153961,0.5860800743103027
3,,,,,,,,123,,,,,,,,,0.6853989958763123,0.44492024183273315,,,,,,,,,,,,,,
,,,,,,0.00018749999999999998,0.00018749999999999998,124,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,139,,,,,,,,,,,0.38434481620788574,,,,,,,,,,,,,
4,0.5546517968177795,0.301059752702713,133.36904907226562,0.7229999899864197,0.028948787599802017,,,154,,,,,,,,,,,,0.5597978830337524,0.8327707052230835,0.5050746202468872,0.5364073514938354,0.5906850695610046,0.5677400827407837,0.37102749943733215,0.5077829360961914,0.41356900334358215,0.8222320079803467,0.6918293833732605,0.3433297872543335,0.5597978830337524
4,,,,,,,,154,,,,,,,,,0.7276578545570374,0.3913887143135071,,,,,,,,,,,,,,
,,,,,,0.000225,0.000225,155,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,159,,,,,,,,,,,0.35093700885772705,,,,,,,,,,,,,
5,,,,,,,,179,,,,,,,,,,,0.3034822344779968,,,,,,,,,,,,,
5,0.5774635672569275,0.26036497950553894,138.0502166748047,0.7269999980926514,0.030041463673114777,,,185,,,,,,,,,,,,0.5815033316612244,0.8314380645751953,0.5303450226783752,0.554158091545105,0.6052889823913574,0.5779711008071899,0.40701720118522644,0.5417717695236206,0.45425134897232056,0.7821720242500305,0.7158623933792114,0.3595986068248749,0.5815033316612244
5,,,,,,,,185,,,,,,,,,0.7433668375015259,0.3704386353492737,,,,,,,,,,,,,,
,,,,,,0.0002625,0.0002625,186,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,199,,,,,,,,,,,0.29507172107696533,,,,,,,,,,,,,
6,0.5798124074935913,0.2858820855617523,133.30905151367188,0.718999981880188,0.040713030844926834,,,216,,,,,,,,,,,,0.5972467064857483,0.830782413482666,0.5489265322685242,0.5598793625831604,0.6265697479248047,0.5708321928977966,0.43775421380996704,0.5674456357955933,0.6079414486885071,0.6289964914321899,0.7484240531921387,0.2979668378829956,0.5972467064857483
6,,,,,,,,216,,,,,,,,,0.7636088728904724,0.33067190647125244,,,,,,,,,,,,,,
,,,,,,0.0003,0.0003,217,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,219,,,,,,,,,,,0.45590800046920776,,,,,,,,,,,,,
7,,,,,,,,239,,,,,,,,,,,0.4825909435749054,,,,,,,,,,,,,
