epoch,latent/centroid_cos_sim,latent/fisher_ratio,latent/intra_class_var,latent/knn_acc,latent/silhouette,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/micro_precision,test/recall,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/f1_p_score,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,,,,,,3.75e-05,3.75e-05,0,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,19,,,,,,,,,,,0.7499290108680725,,,,,,,,,,,,,
0,0.9916791915893555,0.04885786026716232,9.84066390991211,0.656000018119812,-0.12804019451141357,,,30,,,,,,,,,,,,0.27340734004974365,0.5877763628959656,0.09604811668395996,0.09408474713563919,0.8574485182762146,0.09212137758731842,0.021868417039513588,0.13656604290008545,0.25017789006233215,0.0,0.0,0.11830760538578033,0.27340734004974365
0,,,,,,,,30,,,,,,,,,0.4080519378185272,0.7340134978294373,,,,,,,,,,,,,,
,,,,,,7.5e-05,7.5e-05,31,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,39,,,,,,,,,,,0.676689624786377,,,,,,,,,,,,,
1,,,,,,,,59,,,,,,,,,,,0.5256060361862183,,,,,,,,,,,,,
1,0.7179625630378723,0.23165029287338257,57.31716537475586,0.7080000042915344,-0.022121822461485863,,,61,,,,,,,,,,,,0.5449873208999634,0.7338429689407349,0.4781995713710785,0.5279476046562195,0.646963357925415,0.5776956081390381,0.40639978647232056,0.5331218242645264,0.6790997982025146,0.7502022385597229,0.6251748204231262,0.2563057839870453,0.5449873208999634
1,,,,,,,,61,,,,,,,,,0.5887096524238586,0.602287232875824,,,,,,,,,,,,,,
,,,,,,0.0001125,0.0001125,62,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,79,,,,,,,,,,,0.4764482378959656,,,,,,,,,,,,,
