FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::conv2d         1.04%       5.969ms        13.55%      77.435ms      35.849us       0.000us         0.00%     447.563ms     207.205us           0 B           0 B     110.98 GB    -983.08 MB          2160  43083986.043  
                                          ProfilerStep*         0.97%       5.544ms       100.00%     571.543ms      28.577ms       0.000us         0.00%     445.120ms      22.256ms           0 B           0 B           0 B     -19.54 MB            20            --  
[pl][profile][Strategy]SingleDeviceStrategy.validati...         5.48%      31.338ms        96.25%     550.089ms      27.504ms       0.000us         0.00%     444.713ms      22.236ms           0 B           0 B           0 B      -1.38 GB            20            --  
[pl][module]torch.nn.modules.container.Sequential: b...         0.23%       1.334ms        28.26%     161.547ms       8.077ms       0.000us         0.00%     390.913ms      19.546ms           0 B           0 B     520.00 MB     -15.67 GB            20            --  
                                      aten::convolution         0.44%       2.504ms         4.99%      28.538ms      26.424us       0.000us         0.00%     222.322ms     205.854us           0 B           0 B      55.37 GB           0 B          1080            --  
                                     aten::_convolution         0.62%       3.541ms         4.55%      26.032ms      24.104us       0.000us         0.00%     222.322ms     205.854us           0 B           0 B      55.37 GB     -50.12 MB          1080            --  
                                aten::cudnn_convolution         2.82%      16.105ms         3.89%      22.256ms      20.608us     221.733ms        49.81%     221.733ms     205.308us           0 B           0 B      55.37 GB      55.13 GB          1080            --  
[pl][module]torch.nn.modules.container.Sequential: b...         0.09%     491.446us         5.34%      30.544ms       1.527ms       0.000us         0.00%     118.200ms       5.910ms           0 B           0 B       3.92 GB      -7.83 GB            20            --  
[pl][profile][Strategy]SingleDeviceStrategy.validati...         0.00%       0.000us         0.00%       0.000us       0.000us     114.415ms        25.70%     114.415ms       5.721ms           0 B           0 B           0 B           0 B            20            --  
[pl][module]torch.nn.modules.container.Sequential: b...         0.10%     567.615us         6.84%      39.098ms       1.955ms       0.000us         0.00%     112.366ms       5.618ms           0 B           0 B       1.96 GB      -5.89 GB            20            --  
[pl][module]torch.nn.modules.container.Sequential: b...         0.15%     830.104us         9.95%      56.869ms       2.843ms       0.000us         0.00%      83.343ms       4.167ms           0 B           0 B    1010.00 MB      -4.93 GB            20            --  
                                       aten::batch_norm         0.39%       2.254ms         7.24%      41.391ms      37.628us       0.000us         0.00%      78.837ms      71.670us           0 B           0 B      55.14 GB      -3.97 MB          1100            --  
                           aten::_batch_norm_impl_index         0.52%       2.952ms         6.85%      39.137ms      35.579us       0.000us         0.00%      78.837ms      71.670us           0 B           0 B      55.15 GB     -13.50 KB          1100            --  
                                aten::native_batch_norm         1.56%       8.933ms         5.81%      33.201ms      30.741us      72.493ms        16.29%      74.084ms      68.596us           0 B           0 B      54.64 GB           0 B          1080            --  
void at::native::batch_norm_transform_input_kernel<c...         0.00%       0.000us         0.00%       0.000us       0.000us      70.740ms        15.89%      70.740ms      66.736us           0 B           0 B           0 B           0 B          1060            --  
sm80_xmma_fprop_implicit_gemm_bf16bf16_bf16f32_f32_n...         0.00%       0.000us         0.00%       0.000us       0.000us      62.856ms        14.12%      62.856ms     184.871us           0 B           0 B           0 B           0 B           340            --  
[pl][module]torchvision.models.resnet.Bottleneck: ba...         0.24%       1.370ms         1.97%      11.239ms     561.970us       0.000us         0.00%      47.887ms       2.394ms           0 B           0 B       1.96 GB      -8.86 GB            20            --  
                                             aten::add_         0.27%       1.515ms         0.46%       2.613ms       6.533us      46.505ms        10.45%      46.505ms     116.263us           0 B           0 B           0 B           0 B           400            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      45.824ms        10.29%      45.824ms     143.199us           0 B           0 B           0 B           0 B           320            --  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      45.630ms        10.25%      45.630ms     162.964us           0 B           0 B           0 B           0 B           280            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 571.548ms
Self CUDA time total: 445.127ms
