epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/micro_precision,test/recall,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/f1_p_score,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,5.9999999999999995e-05,5.9999999999999995e-05,0,,,,,,,,,,,,,,,,,,,,,,,,
0,,,19,,,,,,,,,,,0.8722022771835327,,,,,,,,,,,,,
0,,,39,,,,,,,,,,,0.7286792397499084,,,,,,,,,,,,,
0,,,59,,,,,,,,,,,0.8049290180206299,,,,,,,,,,,,,
0,,,79,,,,,,,,,,,0.7035911083221436,,,,,,,,,,,,,
0,,,99,,,,,,,,,,,0.4868243932723999,,,,,,,,,,,,,
0,,,119,,,,,,,,,,,0.5609288215637207,,,,,,,,,,,,,
0,,,139,,,,,,,,,,,0.6274335980415344,,,,,,,,,,,,,
0,,,159,,,,,,,,,,,0.6233669519424438,,,,,,,,,,,,,
0,,,179,,,,,,,,,,,0.4444791376590729,,,,,,,,,,,,,
0,,,199,,,,,,,,,,,0.5122513771057129,,,,,,,,,,,,,
0,,,219,,,,,,,,,,,0.7025465965270996,,,,,,,,,,,,,
0,,,239,,,,,,,,,,,0.5136256217956543,,,,,,,,,,,,,
0,,,259,,,,,,,,,,,0.48060256242752075,,,,,,,,,,,,,
0,,,279,,,,,,,,,,,0.3927880823612213,,,,,,,,,,,,,
0,,,299,,,,,,,,,,,0.4211353063583374,,,,,,,,,,,,,
0,,,319,,,,,,,,,,,0.4815194010734558,,,,,,,,,,,,,
0,,,339,,,,,,,,,,,0.4189891219139099,,,,,,,,,,,,,
0,,,359,,,,,,,,,,,0.48418188095092773,,,,,,,,,,,,,
0,,,379,,,,,,,,,,,0.4794820249080658,,,,,,,,,,,,,
0,,,399,,,,,,,,,,,0.4168025553226471,,,,,,,,,,,,,
0,,,419,,,,,,,,,,,0.3249874711036682,,,,,,,,,,,,,
0,,,439,,,,,,,,,,,0.3329308032989502,,,,,,,,,,,,,
0,,,459,,,,,,,,,,,0.6112613677978516,,,,,,,,,,,,,
0,,,479,,,,,,,,,,,0.5532488822937012,,,,,,,,,,,,,
0,,,499,,,,,,,,,,,0.5021445751190186,,,,,,,,,,,,,
0,,,519,,,,,,,,,,,0.39424747228622437,,,,,,,,,,,,,
0,,,539,,,,,,,,,,,0.3955901265144348,,,,,,,,,,,,,
0,,,559,,,,,,,,,,,0.5561723709106445,,,,,,,,,,,,,
0,,,579,,,,,,,,,,,0.8288769721984863,,,,,,,,,,,,,
0,,,599,,,,,,,,,,,0.33392611145973206,,,,,,,,,,,,,
0,,,619,,,,,,,,,,,0.3794676661491394,,,,,,,,,,,,,
0,,,639,,,,,,,,,,,0.3769911229610443,,,,,,,,,,,,,
0,,,659,,,,,,,,,,,0.3314730226993561,,,,,,,,,,,,,
0,,,679,,,,,,,,,,,0.47159746289253235,,,,,,,,,,,,,
0,,,699,,,,,,,,,,,0.5695489645004272,,,,,,,,,,,,,
0,,,719,,,,,,,,,,,0.47473084926605225,,,,,,,,,,,,,
0,,,739,,,,,,,,,,,0.3456002473831177,,,,,,,,,,,,,
0,,,759,,,,,,,,,,,0.3363722860813141,,,,,,,,,,,,,
0,,,779,,,,,,,,,,,0.2529888153076172,,,,,,,,,,,,,
0,,,799,,,,,,,,,,,0.4615849256515503,,,,,,,,,,,,,
0,,,819,,,,,,,,,,,0.44885265827178955,,,,,,,,,,,,,
0,,,839,,,,,,,,,,,0.45624855160713196,,,,,,,,,,,,,
0,,,859,,,,,,,,,,,0.3053787350654602,,,,,,,,,,,,,
0,,,879,,,,,,,,,,,0.3636625409126282,,,,,,,,,,,,,
0,,,899,,,,,,,,,,,0.3559052348136902,,,,,,,,,,,,,
0,,,919,,,,,,,,,,,0.547937273979187,,,,,,,,,,,,,
0,,,939,,,,,,,,,,,0.4722660779953003,,,,,,,,,,,,,
0,,,959,,,,,,,,,,,0.3187559247016907,,,,,,,,,,,,,
0,,,979,,,,,,,,,,,0.28939807415008545,,,,,,,,,,,,,
0,,,999,,,,,,,,,,,0.28005215525627136,,,,,,,,,,,,,
0,,,1019,,,,,,,,,,,0.6291689872741699,,,,,,,,,,,,,
0,,,1039,,,,,,,,,,,0.32375192642211914,,,,,,,,,,,,,
0,,,1059,,,,,,,,,,,0.5220220685005188,,,,,,,,,,,,,
0,,,1079,,,,,,,,,,,0.2696864902973175,,,,,,,,,,,,,
0,,,1099,,,,,,,,,,,0.44113296270370483,,,,,,,,,,,,,
0,,,1119,,,,,,,,,,,0.5324020981788635,,,,,,,,,,,,,
0,,,1139,,,,,,,,,,,0.28813767433166504,,,,,,,,,,,,,
0,,,1159,,,,,,,,,,,0.35354185104370117,,,,,,,,,,,,,
0,,,1179,,,,,,,,,,,0.37824440002441406,,,,,,,,,,,,,
0,,,1199,,,,,,,,,,,0.27357393503189087,,,,,,,,,,,,,
