epoch,latent/centroid_cos_sim,latent/fisher_ratio,latent/intra_class_var,latent/knn_acc,latent/silhouette,lr-AdamW/pg1,lr-AdamW/pg2,step,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/f1_p_score,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,,,,,,3.3333333333333335e-05,3.3333333333333335e-05,0,,,,,,,,,,,,,,,,
0,,,,,,,,19,,,1.0878543853759766,,,,,,,,,,,,,
0,,,,,,,,39,,,1.013169288635254,,,,,,,,,,,,,
0,,,,,,,,59,,,0.8540675640106201,,,,,,,,,,,,,
0,,,,,,,,79,,,0.6566083431243896,,,,,,,,,,,,,
0,,,,,,,,99,,,0.6146312355995178,,,,,,,,,,,,,
0,,,,,,,,119,,,0.6811448335647583,,,,,,,,,,,,,
0,,,,,,,,139,,,0.4844641089439392,,,,,,,,,,,,,
0,,,,,,,,159,,,0.4851914048194885,,,,,,,,,,,,,
0,,,,,,,,179,,,0.6636903285980225,,,,,,,,,,,,,
0,,,,,,,,199,,,0.4237196147441864,,,,,,,,,,,,,
0,,,,,,,,219,,,0.49152112007141113,,,,,,,,,,,,,
0,,,,,,,,239,,,0.43072158098220825,,,,,,,,,,,,,
0,,,,,,,,259,,,0.4674144983291626,,,,,,,,,,,,,
0,,,,,,,,279,,,0.45744726061820984,,,,,,,,,,,,,
0,,,,,,,,299,,,0.4310886561870575,,,,,,,,,,,,,
0,,,,,,,,319,,,0.4729284644126892,,,,,,,,,,,,,
0,,,,,,,,339,,,0.43537208437919617,,,,,,,,,,,,,
0,,,,,,,,359,,,0.5051963925361633,,,,,,,,,,,,,
0,,,,,,,,379,,,0.4420326352119446,,,,,,,,,,,,,
0,,,,,,,,399,,,0.3495374917984009,,,,,,,,,,,,,
0,,,,,,,,419,,,0.4162845313549042,,,,,,,,,,,,,
0,,,,,,,,439,,,0.34166911244392395,,,,,,,,,,,,,
0,,,,,,,,459,,,0.36199212074279785,,,,,,,,,,,,,
0,,,,,,,,479,,,0.4730135202407837,,,,,,,,,,,,,
0,,,,,,,,499,,,0.3323526382446289,,,,,,,,,,,,,
0,,,,,,,,519,,,0.36668679118156433,,,,,,,,,,,,,
0,,,,,,,,539,,,0.43619805574417114,,,,,,,,,,,,,
0,,,,,,,,559,,,0.3083306550979614,,,,,,,,,,,,,
0,,,,,,,,579,,,0.41710925102233887,,,,,,,,,,,,,
0,,,,,,,,599,,,0.5534983277320862,,,,,,,,,,,,,
0,,,,,,,,619,,,0.37120169401168823,,,,,,,,,,,,,
0,,,,,,,,639,,,0.43002206087112427,,,,,,,,,,,,,
0,,,,,,,,659,,,0.49120691418647766,,,,,,,,,,,,,
0,,,,,,,,679,,,0.30256199836730957,,,,,,,,,,,,,
0,,,,,,,,699,,,0.2825908660888672,,,,,,,,,,,,,
0,,,,,,,,719,,,0.539241373538971,,,,,,,,,,,,,
0,,,,,,,,739,,,0.31771141290664673,,,,,,,,,,,,,
0,,,,,,,,759,,,0.25942090153694153,,,,,,,,,,,,,
0,,,,,,,,779,,,0.40141013264656067,,,,,,,,,,,,,
0,,,,,,,,799,,,0.3660448491573334,,,,,,,,,,,,,
0,,,,,,,,819,,,0.20344629883766174,,,,,,,,,,,,,
0,,,,,,,,839,,,0.5026872158050537,,,,,,,,,,,,,
0,,,,,,,,859,,,0.3269440233707428,,,,,,,,,,,,,
0,,,,,,,,879,,,0.31726664304733276,,,,,,,,,,,,,
0,,,,,,,,899,,,0.5027214288711548,,,,,,,,,,,,,
0,,,,,,,,919,,,0.30190309882164,,,,,,,,,,,,,
0,,,,,,,,939,,,0.29494258761405945,,,,,,,,,,,,,
0,,,,,,,,959,,,0.3990843892097473,,,,,,,,,,,,,
0,,,,,,,,979,,,0.5150898694992065,,,,,,,,,,,,,
0,,,,,,,,999,,,0.2875785827636719,,,,,,,,,,,,,
0,,,,,,,,1019,,,0.3400886654853821,,,,,,,,,,,,,
0,,,,,,,,1039,,,0.46931931376457214,,,,,,,,,,,,,
0,,,,,,,,1059,,,0.2662322521209717,,,,,,,,,,,,,
