FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.89%       4.895ms       100.00%     548.571ms      27.429ms       0.000us         0.00%     452.556ms      22.628ms           0 B           0 B           0 B     -19.54 MB            20            --  
[pl][profile][Strategy]SingleDeviceStrategy.validati...         4.67%      25.604ms        96.53%     529.537ms      26.477ms       0.000us         0.00%     452.144ms      22.607ms           0 B           0 B           0 B      -1.58 GB            20            --  
                                           aten::conv2d         0.81%       4.465ms        10.27%      56.333ms      26.080us       0.000us         0.00%     446.776ms     206.841us           0 B           0 B     111.06 GB    -909.74 MB          2160  43083986.043  
[pl][module]torch.nn.modules.container.Sequential: b...         0.19%       1.045ms        21.10%     115.760ms       5.788ms       0.000us         0.00%     389.942ms      19.497ms           0 B           0 B     520.00 MB     -15.67 GB            20            --  
                                      aten::convolution         0.34%       1.873ms         3.80%      20.859ms      19.314us       0.000us         0.00%     221.934ms     205.494us           0 B           0 B      55.38 GB           0 B          1080            --  
                                     aten::_convolution         0.46%       2.510ms         3.46%      18.982ms      17.576us       0.000us         0.00%     221.934ms     205.494us           0 B           0 B      55.38 GB           0 B          1080            --  
                                aten::cudnn_convolution         2.07%      11.349ms         2.97%      16.281ms      15.075us     221.347ms        48.91%     221.347ms     204.951us           0 B           0 B      55.38 GB      55.38 GB          1080            --  
[pl][module]torch.nn.modules.container.Sequential: b...         0.08%     424.399us         4.44%      24.351ms       1.218ms       0.000us         0.00%     117.666ms       5.883ms           0 B           0 B       3.92 GB      -7.83 GB            20            --  
[pl][module]torch.nn.modules.container.Sequential: b...         0.08%     456.897us         5.13%      28.118ms       1.406ms       0.000us         0.00%     112.162ms       5.608ms           0 B           0 B       1.96 GB      -5.89 GB            20            --  
[pl][profile][Strategy]SingleDeviceStrategy.validati...         0.00%       0.000us         0.00%       0.000us       0.000us      94.288ms        20.84%      94.288ms       4.714ms           0 B           0 B           0 B           0 B            20            --  
[pl][module]torch.nn.modules.container.Sequential: b...         0.11%     621.805us         7.09%      38.882ms       1.944ms       0.000us         0.00%      83.294ms       4.165ms           0 B           0 B    1010.00 MB      -4.93 GB            20            --  
                                       aten::batch_norm         0.29%       1.590ms         5.52%      30.267ms      27.515us       0.000us         0.00%      78.665ms      71.513us           0 B           0 B      55.07 GB      -3.85 MB          1100            --  
                           aten::_batch_norm_impl_index         0.38%       2.062ms         5.23%      28.677ms      26.070us       0.000us         0.00%      78.665ms      71.513us           0 B           0 B      55.07 GB     -11.00 KB          1100            --  
                                aten::native_batch_norm         1.19%       6.507ms         4.45%      24.416ms      22.608us      72.335ms        15.98%      73.921ms      68.445us           0 B           0 B      54.56 GB    -401.00 MB          1080            --  
void at::native::batch_norm_transform_input_kernel<c...         0.00%       0.000us         0.00%       0.000us       0.000us      70.590ms        15.60%      70.590ms      66.595us           0 B           0 B           0 B           0 B          1060            --  
sm80_xmma_fprop_implicit_gemm_bf16bf16_bf16f32_f32_n...         0.00%       0.000us         0.00%       0.000us       0.000us      62.764ms        13.87%      62.764ms     184.600us           0 B           0 B           0 B           0 B           340            --  
[pl][module]torchvision.models.resnet.Bottleneck: ba...         0.20%       1.111ms         1.58%       8.663ms     433.146us       0.000us         0.00%      47.687ms       2.384ms           0 B           0 B       1.96 GB      -8.86 GB            20            --  
                                             aten::add_         0.19%       1.065ms         0.35%       1.922ms       4.805us      46.290ms        10.23%      46.290ms     115.724us           0 B           0 B           0 B           0 B           400            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      45.601ms        10.08%      45.601ms     142.502us           0 B           0 B           0 B           0 B           320            --  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      45.593ms        10.07%      45.593ms     162.831us           0 B           0 B           0 B           0 B           280            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 548.575ms
Self CUDA time total: 452.547ms
