epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/mcc,train/acc,train/loss_epoch,train/loss_step,val/acc,val/f1,val/loss,val/mcc,val/precision,val/recall
,1.143098387631323e-05,1.143098387631323e-05,0,,,,,,,,,,,,,
0,,,19,,,,,,,39.077239990234375,,,,,,
0,,,39,,,,,,,30.890186309814453,,,,,,
0,,,59,,,,,,,18.57358741760254,,,,,,
0,,,79,,,,,,,9.471414566040039,,,,,,
0,,,99,,,,,,,11.359676361083984,,,,,,
0,,,119,,,,,,,11.754692077636719,,,,,,
0,,,139,,,,,,,13.31547737121582,,,,,,
0,,,159,,,,,,,5.688518047332764,,,,,,
0,,,179,,,,,,,3.5869669914245605,,,,,,
0,,,199,,,,,,,4.011624336242676,,,,,,
0,,,219,,,,,,,3.6091504096984863,,,,,,
0,,,239,,,,,,,9.3912935256958,,,,,,
0,,,259,,,,,,,8.15768814086914,,,,,,
0,,,279,,,,,,,4.32036018371582,,,,,,
0,,,299,,,,,,,3.958310127258301,,,,,,
0,,,319,,,,,,,3.1118884086608887,,,,,,
0,,,339,,,,,,,2.6555302143096924,,,,,,
0,,,359,,,,,,,3.0228071212768555,,,,,,
0,,,379,,,,,,,2.821446418762207,,,,,,
0,,,399,,,,,,,2.6953847408294678,,,,,,
0,,,419,,,,,,,2.220168113708496,,,,,,
0,,,439,,,,,,,2.4232287406921387,,,,,,
0,,,459,,,,,,,2.9616546630859375,,,,,,
0,,,479,,,,,,,2.2443268299102783,,,,,,
0,,,499,,,,,,,2.192376136779785,,,,,,
0,,,519,,,,,,,2.884612560272217,,,,,,
0,,,539,,,,,,,3.2388927936553955,,,,,,
0,,,559,,,,,,,2.183858871459961,,,,,,
0,,,579,,,,,,,2.2742197513580322,,,,,,
0,,,599,,,,,,,2.143585681915283,,,,,,
0,,,619,,,,,,,2.7012734413146973,,,,,,
0,,,639,,,,,,,3.1142234802246094,,,,,,
0,,,659,,,,,,,1.7067570686340332,,,,,,
