epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/bt_loss_epoch,train/bt_loss_step,train/off_diag_epoch,train/off_diag_step,train/on_diag_epoch,train/on_diag_step,val/bt_loss,val/off_diag,val/on_diag
,0.0003,0.0003,0,,,,,,,,,
0,,,19,,983.798095703125,,149346.28125,,237.06674194335938,,,
0,,,39,,762.4864501953125,,116651.3203125,,179.22984313964844,,,
0,,,59,,777.1383666992188,,115899.796875,,197.639404296875,,,
0,,,79,,658.7053833007812,,119284.6875,,62.281982421875,,,
0,,,99,,602.2838134765625,,114635.046875,,29.108551025390625,,,
0,,,119,,582.540771484375,,100111.8984375,,81.9813232421875,,,
0,,,139,,594.5227661132812,,107806.1875,,55.4918212890625,,,
0,,,159,,604.2406005859375,,117153.0,,18.475616455078125,,,
0,,,173,,,,,,,27128.994140625,4647705.5,3890.459228515625
0,,,173,739.2081298828125,,121156.75,,133.42428588867188,,,,
