epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/mcc,train/acc,train/loss_epoch,train/loss_step,val/acc,val/f1,val/loss,val/mcc,val/precision
,0.0,0.0,0,,,,,,,,,,,,,
0,,,19,,,,,,,,2.0366463661193848,,,,,
0,,,39,,,,,,,,1.563581109046936,,,,,
0,,,59,,,,,,,,1.7214596271514893,,,,,
0,,,79,,,,,,,,1.8831470012664795,,,,,
0,,,99,,,,,,,,1.7557671070098877,,,,,
0,,,119,,,,,,,,1.8945401906967163,,,,,
0,,,139,,,,,,,,1.7717641592025757,,,,,
0,,,159,,,,,,,,1.8527745008468628,,,,,
0,,,179,,,,,,,,1.567653775215149,,,,,
0,,,199,,,,,,,,1.750509262084961,,,,,
0,,,219,,,,,,,,1.5253740549087524,,,,,
0,,,239,,,,,,,,1.9063055515289307,,,,,
0,,,259,,,,,,,,1.6049270629882812,,,,,
0,,,279,,,,,,,,1.7401957511901855,,,,,
0,,,299,,,,,,,,1.617018222808838,,,,,
0,,,319,,,,,,,,1.8868755102157593,,,,,
0,,,339,,,,,,,,1.7900851964950562,,,,,
0,,,359,,,,,,,,2.149320125579834,,,,,
0,,,379,,,,,,,,1.8931512832641602,,,,,
0,,,399,,,,,,,,1.869382619857788,,,,,
0,,,419,,,,,,,,1.8230844736099243,,,,,
0,,,439,,,,,,,,1.5524072647094727,,,,,
0,,,459,,,,,,,,1.9026967287063599,,,,,
0,,,479,,,,,,,,1.677870273590088,,,,,
0,,,499,,,,,,,,1.3509355783462524,,,,,
0,,,519,,,,,,,,1.6951490640640259,,,,,
0,,,539,,,,,,,,1.9397304058074951,,,,,
0,,,540,,,,,,,,,0.3005768656730652,0.20551177859306335,1.4402514696121216,-0.04670967534184456,0.15790672600269318
0,,,540,,,,,,0.3423841595649719,1.7659196853637695,,,,,,
,2.9999999999999997e-05,2.9999999999999997e-05,541,,,,,,,,,,,,,
1,,,559,,,,,,,,1.9163494110107422,,,,,
1,,,579,,,,,,,,1.5549029111862183,,,,,
1,,,599,,,,,,,,1.6404768228530884,,,,,
1,,,619,,,,,,,,1.6827291250228882,,,,,
1,,,639,,,,,,,,1.9876457452774048,,,,,
1,,,659,,,,,,,,1.713491439819336,,,,,
1,,,679,,,,,,,,1.4829075336456299,,,,,
1,,,699,,,,,,,,1.620450496673584,,,,,
1,,,719,,,,,,,,1.7505395412445068,,,,,
1,,,739,,,,,,,,1.323770523071289,,,,,
