epoch,lr-AdamW,p_cd1,p_cd2,p_cd3,step,train_cd_reg,train_f1_score,train_f_beta,train_loss_epoch,train_loss_step,train_mcc,train_task_loss,val_auroc,val_f1_score,val_f_beta,val_loss_epoch,val_loss_step,val_mcc,val_task_loss
1,,,,,389,,,,,0.5238593220710754,,,,,,,,,
1,,,,,399,,,,,1.0970687866210938,,,,,,,,,
1,,,,,409,,,,,0.6374667286872864,,,,,,,,,
1,,,,,419,,,,,0.5391137599945068,,,,,,,,,
1,,,,,429,,,,,0.5406184196472168,,,,,,,,,
1,,,,,439,,,,,0.6434313654899597,,,,,,,,,
1,,,,,449,,,,,0.6381929516792297,,,,,,,,,
1,,,,,459,,,,,1.1807714700698853,,,,,,,,,
1,,,,,469,,,,,0.8808979988098145,,,,,,,,,
1,,,,,479,,,,,0.7389668822288513,,,,,,,,,
1,,,,,489,,,,,0.7784340381622314,,,,,,,,,
1,,,,,499,,,,,0.9717099070549011,,,,,,,,,
1,,,,,509,,,,,0.8732860684394836,,,,,,,,,
1,,,,,519,,,,,0.6527599096298218,,,,,,,,,
1,,,,,529,,,,,0.6518879532814026,,,,,,,,,
1,,,,,539,,,,,0.5652384757995605,,,,,,,,,
,,,,,59,,,,,,,,,,,,0.38171374797821045,,
,,,,,60,,,,,,,,,,,,0.7407093048095703,,
,,,,,61,,,,,,,,,,,,0.6223791837692261,,
,,,,,62,,,,,,,,,,,,0.637184202671051,,
,,,,,63,,,,,,,,,,,,0.9388910531997681,,
,,,,,64,,,,,,,,,,,,1.0085715055465698,,
,,,,,65,,,,,,,,,,,,0.8284050226211548,,
,,,,,66,,,,,,,,,,,,0.9962828159332275,,
,,,,,67,,,,,,,,,,,,0.596034586429596,,
,,,,,68,,,,,,,,,,,,0.1542024314403534,,
,,,,,69,,,,,,,,,,,,0.11375363916158676,,
,,,,,70,,,,,,,,,,,,0.24624045193195343,,
,,,,,71,,,,,,,,,,,,0.2662235498428345,,
,,,,,72,,,,,,,,,,,,0.4068125784397125,,
,,,,,73,,,,,,,,,,,,0.8373581767082214,,
,,,,,74,,,,,,,,,,,,0.6188297271728516,,
,,,,,75,,,,,,,,,,,,0.6225139498710632,,
,,,,,76,,,,,,,,,,,,0.5622496604919434,,
,,,,,77,,,,,,,,,,,,0.44422370195388794,,
,,,,,78,,,,,,,,,,,,0.6882717609405518,,
,,,,,79,,,,,,,,,,,,0.6260560154914856,,
,,,,,80,,,,,,,,,,,,0.5652695894241333,,
,,,,,81,,,,,,,,,,,,0.4913383722305298,,
,,,,,82,,,,,,,,,,,,0.3191296458244324,,
,,,,,83,,,,,,,,,,,,0.4841115474700928,,
,,,,,84,,,,,,,,,,,,0.7523369789123535,,
,,,,,85,,,,,,,,,,,,0.41596919298171997,,
,,,,,86,,,,,,,,,,,,0.5208154916763306,,
,,,,,87,,,,,,,,,,,,0.6783226728439331,,
,,,,,88,,,,,,,,,,,,0.226059690117836,,
,,,,,89,,,,,,,,,,,,0.36954331398010254,,
,,,,,90,,,,,,,,,,,,0.8336073756217957,,
,,,,,91,,,,,,,,,,,,0.1594388484954834,,
,,,,,92,,,,,,,,,,,,0.1487322896718979,,
,,,,,93,,,,,,,,,,,,0.18507026135921478,,
,,,,,94,,,,,,,,,,,,0.3698529601097107,,
,,,,,95,,,,,,,,,,,,1.7063870429992676,,
,,,,,96,,,,,,,,,,,,0.2882870137691498,,
,,,,,97,,,,,,,,,,,,0.5595980882644653,,
,,,,,98,,,,,,,,,,,,1.5896333456039429,,
,,,,,99,,,,,,,,,,,,0.9291506409645081,,
,,,,,100,,,,,,,,,,,,0.8331605792045593,,
,,,,,101,,,,,,,,,,,,0.42774438858032227,,
,,,,,102,,,,,,,,,,,,0.8004285097122192,,
,,,,,103,,,,,,,,,,,,0.1259242296218872,,
,,,,,104,,,,,,,,,,,,0.09908892959356308,,
,,,,,105,,,,,,,,,,,,0.09212993085384369,,
,,,,,106,,,,,,,,,,,,0.25398439168930054,,
,,,,,107,,,,,,,,,,,,0.44631150364875793,,
,,,,,108,,,,,,,,,,,,0.26877230405807495,,
,,,,,109,,,,,,,,,,,,0.0894775316119194,,
,,,,,110,,,,,,,,,,,,0.09086719155311584,,
,,,,,111,,,,,,,,,,,,0.12395668774843216,,
,,,,,112,,,,,,,,,,,,1.0811983346939087,,
,,,,,113,,,,,,,,,,,,3.9572691917419434,,
,,,,,114,,,,,,,,,,,,2.4102606773376465,,
,,,,,115,,,,,,,,,,,,1.9596595764160156,,
,,,,,116,,,,,,,,,,,,3.069516658782959,,
,,,,,117,,,,,,,,,,,,5.626328945159912,,
,,,,,118,,,,,,,,,,,,4.3849639892578125,,
,,,,,119,,,,,,,,,,,,1.9515312910079956,,
1,,,,,539,,,,,,,,0.7410535216331482,0.39551427960395813,0.39551427960395813,0.8528217673301697,,0.2664007544517517,0.8528217673301697
