epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_step
,0.0,0.0,0,
0,,,19,19.826082229614258
0,,,39,21.373729705810547
0,,,59,21.31039047241211
0,,,79,21.47014617919922
0,,,99,21.09670639038086
0,,,119,21.408348083496094
0,,,139,17.388839721679688
0,,,159,23.27111053466797
0,,,179,20.39318084716797
0,,,199,18.564815521240234
0,,,219,14.923561096191406
0,,,239,23.870594024658203
0,,,259,24.287071228027344
0,,,279,18.758197784423828
0,,,299,12.488676071166992
0,,,319,24.360828399658203
0,,,339,21.62942123413086
0,,,359,18.069751739501953
0,,,379,21.88568687438965
0,,,399,23.424238204956055
0,,,419,21.058425903320312
0,,,439,22.53154945373535
0,,,459,19.902122497558594
0,,,479,28.245901107788086
0,,,499,12.503860473632812
0,,,519,25.761878967285156
0,,,539,26.789182662963867
0,,,559,29.970027923583984
0,,,579,18.569965362548828
0,,,599,15.41353988647461
0,,,619,19.941097259521484
0,,,639,23.35985565185547
0,,,659,22.090728759765625
0,,,679,17.443038940429688
0,,,699,23.4268798828125
