epoch,lr-AdamW,step,test/acc,test/auroc,test/f1,test/loss,test/mcc,train/acc,train/loss_epoch,train/loss_step,val/acc,val/f1,val/loss,val/mcc
,0.0,0,,,,,,,,,,,,
0,,19,,,,,,,,23.009214401245117,,,,
0,,39,,,,,,,,17.769134521484375,,,,
0,,59,,,,,,,,23.89910888671875,,,,
0,,79,,,,,,,,16.514602661132812,,,,
0,,99,,,,,,,,18.522306442260742,,,,
0,,119,,,,,,,,8.387733459472656,,,,
0,,139,,,,,,,,21.080698013305664,,,,
0,,159,,,,,,,,12.43015193939209,,,,
0,,179,,,,,,,,18.88515853881836,,,,
0,,199,,,,,,,,15.772697448730469,,,,
0,,219,,,,,,,,23.86974334716797,,,,
0,,239,,,,,,,,13.634943008422852,,,,
0,,259,,,,,,,,16.83487319946289,,,,
0,,279,,,,,,,,16.539358139038086,,,,
0,,299,,,,,,,,12.427806854248047,,,,
0,,319,,,,,,,,13.759839057922363,,,,
0,,339,,,,,,,,17.754199981689453,,,,
0,,359,,,,,,,,20.715774536132812,,,,
0,,379,,,,,,,,21.263141632080078,,,,
0,,399,,,,,,,,20.668960571289062,,,,
0,,419,,,,,,,,17.45127296447754,,,,
0,,439,,,,,,,,17.97951316833496,,,,
0,,459,,,,,,,,23.42613410949707,,,,
0,,479,,,,,,,,23.615310668945312,,,,
0,,499,,,,,,,,22.271060943603516,,,,
0,,519,,,,,,,,14.775769233703613,,,,
0,,539,,,,,,,,11.444000244140625,,,,
0,,559,,,,,,,,17.183349609375,,,,
0,,579,,,,,,,,20.41935920715332,,,,
0,,599,,,,,,,,12.412123680114746,,,,
0,,619,,,,,,,,21.920202255249023,,,,
0,,639,,,,,,,,25.027101516723633,,,,
0,,659,,,,,,,,18.387483596801758,,,,
0,,679,,,,,,,,17.643564224243164,,,,
0,,699,,,,,,,,26.341205596923828,,,,
0,,716,,,,,,,,,0.25,0.1117652878165245,15.752555847167969,0.0020593677181750536
0,,716,,,,,,0.29881030321121216,18.7759952545166,,,,,
,0.0003333333333333333,717,,,,,,,,,,,,
1,,719,,,,,,,,12.005776405334473,,,,
1,,739,,,,,,,,12.198969841003418,,,,
1,,759,,,,,,,,11.111469268798828,,,,
1,,779,,,,,,,,10.175849914550781,,,,
1,,799,,,,,,,,7.862461090087891,,,,
1,,819,,,,,,,,7.29448127746582,,,,
1,,839,,,,,,,,5.199981689453125,,,,
1,,859,,,,,,,,5.04097318649292,,,,
