epoch,lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/micro_precision,test/recall,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
0,,,,1559,,,,,,,,,,,0.24185751378536224,,,,,,,,,,,,
0,,,,1579,,,,,,,,,,,0.21987959742546082,,,,,,,,,,,,
0,,,,1599,,,,,,,,,,,0.21902833878993988,,,,,,,,,,,,
0,,,,1619,,,,,,,,,,,0.31393665075302124,,,,,,,,,,,,
0,,,,1639,,,,,,,,,,,0.29250645637512207,,,,,,,,,,,,
0,,,,1659,,,,,,,,,,,0.31414052844047546,,,,,,,,,,,,
0,,,,1679,,,,,,,,,,,0.20468369126319885,,,,,,,,,,,,
0,,,,1699,,,,,,,,,,,0.368852823972702,,,,,,,,,,,,
0,,,,1719,,,,,,,,,,,0.38856086134910583,,,,,,,,,,,,
0,,,,1739,,,,,,,,,,,0.2790765166282654,,,,,,,,,,,,
0,,,,1759,,,,,,,,,,,0.20451581478118896,,,,,,,,,,,,
0,,,,1779,,,,,,,,,,,0.5429774522781372,,,,,,,,,,,,
0,,,,1799,,,,,,,,,,,0.21584497392177582,,,,,,,,,,,,
0,,,,1819,,,,,,,,,,,0.2867121994495392,,,,,,,,,,,,
0,,,,1839,,,,,,,,,,,0.27486467361450195,,,,,,,,,,,,
0,,,,1859,,,,,,,,,,,0.1313590407371521,,,,,,,,,,,,
0,,,,1879,,,,,,,,,,,0.18305537104606628,,,,,,,,,,,,
0,,,,1899,,,,,,,,,,,0.2713874578475952,,,,,,,,,,,,
0,,,,1919,,,,,,,,,,,0.2970689535140991,,,,,,,,,,,,
0,,,,1939,,,,,,,,,,,0.47136348485946655,,,,,,,,,,,,
0,,,,1959,,,,,,,,,,,0.2046617567539215,,,,,,,,,,,,
0,,,,1979,,,,,,,,,,,0.29273003339767456,,,,,,,,,,,,
0,,,,1999,,,,,,,,,,,0.4907766580581665,,,,,,,,,,,,
0,,,,2019,,,,,,,,,,,0.16826218366622925,,,,,,,,,,,,
0,,,,2039,,,,,,,,,,,0.2983834743499756,,,,,,,,,,,,
0,,,,2059,,,,,,,,,,,0.35010018944740295,,,,,,,,,,,,
0,,,,2079,,,,,,,,,,,0.3854876458644867,,,,,,,,,,,,
0,,,,2099,,,,,,,,,,,0.2611169219017029,,,,,,,,,,,,
0,,,,2119,,,,,,,,,,,0.18474088609218597,,,,,,,,,,,,
0,,,,2139,,,,,,,,,,,0.15712030231952667,,,,,,,,,,,,
