epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/acc,train/loss_epoch,train/loss_step,val/acc,val/f1,val/loss,val/mcc,val/precision,val/recall
,1.279379557157636e-05,1.279379557157636e-05,0,,,,,,,,,
0,,,19,,,30.083301544189453,,,,,,
0,,,39,,,4.989133834838867,,,,,,
0,,,59,,,15.330852508544922,,,,,,
0,,,79,,,4.942615509033203,,,,,,
0,,,99,,,12.031394958496094,,,,,,
0,,,119,,,8.0576753616333,,,,,,
0,,,139,,,10.849747657775879,,,,,,
0,,,159,,,5.594722270965576,,,,,,
0,,,179,,,2.6692872047424316,,,,,,
0,,,199,,,2.877732992172241,,,,,,
0,,,219,,,4.222309112548828,,,,,,
0,,,239,,,3.005617141723633,,,,,,
0,,,259,,,9.283044815063477,,,,,,
0,,,279,,,4.3734211921691895,,,,,,
0,,,299,,,3.2585184574127197,,,,,,
0,,,319,,,5.538336753845215,,,,,,
0,,,339,,,2.5958845615386963,,,,,,
0,,,359,,,2.8916866779327393,,,,,,
0,,,379,,,2.6357412338256836,,,,,,
0,,,399,,,2.2591114044189453,,,,,,
0,,,419,,,2.66212797164917,,,,,,
0,,,439,,,2.0753257274627686,,,,,,
0,,,459,,,2.769437551498413,,,,,,
0,,,479,,,1.7820146083831787,,,,,,
0,,,499,,,2.512920379638672,,,,,,
0,,,519,,,6.038463592529297,,,,,,
0,,,539,,,1.5108309984207153,,,,,,
0,,,559,,,2.540459156036377,,,,,,
0,,,579,,,2.2166075706481934,,,,,,
0,,,599,,,1.6829274892807007,,,,,,
0,,,619,,,1.958982229232788,,,,,,
0,,,639,,,1.994253158569336,,,,,,
0,,,659,,,11.979231834411621,,,,,,
0,,,679,,,1.7275677919387817,,,,,,
0,,,699,,,2.320827007293701,,,,,,
0,,,719,,,5.753046989440918,,,,,,
0,,,739,,,2.2751808166503906,,,,,,
0,,,759,,,2.195129632949829,,,,,,
0,,,779,,,1.8898258209228516,,,,,,
0,,,799,,,1.4933934211730957,,,,,,
0,,,819,,,1.5279204845428467,,,,,,
0,,,839,,,1.8277349472045898,,,,,,
0,,,859,,,2.074852228164673,,,,,,
