epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/loss_step
,0.0,0.0,0,
0,,,19,20.26129913330078
0,,,39,22.497806549072266
0,,,59,27.318721771240234
0,,,79,23.29189109802246
0,,,99,28.495771408081055
0,,,119,13.063883781433105
0,,,139,20.05264663696289
0,,,159,18.010875701904297
0,,,179,20.00556182861328
0,,,199,23.90873146057129
0,,,219,17.741905212402344
0,,,239,25.953956604003906
0,,,259,18.085668563842773
0,,,279,20.67768096923828
0,,,299,18.443300247192383
0,,,319,22.931581497192383
0,,,339,18.012405395507812
0,,,359,21.033794403076172
0,,,379,28.100858688354492
0,,,399,25.882143020629883
0,,,419,21.00131607055664
0,,,439,18.11369514465332
0,,,459,29.804927825927734
0,,,479,19.461013793945312
0,,,499,20.53013801574707
0,,,519,20.187419891357422
0,,,539,30.098464965820312
0,,,559,22.632638931274414
0,,,579,19.08116340637207
