epoch,step,train/acc,train/loss_con,train/loss_epoch,train/loss_net,train/loss_s5,train/loss_step,val/acc,val/f1,val/loss,val/mcc,val/precision
0,19,,,,,,1.6603105068206787,,,,,
0,39,,,,,,1.7875802516937256,,,,,
0,59,,,,,,1.6476569175720215,,,,,
0,79,,,,,,1.8289616107940674,,,,,
0,99,,,,,,1.6927680969238281,,,,,
0,119,,,,,,1.688516616821289,,,,,
0,139,,,,,,1.9213833808898926,,,,,
0,159,,,,,,1.8450872898101807,,,,,
0,179,,,,,,1.7575902938842773,,,,,
0,199,,,,,,1.6541087627410889,,,,,
0,219,,,,,,1.7347948551177979,,,,,
0,239,,,,,,1.7450343370437622,,,,,
0,259,,,,,,1.7052597999572754,,,,,
0,279,,,,,,1.7170968055725098,,,,,
0,299,,,,,,1.8118135929107666,,,,,
0,319,,,,,,1.5783765316009521,,,,,
0,339,,,,,,1.5639002323150635,,,,,
0,359,,,,,,1.6294925212860107,,,,,
0,379,,,,,,1.762861728668213,,,,,
0,399,,,,,,1.7307958602905273,,,,,
0,419,,,,,,1.6966980695724487,,,,,
0,439,,,,,,1.741666555404663,,,,,
0,459,,,,,,1.589404582977295,,,,,
0,479,,,,,,1.591048240661621,,,,,
0,499,,,,,,1.8572895526885986,,,,,
0,519,,,,,,1.6999609470367432,,,,,
0,539,,,,,,1.731238603591919,,,,,
0,559,,,,,,1.8097400665283203,,,,,
0,579,,,,,,1.6678744554519653,,,,,
0,599,,,,,,1.7789384126663208,,,,,
0,619,,,,,,1.9162200689315796,,,,,
0,639,,,,,,1.5167946815490723,,,,,
0,659,,,,,,1.831923484802246,,,,,
0,679,,,,,,1.9260690212249756,,,,,
0,699,,,,,,1.962348222732544,,,,,
0,719,,,,,,1.7365832328796387,,,,,
0,739,,,,,,1.752927303314209,,,,,
0,759,,,,,,1.767293930053711,,,,,
0,779,,,,,,1.5184751749038696,,,,,
0,799,,,,,,1.6823867559432983,,,,,
0,819,,,,,,1.8175075054168701,,,,,
0,839,,,,,,1.63168203830719,,,,,
0,859,,,,,,1.6851868629455566,,,,,
0,879,,,,,,1.803808331489563,,,,,
0,899,,,,,,1.7409592866897583,,,,,
0,919,,,,,,1.7127333879470825,,,,,
0,939,,,,,,1.6837421655654907,,,,,
0,959,,,,,,1.6511197090148926,,,,,
0,979,,,,,,1.829606294631958,,,,,
0,999,,,,,,1.6561028957366943,,,,,
0,1019,,,,,,1.7726858854293823,,,,,
0,1039,,,,,,1.674245834350586,,,,,
0,1059,,,,,,1.7271124124526978,,,,,
0,1079,,,,,,1.702040433883667,,,,,
0,1081,,,,,,,0.3333333432674408,0.14865265786647797,1.2543648481369019,0.0,0.09565549343824387
0,1081,0.34395667910575867,0.5323534607887268,1.7399636507034302,0.6302364468574524,0.5773739218711853,,,,,,
1,1099,,,,,,1.4199681282043457,,,,,
1,1119,,,,,,1.4913309812545776,,,,,
1,1139,,,,,,1.27351975440979,,,,,
1,1159,,,,,,1.6538132429122925,,,,,
1,1179,,,,,,1.565807819366455,,,,,
1,1199,,,,,,1.2801203727722168,,,,,
1,1219,,,,,,1.319216251373291,,,,,
1,1239,,,,,,1.28397536277771,,,,,
1,1259,,,,,,1.1266014575958252,,,,,
1,1279,,,,,,1.0347890853881836,,,,,
1,1299,,,,,,1.261627197265625,,,,,
1,1319,,,,,,1.2019875049591064,,,,,
1,1339,,,,,,1.0624706745147705,,,,,
1,1359,,,,,,1.0659687519073486,,,,,
1,1379,,,,,,1.166514277458191,,,,,
1,1399,,,,,,1.504906177520752,,,,,
1,1419,,,,,,1.12497878074646,,,,,
1,1439,,,,,,1.2254213094711304,,,,,
1,1459,,,,,,1.3552074432373047,,,,,
1,1479,,,,,,1.0633597373962402,,,,,
1,1499,,,,,,1.1373909711837769,,,,,
1,1519,,,,,,1.2214869260787964,,,,,
1,1539,,,,,,1.1829216480255127,,,,,
1,1559,,,,,,1.0344644784927368,,,,,
1,1579,,,,,,1.2299424409866333,,,,,
1,1599,,,,,,1.0474246740341187,,,,,
1,1619,,,,,,0.9780124425888062,,,,,
1,1639,,,,,,1.298740267753601,,,,,
1,1659,,,,,,1.163311243057251,,,,,
1,1679,,,,,,1.1914913654327393,,,,,
1,1699,,,,,,1.1328885555267334,,,,,
1,1719,,,,,,0.9375350475311279,,,,,
1,1739,,,,,,1.4292341470718384,,,,,
1,1759,,,,,,0.9131318926811218,,,,,
1,1779,,,,,,0.8564972877502441,,,,,
1,1799,,,,,,0.9563835859298706,,,,,
1,1819,,,,,,1.2850618362426758,,,,,
1,1839,,,,,,0.7903883457183838,,,,,
1,1859,,,,,,1.0856720209121704,,,,,
1,1879,,,,,,0.8756566047668457,,,,,
1,1899,,,,,,0.8394114971160889,,,,,
1,1919,,,,,,1.0676013231277466,,,,,
1,1939,,,,,,1.2774618864059448,,,,,
1,1959,,,,,,1.0539604425430298,,,,,
1,1979,,,,,,0.8428223133087158,,,,,
1,1999,,,,,,1.1799588203430176,,,,,
1,2019,,,,,,0.8777243494987488,,,,,
1,2039,,,,,,1.058105230331421,,,,,
1,2059,,,,,,1.2822372913360596,,,,,
1,2079,,,,,,1.2784459590911865,,,,,
1,2099,,,,,,1.2411338090896606,,,,,
1,2119,,,,,,1.3128670454025269,,,,,
1,2139,,,,,,1.0433381795883179,,,,,
1,2159,,,,,,1.5304319858551025,,,,,
1,2163,,,,,,,0.5581837892532349,0.552653431892395,0.8719220757484436,0.29509177803993225,0.5515904426574707
1,2163,0.4741054177284241,0.3771539330482483,1.1788954734802246,0.4235323965549469,0.3782093822956085,,,,,,
2,2179,,,,,,1.0477313995361328,,,,,
2,2199,,,,,,0.9693756103515625,,,,,
2,2219,,,,,,1.2119953632354736,,,,,
2,2239,,,,,,1.0537058115005493,,,,,
2,2259,,,,,,1.1189073324203491,,,,,
2,2279,,,,,,1.3903549909591675,,,,,
2,2299,,,,,,0.8255488872528076,,,,,
2,2319,,,,,,0.9142718315124512,,,,,
2,2339,,,,,,0.9889204502105713,,,,,
2,2359,,,,,,0.828405499458313,,,,,
2,2379,,,,,,0.9352809190750122,,,,,
2,2399,,,,,,1.0238416194915771,,,,,
2,2419,,,,,,1.2661412954330444,,,,,
2,2439,,,,,,1.0103955268859863,,,,,
2,2459,,,,,,1.1013846397399902,,,,,
2,2479,,,,,,0.9415833950042725,,,,,
2,2499,,,,,,1.342814564704895,,,,,
2,2519,,,,,,1.1715903282165527,,,,,
2,2539,,,,,,1.048492670059204,,,,,
2,2559,,,,,,1.0301600694656372,,,,,
2,2579,,,,,,0.9566903114318848,,,,,
2,2599,,,,,,0.8457050323486328,,,,,
2,2619,,,,,,1.7699213027954102,,,,,
2,2639,,,,,,1.100572109222412,,,,,
2,2659,,,,,,1.1389451026916504,,,,,
2,2679,,,,,,0.945038914680481,,,,,
2,2699,,,,,,1.0484330654144287,,,,,
2,2719,,,,,,1.2116484642028809,,,,,
2,2739,,,,,,0.8910022974014282,,,,,
2,2759,,,,,,0.9495465755462646,,,,,
2,2779,,,,,,1.3518633842468262,,,,,
2,2799,,,,,,0.7437460422515869,,,,,
2,2819,,,,,,1.1263350248336792,,,,,
2,2839,,,,,,1.0597903728485107,,,,,
2,2859,,,,,,0.9056371450424194,,,,,
2,2879,,,,,,0.7600099444389343,,,,,
2,2899,,,,,,1.0561323165893555,,,,,
2,2919,,,,,,0.5869655609130859,,,,,
2,2939,,,,,,1.297893762588501,,,,,
2,2959,,,,,,0.9656380414962769,,,,,
2,2979,,,,,,0.8776885271072388,,,,,
2,2999,,,,,,0.8560031056404114,,,,,
2,3019,,,,,,1.2210484743118286,,,,,
2,3039,,,,,,0.8400348424911499,,,,,
2,3059,,,,,,0.8500263094902039,,,,,
2,3079,,,,,,1.2663359642028809,,,,,
2,3099,,,,,,0.96573805809021,,,,,
2,3119,,,,,,1.7762470245361328,,,,,
2,3139,,,,,,1.2003906965255737,,,,,
2,3159,,,,,,1.591428518295288,,,,,
2,3179,,,,,,1.360687255859375,,,,,
2,3199,,,,,,0.7243001461029053,,,,,
2,3219,,,,,,0.850759744644165,,,,,
2,3239,,,,,,0.7370940446853638,,,,,
2,3245,,,,,,,0.5985759496688843,0.5898430347442627,0.8782278895378113,0.4006515145301819,0.6609306931495667
2,3245,0.49127548933029175,0.33229294419288635,1.0493813753128052,0.3706396520137787,0.3464488089084625,,,,,,
3,3259,,,,,,0.6926304697990417,,,,,
3,3279,,,,,,0.8994846343994141,,,,,
3,3299,,,,,,1.5553869009017944,,,,,
3,3319,,,,,,0.7385045289993286,,,,,
3,3339,,,,,,1.3057507276535034,,,,,
3,3359,,,,,,0.8991559743881226,,,,,
3,3379,,,,,,1.2126562595367432,,,,,
3,3399,,,,,,0.9379420280456543,,,,,
3,3419,,,,,,0.8022791147232056,,,,,
3,3439,,,,,,0.9621021747589111,,,,,
3,3459,,,,,,0.7063688039779663,,,,,
3,3479,,,,,,0.8994942903518677,,,,,
3,3499,,,,,,0.7118500471115112,,,,,
3,3519,,,,,,0.8558173775672913,,,,,
3,3539,,,,,,0.7993723154067993,,,,,
3,3559,,,,,,0.7424803376197815,,,,,
3,3579,,,,,,1.3027141094207764,,,,,
3,3599,,,,,,0.7840340733528137,,,,,
3,3619,,,,,,0.7228981256484985,,,,,
3,3639,,,,,,0.7675502300262451,,,,,
3,3659,,,,,,0.8376924395561218,,,,,
3,3679,,,,,,0.7327709197998047,,,,,
3,3699,,,,,,1.3411734104156494,,,,,
3,3719,,,,,,1.0135594606399536,,,,,
3,3739,,,,,,0.7857648134231567,,,,,
3,3759,,,,,,1.062904715538025,,,,,
3,3779,,,,,,0.929526686668396,,,,,
3,3799,,,,,,1.2223167419433594,,,,,
3,3819,,,,,,0.9354196786880493,,,,,
3,3839,,,,,,0.9513935446739197,,,,,
3,3859,,,,,,0.9315293431282043,,,,,
3,3879,,,,,,1.2600809335708618,,,,,
3,3899,,,,,,0.7814410924911499,,,,,
3,3919,,,,,,1.3643908500671387,,,,,
3,3939,,,,,,1.1807022094726562,,,,,
3,3959,,,,,,0.9347125291824341,,,,,
3,3979,,,,,,0.7472923994064331,,,,,
3,3999,,,,,,1.0055603981018066,,,,,
3,4019,,,,,,1.0363116264343262,,,,,
3,4039,,,,,,0.8566666841506958,,,,,
3,4059,,,,,,1.148850679397583,,,,,
3,4079,,,,,,0.9507408142089844,,,,,
3,4099,,,,,,1.5287997722625732,,,,,
3,4119,,,,,,0.7765917778015137,,,,,
3,4139,,,,,,1.3950204849243164,,,,,
3,4159,,,,,,0.8218891024589539,,,,,
3,4179,,,,,,0.7045387029647827,,,,,
3,4199,,,,,,0.8013540506362915,,,,,
3,4219,,,,,,1.1262967586517334,,,,,
3,4239,,,,,,0.9490247964859009,,,,,
3,4259,,,,,,0.9287523031234741,,,,,
3,4279,,,,,,0.822364866733551,,,,,
3,4299,,,,,,1.4835286140441895,,,,,
3,4319,,,,,,1.390709638595581,,,,,
3,4327,,,,,,,0.5779882073402405,0.5952721834182739,0.8681136965751648,0.4141664505004883,0.6792036294937134
3,4327,0.5267645716667175,0.31366783380508423,0.9981364607810974,0.3489806056022644,0.3354882001876831,,,,,,
4,4339,,,,,,0.8928272724151611,,,,,
4,4359,,,,,,1.4734315872192383,,,,,
4,4379,,,,,,1.072441816329956,,,,,
4,4399,,,,,,0.8192119598388672,,,,,
4,4419,,,,,,1.3567545413970947,,,,,
4,4439,,,,,,0.9871180057525635,,,,,
4,4459,,,,,,0.7915911674499512,,,,,
4,4479,,,,,,0.8355072736740112,,,,,
4,4499,,,,,,0.5910042524337769,,,,,
4,4519,,,,,,0.6540848016738892,,,,,
4,4539,,,,,,1.6244431734085083,,,,,
4,4559,,,,,,0.7871208190917969,,,,,
4,4579,,,,,,0.9373528957366943,,,,,
4,4599,,,,,,1.026132583618164,,,,,
4,4619,,,,,,0.955570638179779,,,,,
4,4639,,,,,,1.0978648662567139,,,,,
4,4659,,,,,,0.7298099994659424,,,,,
4,4679,,,,,,0.7604992389678955,,,,,
4,4699,,,,,,0.9918303489685059,,,,,
4,4719,,,,,,0.7634534239768982,,,,,
4,4739,,,,,,1.524268627166748,,,,,
4,4759,,,,,,0.8985570669174194,,,,,
4,4779,,,,,,1.091073989868164,,,,,
4,4799,,,,,,1.2533820867538452,,,,,
4,4819,,,,,,0.738365650177002,,,,,
4,4839,,,,,,0.9838007688522339,,,,,
4,4859,,,,,,0.8939958214759827,,,,,
4,4879,,,,,,0.8095537424087524,,,,,
