epoch,latent/centroid_cos_sim,latent/fisher_ratio,latent/intra_class_var,latent/knn_acc,latent/silhouette,lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/micro_precision,test/recall,train/acc,train/cons_epoch,train/cons_lam_epoch,train/cons_lam_step,train/cons_step,train/loss_epoch,train/loss_step,train/supcon_epoch,train/supcon_step,val/acc,val/auroc,val/f1,val/f1_p_score,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,,,,,,5.9999999999999995e-05,5.9999999999999995e-05,6e-06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,19,,,,,,,,,,,,0.03792908787727356,0.006550283636897802,,1.4091529846191406,,4.163084030151367,,,,,,,,,,,,,
0,,,,,,,,,39,,,,,,,,,,,,0.03792908787727356,0.008988654240965843,,1.2948479652404785,,4.221451759338379,,,,,,,,,,,,,
0,,,,,,,,,59,,,,,,,,,,,,0.03792908787727356,0.013805710710585117,,1.2373106479644775,,4.195517539978027,,,,,,,,,,,,,
0,,,,,,,,,79,,,,,,,,,,,,0.03792908787727356,0.015162479132413864,,1.2320926189422607,,4.213973522186279,,,,,,,,,,,,,
0,,,,,,,,,99,,,,,,,,,,,,0.03792908787727356,0.015613277442753315,,1.0577940940856934,,4.087198257446289,,,,,,,,,,,,,
0,,,,,,,,,119,,,,,,,,,,,,0.03792908787727356,0.01832025870680809,,1.2190860509872437,,4.182173728942871,,,,,,,,,,,,,
0,,,,,,,,,139,,,,,,,,,,,,0.03792908787727356,0.029721342027187347,,1.4762300252914429,,4.1483917236328125,,,,,,,,,,,,,
0,,,,,,,,,159,,,,,,,,,,,,0.03792908787727356,0.026044806465506554,,1.4125542640686035,,4.140198230743408,,,,,,,,,,,,,
0,,,,,,,,,179,,,,,,,,,,,,0.03792908787727356,0.027494750916957855,,1.087402582168579,,4.1884446144104,,,,,,,,,,,,,
0,,,,,,,,,199,,,,,,,,,,,,0.03792908787727356,0.03635993227362633,,0.8987128138542175,,4.198878288269043,,,,,,,,,,,,,
0,,,,,,,,,219,,,,,,,,,,,,0.03792908787727356,0.030036933720111847,,1.0676711797714233,,4.050836563110352,,,,,,,,,,,,,
0,,,,,,,,,239,,,,,,,,,,,,0.03792908787727356,0.03230416029691696,,1.2296581268310547,,4.094975471496582,,,,,,,,,,,,,
0,,,,,,,,,259,,,,,,,,,,,,0.03792908787727356,0.03599826619029045,,0.9462299346923828,,4.177553653717041,,,,,,,,,,,,,
0,,,,,,,,,279,,,,,,,,,,,,0.03792908787727356,0.032246947288513184,,1.0121181011199951,,4.080020427703857,,,,,,,,,,,,,
0,,,,,,,,,299,,,,,,,,,,,,0.03792908787727356,0.03737323358654976,,0.9664276838302612,,4.180533409118652,,,,,,,,,,,,,
