epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/loss,val/macro_precision,val/mcc,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,2.9999999999999997e-05,2.9999999999999997e-05,0,,,,,,,,,,,,,,
0,,,19,,,1.4075373411178589,,,,,,,,,,,
0,,,39,,,1.3496781587600708,,,,,,,,,,,
0,,,59,,,1.2407397031784058,,,,,,,,,,,
0,,,79,,,1.346971035003662,,,,,,,,,,,
0,,,99,,,1.1221508979797363,,,,,,,,,,,
0,,,119,,,1.0816885232925415,,,,,,,,,,,
0,,,139,,,1.0412083864212036,,,,,,,,,,,
0,,,159,,,1.025644302368164,,,,,,,,,,,
0,,,179,,,0.8882569670677185,,,,,,,,,,,
0,,,199,,,0.7700163125991821,,,,,,,,,,,
0,,,219,,,1.1473196744918823,,,,,,,,,,,
0,,,239,,,1.0764074325561523,,,,,,,,,,,
0,,,259,,,0.9015344977378845,,,,,,,,,,,
0,,,279,,,1.0574921369552612,,,,,,,,,,,
0,,,299,,,0.7173056602478027,,,,,,,,,,,
0,,,319,,,0.990398108959198,,,,,,,,,,,
0,,,339,,,0.7009149193763733,,,,,,,,,,,
0,,,359,,,0.9756749868392944,,,,,,,,,,,
0,,,379,,,0.6489516496658325,,,,,,,,,,,
0,,,399,,,0.7465460300445557,,,,,,,,,,,
0,,,419,,,0.9042984247207642,,,,,,,,,,,
0,,,439,,,0.8642362952232361,,,,,,,,,,,
0,,,459,,,0.8049554228782654,,,,,,,,,,,
0,,,479,,,0.9001157879829407,,,,,,,,,,,
0,,,499,,,0.7675116062164307,,,,,,,,,,,
0,,,519,,,0.8231042623519897,,,,,,,,,,,
0,,,539,,,0.678036630153656,,,,,,,,,,,
0,,,559,,,0.7772871255874634,,,,,,,,,,,
0,,,579,,,0.9093189239501953,,,,,,,,,,,
0,,,599,,,0.8226211071014404,,,,,,,,,,,
0,,,619,,,0.8353716135025024,,,,,,,,,,,
0,,,639,,,0.6928394436836243,,,,,,,,,,,
0,,,659,,,0.6506924629211426,,,,,,,,,,,
0,,,679,,,0.615206241607666,,,,,,,,,,,
0,,,699,,,0.6735670566558838,,,,,,,,,,,
0,,,719,,,0.7678475975990295,,,,,,,,,,,
0,,,739,,,0.8421741724014282,,,,,,,,,,,
0,,,759,,,0.7143058776855469,,,,,,,,,,,
0,,,779,,,0.6851469278335571,,,,,,,,,,,
0,,,799,,,0.623119592666626,,,,,,,,,,,
0,,,819,,,0.6875420212745667,,,,,,,,,,,
0,,,839,,,0.9587646722793579,,,,,,,,,,,
0,,,859,,,0.6615136861801147,,,,,,,,,,,
0,,,879,,,0.6269556283950806,,,,,,,,,,,
0,,,899,,,0.7172634601593018,,,,,,,,,,,
0,,,919,,,0.5296726226806641,,,,,,,,,,,
0,,,939,,,0.6827872395515442,,,,,,,,,,,
0,,,959,,,0.8096225261688232,,,,,,,,,,,
0,,,979,,,0.650667130947113,,,,,,,,,,,
0,,,999,,,0.6404122114181519,,,,,,,,,,,
0,,,1019,,,0.5954487323760986,,,,,,,,,,,
0,,,1039,,,0.7492590546607971,,,,,,,,,,,
0,,,1059,,,0.7570666074752808,,,,,,,,,,,
0,,,1079,,,0.6059726476669312,,,,,,,,,,,
0,,,1099,,,0.7418779134750366,,,,,,,,,,,
0,,,1119,,,0.620808482170105,,,,,,,,,,,
0,,,1139,,,0.4886924624443054,,,,,,,,,,,
0,,,1159,,,0.6187624931335449,,,,,,,,,,,
