epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/bt_loss_epoch,train/bt_loss_step,train/off_diag_epoch,train/off_diag_step,train/on_diag_epoch,train/on_diag_step,val/bt_loss,val/off_diag,val/on_diag
,2.9999999999999997e-05,2.9999999999999997e-05,0,,,,,,,,,
0,,,19,,1342.791015625,,124816.0859375,,718.7105102539062,,,
0,,,39,,923.0977783203125,,131800.375,,264.095947265625,,,
0,,,59,,1181.1884765625,,116469.6484375,,598.84033203125,,,
0,,,79,,848.1868896484375,,125575.0390625,,220.31170654296875,,,
0,,,99,,756.4183349609375,,118404.0546875,,164.39808654785156,,,
0,,,119,,819.5689697265625,,101503.1484375,,312.05328369140625,,,
0,,,139,,735.6981811523438,,104492.234375,,213.2369842529297,,,
0,,,159,,620.8256225585938,,110321.125,,69.22004699707031,,,
0,,,179,,648.298828125,,116759.8125,,64.49977111816406,,,
0,,,199,,576.2578125,,98758.34375,,82.46612548828125,,,
0,,,219,,604.7811279296875,,110990.6796875,,49.827789306640625,,,
0,,,239,,555.6972045898438,,105463.0234375,,28.382095336914062,,,
0,,,259,,601.5585327148438,,107794.609375,,62.58552551269531,,,
0,,,279,,575.7728881835938,,103043.640625,,60.55467224121094,,,
0,,,299,,888.2286376953125,,98690.6015625,,394.775634765625,,,
0,,,319,,616.0493774414062,,94679.234375,,142.6532440185547,,,
0,,,339,,562.3364868164062,,102192.8515625,,51.37223815917969,,,
0,,,359,,537.5723266601562,,94295.859375,,66.09304809570312,,,
0,,,379,,602.8619384765625,,96990.28125,,117.91056823730469,,,
0,,,399,,579.185546875,,95458.34375,,101.89385986328125,,,
0,,,419,,553.9327392578125,,102005.0078125,,43.90769958496094,,,
0,,,439,,529.445556640625,,97399.625,,42.44744873046875,,,
0,,,459,,505.0242919921875,,96125.765625,,24.395462036132812,,,
0,,,479,,768.5935668945312,,97370.03125,,281.743408203125,,,
0,,,499,,707.8861083984375,,89343.03125,,261.17095947265625,,,
0,,,519,,734.687255859375,,93349.140625,,267.9415283203125,,,
0,,,539,,624.0256958007812,,93255.8515625,,157.74647521972656,,,
0,,,559,,502.1983642578125,,95201.578125,,26.19049072265625,,,
0,,,579,,532.5472412109375,,91791.09375,,73.59176635742188,,,
0,,,599,,508.67242431640625,,92655.6640625,,45.39411926269531,,,
0,,,619,,524.862548828125,,94359.203125,,53.06654357910156,,,
0,,,639,,538.7012939453125,,85653.53125,,110.43367004394531,,,
0,,,659,,477.71710205078125,,90256.8359375,,26.432937622070312,,,
0,,,679,,464.6309814453125,,90816.6953125,,10.547515869140625,,,
0,,,699,,951.1036376953125,,83772.875,,532.2392578125,,,
0,,,719,,479.09136962890625,,89305.1875,,32.5654296875,,,
0,,,739,,490.30596923828125,,94528.8203125,,17.661865234375,,,
0,,,759,,459.83367919921875,,91049.453125,,4.5864410400390625,,,
0,,,779,,502.9912109375,,85352.09375,,76.23072814941406,,,
0,,,799,,531.6484375,,90134.15625,,80.97767639160156,,,
0,,,819,,463.621337890625,,91653.9296875,,5.3516998291015625,,,
0,,,839,,489.390380859375,,86334.4921875,,57.717926025390625,,,
0,,,859,,496.99639892578125,,84112.796875,,76.43244934082031,,,
0,,,879,,558.051025390625,,80940.421875,,153.34896850585938,,,
0,,,899,,480.49810791015625,,92816.8125,,16.414047241210938,,,
0,,,919,,458.4992370605469,,84573.8359375,,35.63006591796875,,,
0,,,939,,453.40594482421875,,86144.203125,,22.684951782226562,,,
0,,,959,,475.9803466796875,,86535.1875,,43.30442810058594,,,
0,,,979,,473.77215576171875,,86057.09375,,43.4866943359375,,,
0,,,999,,485.10723876953125,,87198.5,,49.11474609375,,,
0,,,1019,,444.1031494140625,,86778.3671875,,10.211349487304688,,,
0,,,1039,,618.70556640625,,84876.71875,,194.32196044921875,,,
0,,,1059,,484.5628967285156,,86687.75,,51.1241455078125,,,
0,,,1079,,652.6600952148438,,82512.3203125,,240.09852600097656,,,
0,,,1099,,433.90118408203125,,82875.703125,,19.522674560546875,,,
0,,,1119,,593.304443359375,,79510.625,,195.75131225585938,,,
0,,,1139,,426.15924072265625,,84198.2109375,,5.168182373046875,,,
0,,,1159,,428.98724365234375,,84199.53125,,7.9895782470703125,,,
