epoch,latent/centroid_cos_sim,latent/fisher_ratio,latent/intra_class_var,latent/knn_acc,latent/silhouette,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/loss,test/macro_precision,test/mcc,test/micro_precision,test/recall,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/f1_p_score,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
,,,,,,3.75e-05,3.75e-05,0,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,19,,,,,,,,,,,0.5826526880264282,,,,,,,,,,,,,
0,0.9890957474708557,0.08183252811431885,16.491735458374023,0.7080000042915344,-0.1224961131811142,,,30,,,,,,,,,,,,0.2607865631580353,0.6327210068702698,0.06923161447048187,0.15680795907974243,0.8698291182518005,0.24438431859016418,0.06826845556497574,0.11739438772201538,0.870090663433075,0.0,0.0,0.1074465960264206,0.2607865631580353
0,,,,,,,,30,,,,,,,,,0.4436538815498352,0.604607105255127,,,,,,,,,,,,,,
,,,,,,7.5e-05,7.5e-05,31,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,39,,,,,,,,,,,0.5629217028617859,,,,,,,,,,,,,
1,,,,,,,,59,,,,,,,,,,,0.39564642310142517,,,,,,,,,,,,,
1,0.6710012555122375,0.26054492592811584,121.99600982666016,0.7099999785423279,-0.02569609507918358,,,61,,,,,,,,,,,,0.5091819763183594,0.7517596483230591,0.44538193941116333,0.4713997542858124,0.572475254535675,0.4974175691604614,0.327698290348053,0.46238571405410767,0.4730561077594757,0.5607847571372986,0.7344234585762024,0.22140592336654663,0.5091819763183594
1,,,,,,,,61,,,,,,,,,0.6061277985572815,0.4576015770435333,,,,,,,,,,,,,,
,,,,,,0.0001125,0.0001125,62,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,79,,,,,,,,,,,0.3963339328765869,,,,,,,,,,,,,
2,0.59434974193573,0.29652950167655945,130.70806884765625,0.7229999899864197,0.00406504375860095,,,92,,,,,,,,,,,,0.5193878412246704,0.7898744344711304,0.45889812707901,0.48789212107658386,0.5011141896247864,0.5168861150741577,0.3250178098678589,0.46518364548683167,0.3822241425514221,0.6967453360557556,0.7366625070571899,0.25191229581832886,0.5193878412246704
2,,,,,,,,92,,,,,,,,,0.6688408255577087,0.3643264174461365,,,,,,,,,,,,,,
,,,,,,0.00015,0.00015,93,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,99,,,,,,,,,,,0.26478853821754456,,,,,,,,,,,,,
3,,,,,,,,119,,,,,,,,,,,0.31112945079803467,,,,,,,,,,,,,
3,0.653349757194519,0.2583320140838623,126.5102310180664,0.7170000076293945,0.033416688442230225,,,123,,,,,,,,,,,,0.6049154996871948,0.8384215831756592,0.5559846758842468,0.5831530094146729,0.4397329092025757,0.6103212833404541,0.45584577322006226,0.5859670639038086,0.5763649344444275,0.870373547077179,0.624767541885376,0.36977919936180115,0.6049154996871948
3,,,,,,,,123,,,,,,,,,0.7090446949005127,0.31915560364723206,,,,,,,,,,,,,,
,,,,,,0.00018749999999999998,0.00018749999999999998,124,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,139,,,,,,,,,,,0.22265216708183289,,,,,,,,,,,,,
