epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train/acc,train/loss_epoch,train/loss_step,val/acc,val/auroc,val/f1,val/loss,val/macro_precision,val/mcc,val/micro_precision,val/precision_c0,val/precision_c1,val/precision_c2,val/precision_c3,val/recall
8,,,1034,,,,0.5880624651908875,0.837689220905304,0.547019898891449,0.7130839824676514,0.6031598448753357,0.44268789887428284,0.5842331051826477,0.8258500695228577,0.5672743320465088,0.6339837312698364,0.38553130626678467,0.5880624651908875
8,,,1034,0.6794050931930542,0.525566577911377,,,,,,,,,,,,,
,0.0002997263331334976,0.0002997263331334976,1035,,,,,,,,,,,,,,,
9,,,1039,,,0.28557515144348145,,,,,,,,,,,,
9,,,1059,,,0.638887882232666,,,,,,,,,,,,
9,,,1079,,,0.6069945096969604,,,,,,,,,,,,
9,,,1099,,,0.2858615219593048,,,,,,,,,,,,
9,,,1119,,,0.6372437477111816,,,,,,,,,,,,
9,,,1139,,,0.3439697027206421,,,,,,,,,,,,
9,,,1149,,,,0.5912288427352905,0.8381582498550415,0.5389987230300903,0.7595601081848145,0.5869807004928589,0.429195761680603,0.5584016442298889,0.7652312517166138,0.5702399611473083,0.7195897102355957,0.29286184906959534,0.5912288427352905
9,,,1149,0.7050822973251343,0.48678579926490784,,,,,,,,,,,,,
,0.00029890633111470807,0.00029890633111470807,1150,,,,,,,,,,,,,,,
10,,,1159,,,0.542295515537262,,,,,,,,,,,,
10,,,1179,,,0.3051564693450928,,,,,,,,,,,,
10,,,1199,,,0.2660452723503113,,,,,,,,,,,,
10,,,1219,,,0.235395610332489,,,,,,,,,,,,
10,,,1239,,,0.6193316578865051,,,,,,,,,,,,
10,,,1259,,,0.344373494386673,,,,,,,,,,,,
10,,,1264,,,,0.6028764247894287,0.8447864055633545,0.569884181022644,0.6923647522926331,0.6406775712966919,0.48746171593666077,0.6189903616905212,0.8874001502990723,0.611117422580719,0.6645487546920776,0.399644136428833,0.6028764247894287
10,,,1264,0.7094991207122803,0.48270174860954285,,,,,,,,,,,,,
,0.00029754298604207154,0.00029754298604207154,1265,,,,,,,,,,,,,,,
11,,,1279,,,0.2635567784309387,,,,,,,,,,,,
11,,,1299,,,0.4429593086242676,,,,,,,,,,,,
11,,,1319,,,0.30608290433883667,,,,,,,,,,,,
11,,,1339,,,0.833918571472168,,,,,,,,,,,,
11,,,1359,,,0.29194968938827515,,,,,,,,,,,,
11,,,1379,,,0.16865023970603943,,,,,,,,,,,,
11,,,1379,,,,0.5670077800750732,0.7977475523948669,0.525492787361145,0.9188053011894226,0.5541386604309082,0.4061048626899719,0.5598596930503845,0.6582229733467102,0.5444679856300354,0.6328731179237366,0.38099074363708496,0.5670077800750732
11,,,1379,0.7277704477310181,0.45789486169815063,,,,,,,,,,,,,
,0.00029564127261390776,0.00029564127261390776,1380,,,,,,,,,,,,,,,
12,,,1399,,,0.14089497923851013,,,,,,,,,,,,
12,,,1419,,,0.16890083253383636,,,,,,,,,,,,
12,,,1439,,,0.31070616841316223,,,,,,,,,,,,
12,,,1459,,,0.7198407649993896,,,,,,,,,,,,
12,,,1479,,,0.14680999517440796,,,,,,,,,,,,
12,,,1494,,,,0.5548940300941467,0.8430619835853577,0.5559433698654175,0.8388829827308655,0.6177800893783569,0.42836034297943115,0.5740266442298889,0.42942944169044495,0.7707791328430176,0.6862852573394775,0.5846267342567444,0.5548940300941467
12,,,1494,0.7541224360466003,0.41462504863739014,,,,,,,,,,,,,
,0.0002932081299762818,0.0002932081299762818,1495,,,,,,,,,,,,,,,
13,,,1499,,,0.4025079011917114,,,,,,,,,,,,
13,,,1519,,,0.6240754723548889,,,,,,,,,,,,
13,,,1539,,,0.22069044411182404,,,,,,,,,,,,
13,,,1559,,,0.14613443613052368,,,,,,,,,,,,
13,,,1579,,,0.14880125224590302,,,,,,,,,,,,
13,,,1599,,,0.16673791408538818,,,,,,,,,,,,
13,,,1609,,,,0.5011564493179321,0.8346560597419739,0.4972212314605713,0.9963381886482239,0.6050330996513367,0.4034477472305298,0.5583425164222717,0.4194616675376892,0.6275169849395752,0.7694811224937439,0.6036725044250488,0.5011564493179321
13,,,1609,0.7626073956489563,0.39960628747940063,,,,,,,,,,,,,
,0.00029025243640281223,0.00029025243640281223,1610,,,,,,,,,,,,,,,
14,,,1619,,,0.4326667785644531,,,,,,,,,,,,
14,,,1639,,,0.4733600914478302,,,,,,,,,,,,
14,,,1659,,,0.4932135343551636,,,,,,,,,,,,
14,,,1679,,,0.14367330074310303,,,,,,,,,,,,
14,,,1699,,,0.35313329100608826,,,,,,,,,,,,
14,,,1719,,,0.3712416887283325,,,,,,,,,,,,
14,,,1724,,,,0.5666447877883911,0.8056387305259705,0.5106775760650635,0.9608917832374573,0.580895185470581,0.40025094151496887,0.5422840714454651,0.791144073009491,0.5019236207008362,0.7113317251205444,0.3191814422607422,0.5666447877883911
14,,,1724,0.7883096933364868,0.359855592250824,,,,,,,,,,,,,
,0.0002867849768988135,0.0002867849768988135,1725,,,,,,,,,,,,,,,
15,,,1739,,,0.26624956727027893,,,,,,,,,,,,
15,,,1759,,,0.33405253291130066,,,,,,,,,,,,
15,,,1779,,,0.8488438725471497,,,,,,,,,,,,
15,,,1799,,,0.708427906036377,,,,,,,,,,,,
15,,,1819,,,0.22075392305850983,,,,,,,,,,,,
15,,,1839,,,0.811259925365448,,,,,,,,,,,,
15,,,1839,,,,0.5782859921455383,0.8206732273101807,0.5115380883216858,1.065142035484314,0.6259182095527649,0.42748770117759705,0.5544018149375916,0.932788074016571,0.5881272554397583,0.6976080536842346,0.28514954447746277,0.5782859921455383
15,,,1839,0.7752591371536255,0.3814261853694916,,,,,,,,,,,,,
,0.0002828184038479814,0.0002828184038479814,1840,,,,,,,,,,,,,,,
16,,,1859,,,0.37784242630004883,,,,,,,,,,,,
16,,,1879,,,0.2899627387523651,,,,,,,,,,,,
16,,,1899,,,0.5960453748703003,,,,,,,,,,,,
16,,,1919,,,0.875247061252594,,,,,,,,,,,,
16,,,1939,,,0.46040380001068115,,,,,,,,,,,,
16,,,1954,,,,0.5933842658996582,0.8326744437217712,0.5433596968650818,0.9163168668746948,0.5847271680831909,0.4390234053134918,0.5753664970397949,0.7364688515663147,0.5872858762741089,0.6806731820106506,0.33448082208633423,0.5933842658996582
16,,,1954,0.7876036167144775,0.3618625998497009,,,,,,,,,,,,,
,0.0002783671908452171,0.0002783671908452171,1955,,,,,,,,,,,,,,,
17,,,1959,,,0.5580369234085083,,,,,,,,,,,,
17,,,1979,,,0.21577170491218567,,,,,,,,,,,,
17,,,1999,,,0.8554283380508423,,,,,,,,,,,,
17,,,2019,,,0.09780901670455933,,,,,,,,,,,,
17,,,2039,,,0.11380552500486374,,,,,,,,,,,,
17,,,2059,,,0.08088071644306183,,,,,,,,,,,,
17,,,2069,,,,0.5443031787872314,0.7894312143325806,0.4951070547103882,1.2082878351211548,0.5628008246421814,0.3542238473892212,0.5029358267784119,0.7172304391860962,0.4170532822608948,0.7830886244773865,0.33383092284202576,0.5443031787872314
17,,,2069,0.7997034192085266,0.33983147144317627,,,,,,,,,,,,,
,0.00027344757988404845,0.00027344757988404845,2070,,,,,,,,,,,,,,,
18,,,2079,,,0.42238837480545044,,,,,,,,,,,,
18,,,2099,,,0.07934193313121796,,,,,,,,,,,,
18,,,2119,,,0.697750449180603,,,,,,,,,,,,
18,,,2139,,,0.5150575637817383,,,,,,,,,,,,
18,,,2159,,,0.08528681844472885,,,,,,,,,,,,
18,,,2179,,,0.3634842038154602,,,,,,,,,,,,
18,,,2184,,,,0.6264500617980957,0.8679178953170776,0.5867164134979248,0.8027760982513428,0.6429630517959595,0.4956713020801544,0.6170988082885742,0.6635345220565796,0.8815330862998962,0.6123591065406799,0.4144255518913269,0.6264500617980957
18,,,2184,0.7969257235527039,0.34604611992836,,,,,,,,,,,,,
,0.0002680775220913575,0.0002680775220913575,2185,,,,,,,,,,,,,,,
19,,,2199,,,0.3385027050971985,,,,,,,,,,,,
19,,,2219,,,0.08441124856472015,,,,,,,,,,,,
19,,,2239,,,0.4114527106285095,,,,,,,,,,,,
19,,,2259,,,0.40813034772872925,,,,,,,,,,,,
19,,,2279,,,0.26354703307151794,,,,,,,,,,,,
19,,,2299,,,0.10711709409952164,,,,,,,,,,,,
19,,,2299,,,,0.5159967541694641,0.8246452808380127,0.515716552734375,1.3772543668746948,0.6511309146881104,0.4074554443359375,0.5384418368339539,0.770018994808197,0.422099232673645,0.7997313141822815,0.6126741170883179,0.5159967541694641
19,,,2299,0.7896814346313477,0.34830719232559204,,,,,,,,,,,,,
,0.00026227661222566516,0.00026227661222566516,2300,,,,,,,,,,,,,,,
20,,,2319,,,0.41793692111968994,,,,,,,,,,,,
20,,,2339,,,0.12603351473808289,,,,,,,,,,,,
20,,,2359,,,0.8185888528823853,,,,,,,,,,,,
20,,,2379,,,0.47003763914108276,,,,,,,,,,,,
20,,,2399,,,0.035364262759685516,,,,,,,,,,,,
20,,,2414,,,,0.5982083082199097,0.8304532170295715,0.5642451047897339,0.988415539264679,0.5739895105361938,0.4449072480201721,0.5884891152381897,0.6455192565917969,0.6153178811073303,0.6558783054351807,0.3792426884174347,0.5982083082199097
20,,,2414,0.8011984825134277,0.3284592032432556,,,,,,,,,,,,,
,0.00025606601717798207,0.00025606601717798207,2415,,,,,,,,,,,,,,,
21,,,2419,,,0.3242836594581604,,,,,,,,,,,,
21,,,2439,,,0.7921983599662781,,,,,,,,,,,,
21,,,2459,,,0.5120716094970703,,,,,,,,,,,,
21,,,2479,,,0.2992137670516968,,,,,,,,,,,,
21,,,2499,,,0.24036234617233276,,,,,,,,,,,,
21,,,2519,,,0.06722047924995422,,,,,,,,,,,,
21,,,2529,,,,0.5907841920852661,0.829291582107544,0.5608295798301697,1.1255443096160889,0.5939159393310547,0.43395036458969116,0.5761152505874634,0.7409226298332214,0.5019723176956177,0.7296918630599976,0.4030769169330597,0.5907841920852661
21,,,2529,0.8103487491607666,0.3141908347606659,,,,,,,,,,,,,
,0.00024946839873611924,0.00024946839873611924,2530,,,,,,,,,,,,,,,
22,,,2539,,,0.6598653197288513,,,,,,,,,,,,
22,,,2559,,,0.45681366324424744,,,,,,,,,,,,
22,,,2579,,,0.029533494263887405,,,,,,,,,,,,
22,,,2599,,,0.5874238014221191,,,,,,,,,,,,
22,,,2619,,,0.07043574750423431,,,,,,,,,,,,
22,,,2639,,,0.596258282661438,,,,,,,,,,,,
22,,,2644,,,,0.6100548505783081,0.8572556376457214,0.5989387035369873,0.874009370803833,0.6219911575317383,0.48103976249694824,0.6137689352035522,0.6225360035896301,0.5418398380279541,0.8068711757659912,0.516717791557312,0.6100548505783081
22,,,2644,0.8142367601394653,0.30763500928878784,,,,,,,,,,,,,
,0.00024250783089428148,0.00024250783089428148,2645,,,,,,,,,,,,,,,
23,,,2659,,,0.3755672574043274,,,,,,,,,,,,
23,,,2679,,,0.1451408863067627,,,,,,,,,,,,
23,,,2699,,,0.6806516647338867,,,,,,,,,,,,
23,,,2719,,,0.04798084497451782,,,,,,,,,,,,
23,,,2739,,,0.06967547535896301,,,,,,,,,,,,
23,,,2759,,,0.3702320158481598,,,,,,,,,,,,
23,,,2759,,,,0.5806280970573425,0.8522684574127197,0.5937166810035706,0.8205451965332031,0.6370058655738831,0.48438405990600586,0.6328814625740051,0.5491939187049866,0.6612698435783386,0.674795389175415,0.6627643704414368,0.5806280970573425
23,,,2759,0.8285278677940369,0.2813622057437897,,,,,,,,,,,,,
,0.00023520971200967334,0.00023520971200967334,2760,,,,,,,,,,,,,,,
24,,,2779,,,0.47517526149749756,,,,,,,,,,,,
24,,,2799,,,0.3266814947128296,,,,,,,,,,,,
24,,,2819,,,0.4464247226715088,,,,,,,,,,,,
24,,,2839,,,0.4628167152404785,,,,,,,,,,,,
24,,,2859,,,0.07150527089834213,,,,,,,,,,,,
24,,,2874,,,,0.5686981081962585,0.8441086411476135,0.5784938335418701,1.0112147331237793,0.6336612105369568,0.46479058265686035,0.6118576526641846,0.5369064211845398,0.5673531889915466,0.7546798586845398,0.6757053732872009,0.5686981081962585
24,,,2874,0.8100374937057495,0.3087863326072693,,,,,,,,,,,,,
,0.0002276006721266485,0.0002276006721266485,2875,,,,,,,,,,,,,,,
25,,,2879,,,0.4673532545566559,,,,,,,,,,,,
25,,,2899,,,0.3595811128616333,,,,,,,,,,,,
25,,,2919,,,0.047559481114149094,,,,,,,,,,,,
25,,,2939,,,0.008898401632905006,,,,,,,,,,,,
25,,,2959,,,0.6693453788757324,,,,,,,,,,,,
25,,,2979,,,0.04474148899316788,,,,,,,,,,,,
25,,,2989,,,,0.6427704095840454,0.8553081750869751,0.6148157119750977,0.8459019064903259,0.619092583656311,0.5108626484870911,0.6398171782493591,0.6661576628684998,0.6874913573265076,0.6914746165275574,0.4312465488910675,0.6427704095840454
25,,,2989,0.8310883045196533,0.2758127450942993,,,,,,,,,,,,,
,0.00021970847580656525,0.00021970847580656525,2990,,,,,,,,,,,,,,,
26,,,2999,,,0.4048082232475281,,,,,,,,,,,,
26,,,3019,,,0.02804761379957199,,,,,,,,,,,,
26,,,3039,,,0.4785594940185547,,,,,,,,,,,,
26,,,3059,,,0.4538934826850891,,,,,,,,,,,,
26,,,3079,,,0.7410717010498047,,,,,,,,,,,,
26,,,3099,,,0.11843784153461456,,,,,,,,,,,,
26,,,3104,,,,0.5535089373588562,0.8265505433082581,0.5534905791282654,1.3274295330047607,0.6154712438583374,0.41797566413879395,0.5619680285453796,0.40419137477874756,0.7528517246246338,0.7215640544891357,0.5832777619361877,0.5535089373588562
26,,,3104,0.8496106266975403,0.24391335248947144,,,,,,,,,,,,,
,0.0002115619208179135,0.0002115619208179135,3105,,,,,,,,,,,,,,,
27,,,3119,,,0.6117221117019653,,,,,,,,,,,,
27,,,3139,,,0.5711785554885864,,,,,,,,,,,,
27,,,3159,,,0.02401796355843544,,,,,,,,,,,,
27,,,3179,,,0.2610117197036743,,,,,,,,,,,,
27,,,3199,,,0.06201824173331261,,,,,,,,,,,,
27,,,3219,,,0.048032794147729874,,,,,,,,,,,,
27,,,3219,,,,0.606381893157959,0.8434766530990601,0.5981588363647461,0.9018213152885437,0.593036413192749,0.47301819920539856,0.6182416677474976,0.5881456732749939,0.6103982329368591,0.7093589901924133,0.4642426073551178,0.606381893157959
27,,,3219,0.8792420029640198,0.19988450407981873,,,,,,,,,,,,,
,0.0002031907330563803,0.0002031907330563803,3220,,,,,,,,,,,,,,,
28,,,3239,,,0.12977060675621033,,,,,,,,,,,,
28,,,3259,,,0.6339082717895508,,,,,,,,,,,,
28,,,3279,,,0.5143914222717285,,,,,,,,,,,,
28,,,3299,,,0.38950973749160767,,,,,,,,,,,,
28,,,3319,,,0.6764363646507263,,,,,,,,,,,,
28,,,3334,,,,0.5108993053436279,0.8374843001365662,0.5143954753875732,1.5762758255004883,0.6583855152130127,0.42655616998672485,0.5634654760360718,0.6444390416145325,0.45837780833244324,0.795447587966919,0.7352775931358337,0.5108993053436279
28,,,3334,0.846864640712738,0.2512872815132141,,,,,,,,,,,,,
,0.00019462545807828044,0.00019462545807828044,3335,,,,,,,,,,,,,,,
29,,,3339,,,0.02671169489622116,,,,,,,,,,,,
29,,,3359,,,0.04349776357412338,,,,,,,,,,,,
29,,,3379,,,0.3150584101676941,,,,,,,,,,,,
29,,,3399,,,0.299375057220459,,,,,,,,,,,,
29,,,3419,,,0.20977014303207397,,,,,,,,,,,,
29,,,3439,,,0.4845505356788635,,,,,,,,,,,,
29,,,3449,,,,0.6408734321594238,0.8657963275909424,0.6148879528045654,0.8272678852081299,0.6160886287689209,0.5063778758049011,0.636053740978241,0.6597439050674438,0.629753053188324,0.7440623044967651,0.43079525232315063,0.6408734321594238
29,,,3449,0.8442984819412231,0.25183969736099243,,,,,,,,,,,,,
,0.00018589734964313365,0.00018589734964313365,3450,,,,,,,,,,,,,,,
30,,,3459,,,0.01826985366642475,,,,,,,,,,,,
30,,,3479,,,0.23429811000823975,,,,,,,,,,,,
30,,,3499,,,0.2877458930015564,,,,,,,,,,,,
30,,,3519,,,0.5625251531600952,,,,,,,,,,,,
30,,,3539,,,0.05409270152449608,,,,,,,,,,,,
30,,,3559,,,0.04715107008814812,,,,,,,,,,,,
30,,,3564,,,,0.6204310655593872,0.8567793369293213,0.6166257858276367,0.8401644229888916,0.6446394920349121,0.5079626441001892,0.6402112245559692,0.6900011897087097,0.730812668800354,0.600547194480896,0.557196855545044,0.6204310655593872
30,,,3564,0.8430690169334412,0.24780122935771942,,,,,,,,,,,,,
,0.00017703825567208587,0.00017703825567208587,3565,,,,,,,,,,,,,,,
31,,,3579,,,0.020768098533153534,,,,,,,,,,,,
31,,,3599,,,0.6508021950721741,,,,,,,,,,,,
31,,,3619,,,0.25902217626571655,,,,,,,,,,,,
31,,,3639,,,0.029698200523853302,,,,,,,,,,,,
31,,,3659,,,0.016248667612671852,,,,,,,,,,,,
31,,,3679,,,0.044320154935121536,,,,,,,,,,,,
31,,,3679,,,,0.6333951950073242,0.857099711894989,0.6157628297805786,1.0385910272598267,0.6293059587478638,0.504798948764801,0.6356793642044067,0.7224832773208618,0.5717518925666809,0.7481306195259094,0.4748581349849701,0.6333951950073242
31,,,3679,0.8516082167625427,0.2333279252052307,,,,,,,,,,,,,
,0.00016808050203829842,0.00016808050203829842,3680,,,,,,,,,,,,,,,
32,,,3699,,,0.4588649868965149,,,,,,,,,,,,
32,,,3719,,,0.04159161448478699,,,,,,,,,,,,
32,,,3739,,,0.31518396735191345,,,,,,,,,,,,
32,,,3759,,,0.07114636898040771,,,,,,,,,,,,
32,,,3779,,,0.03218974173069,,,,,,,,,,,,
32,,,3794,,,,0.4934411644935608,0.8009386658668518,0.4914979040622711,2.081209182739258,0.5998201966285706,0.3602938950061798,0.519408106803894,0.41259023547172546,0.5218074917793274,0.8500069975852966,0.6148760318756104,0.4934411644935608
32,,,3794,0.8656219244003296,0.2188124656677246,,,,,,,,,,,,,
,0.0001590567746133429,0.0001590567746133429,3795,,,,,,,,,,,,,,,
33,,,3799,,,0.5778841972351074,,,,,,,,,,,,
33,,,3819,,,0.6715089678764343,,,,,,,,,,,,
33,,,3839,,,0.25703778862953186,,,,,,,,,,,,
33,,,3859,,,0.00763663649559021,,,,,,,,,,,,
33,,,3879,,,0.005766487214714289,,,,,,,,,,,,
33,,,3899,,,0.01947328820824623,,,,,,,,,,,,
33,,,3909,,,,0.5634260773658752,0.8522968888282776,0.5769990682601929,1.0402863025665283,0.6426449418067932,0.4584376811981201,0.6064391732215881,0.46356135606765747,0.652900755405426,0.7464818954467773,0.707635760307312,0.5634260773658752
33,,,3909,0.866010308265686,0.21334873139858246,,,,,,,,,,,,,
,0.00015,0.00015,3910,,,,,,,,,,,,,,,
34,,,3919,,,0.3656572997570038,,,,,,,,,,,,
34,,,3939,,,0.04355379566550255,,,,,,,,,,,,
34,,,3959,,,0.02323293685913086,,,,,,,,,,,,
34,,,3979,,,0.4338715970516205,,,,,,,,,,,,
34,,,3999,,,0.005480314139276743,,,,,,,,,,,,
34,,,4019,,,0.03352087363600731,,,,,,,,,,,,
34,,,4024,,,,0.5823408961296082,0.8148823976516724,0.5294607281684875,1.3661353588104248,0.6044057607650757,0.4215694069862366,0.5573770403862,0.8243045210838318,0.5041956305503845,0.7426193952560425,0.3465035557746887,0.5823408961296082
34,,,4024,0.866826057434082,0.21391041576862335,,,,,,,,,,,,,
,0.00014094322538665707,0.00014094322538665707,4025,,,,,,,,,,,,,,,
35,,,4039,,,0.2500185966491699,,,,,,,,,,,,
35,,,4059,,,0.019025374203920364,,,,,,,,,,,,
35,,,4079,,,0.6699699759483337,,,,,,,,,,,,
35,,,4099,,,0.0018817224772647023,,,,,,,,,,,,
35,,,4119,,,0.007824309170246124,,,,,,,,,,,,
35,,,4139,,,0.3572138845920563,,,,,,,,,,,,
35,,,4139,,,,0.6597278118133545,0.869071364402771,0.6431511640548706,0.9918789863586426,0.641473114490509,0.5390366911888123,0.6642102599143982,0.6616858243942261,0.7144877910614014,0.697998046875,0.4917207658290863,0.6597278118133545
35,,,4139,0.8861331343650818,0.18483082950115204,,,,,,,,,,,,,
,0.00013191949796170156,0.00013191949796170156,4140,,,,,,,,,,,,,,,
36,,,4159,,,0.005914457142353058,,,,,,,,,,,,
36,,,4179,,,0.5572171211242676,,,,,,,,,,,,
36,,,4199,,,0.3459252119064331,,,,,,,,,,,,
36,,,4219,,,0.48451346158981323,,,,,,,,,,,,
36,,,4239,,,0.01954401098191738,,,,,,,,,,,,
36,,,4254,,,,0.5393155813217163,0.8362549543380737,0.5502141714096069,1.6234768629074097,0.6420184373855591,0.42169827222824097,0.575760543346405,0.515961229801178,0.5024228692054749,0.7965168356895447,0.7531728744506836,0.5393155813217163
36,,,4254,0.8643763065338135,0.21804411709308624,,,,,,,,,,,,,
,0.00012296174432791413,0.00012296174432791413,4255,,,,,,,,,,,,,,,
37,,,4259,,,0.008625149726867676,,,,,,,,,,,,
37,,,4279,,,0.031900785863399506,,,,,,,,,,,,
37,,,4299,,,0.009632821194827557,,,,,,,,,,,,
37,,,4319,,,0.0015280956868082285,,,,,,,,,,,,
37,,,4339,,,0.0014983545988798141,,,,,,,,,,,,
37,,,4359,,,0.01098363846540451,,,,,,,,,,,,
37,,,4369,,,,0.5899430513381958,0.8532469272613525,0.6043712496757507,0.8681821227073669,0.6414926648139954,0.49331527948379517,0.6393836736679077,0.5642521381378174,0.7131476998329163,0.6355894804000854,0.6529814004898071,0.5899430513381958
37,,,4369,0.8816331624984741,0.18374432623386383,,,,,,,,,,,,,
