epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,test/acc,test/auroc,test/f1,test/mcc,train/acc,train/loss_epoch,train/loss_step,val/acc,val/f1,val/loss,val/mcc,val/precision
,0.0,0.0,0,,,,,,,,,,,,
0,,,19,,,,,,,17.888132095336914,,,,,
0,,,39,,,,,,,17.126739501953125,,,,,
0,,,59,,,,,,,27.27618408203125,,,,,
0,,,79,,,,,,,25.595975875854492,,,,,
0,,,99,,,,,,,30.710773468017578,,,,,
0,,,119,,,,,,,22.045637130737305,,,,,
0,,,139,,,,,,,22.462156295776367,,,,,
0,,,159,,,,,,,28.042865753173828,,,,,
0,,,179,,,,,,,26.55324935913086,,,,,
0,,,199,,,,,,,20.66246795654297,,,,,
0,,,219,,,,,,,25.730356216430664,,,,,
0,,,239,,,,,,,19.596202850341797,,,,,
0,,,259,,,,,,,23.189613342285156,,,,,
0,,,279,,,,,,,15.329585075378418,,,,,
0,,,299,,,,,,,22.573617935180664,,,,,
0,,,319,,,,,,,22.2397403717041,,,,,
0,,,339,,,,,,,30.883176803588867,,,,,
0,,,359,,,,,,,23.635448455810547,,,,,
0,,,379,,,,,,,25.07508087158203,,,,,
0,,,399,,,,,,,27.499237060546875,,,,,
0,,,419,,,,,,,28.219158172607422,,,,,
0,,,439,,,,,,,14.343514442443848,,,,,
0,,,459,,,,,,,23.341482162475586,,,,,
0,,,479,,,,,,,20.65140151977539,,,,,
0,,,499,,,,,,,23.800783157348633,,,,,
0,,,519,,,,,,,25.381038665771484,,,,,
0,,,539,,,,,,,25.67839813232422,,,,,
0,,,559,,,,,,,29.10041618347168,,,,,
0,,,579,,,,,,,31.418853759765625,,,,,
0,,,599,,,,,,,18.554588317871094,,,,,
0,,,619,,,,,,,23.600963592529297,,,,,
0,,,639,,,,,,,27.911605834960938,,,,,
0,,,659,,,,,,,30.70610237121582,,,,,
0,,,679,,,,,,,28.09449005126953,,,,,
0,,,699,,,,,,,21.845417022705078,,,,,
0,,,716,,,,,,,,0.2709348797798157,0.2642478346824646,18.506093978881836,0.026859937235713005,0.2694534957408905
0,,,716,,,,,0.2597581148147583,24.736053466796875,,,,,,
,2.9999999999999997e-05,2.9999999999999997e-05,717,,,,,,,,,,,,
1,,,719,,,,,,,16.004295349121094,,,,,
1,,,739,,,,,,,8.576324462890625,,,,,
1,,,759,,,,,,,5.34770393371582,,,,,
1,,,779,,,,,,,4.4692301750183105,,,,,
1,,,799,,,,,,,4.679374694824219,,,,,
1,,,819,,,,,,,4.412149906158447,,,,,
1,,,839,,,,,,,4.1510114669799805,,,,,
1,,,859,,,,,,,5.25032901763916,,,,,
1,,,879,,,,,,,4.958290100097656,,,,,
1,,,899,,,,,,,4.404532432556152,,,,,
1,,,919,,,,,,,4.071115970611572,,,,,
1,,,939,,,,,,,4.399636268615723,,,,,
1,,,959,,,,,,,4.281870365142822,,,,,
1,,,979,,,,,,,3.8929715156555176,,,,,
1,,,999,,,,,,,5.6437883377075195,,,,,
1,,,1019,,,,,,,5.218703746795654,,,,,
1,,,1039,,,,,,,5.3243560791015625,,,,,
1,,,1059,,,,,,,4.513197898864746,,,,,
1,,,1079,,,,,,,3.8184075355529785,,,,,
1,,,1099,,,,,,,5.067867279052734,,,,,
1,,,1119,,,,,,,4.203244209289551,,,,,
1,,,1139,,,,,,,5.2506489753723145,,,,,
1,,,1159,,,,,,,4.464372634887695,,,,,
1,,,1179,,,,,,,4.4921464920043945,,,,,
1,,,1199,,,,,,,3.8492674827575684,,,,,
1,,,1219,,,,,,,5.045797824859619,,,,,
1,,,1239,,,,,,,3.7875993251800537,,,,,
1,,,1259,,,,,,,4.397710800170898,,,,,
1,,,1279,,,,,,,5.374820709228516,,,,,
1,,,1299,,,,,,,4.934832572937012,,,,,
1,,,1319,,,,,,,3.643124580383301,,,,,
1,,,1339,,,,,,,4.047884941101074,,,,,
1,,,1359,,,,,,,3.5136406421661377,,,,,
1,,,1379,,,,,,,4.602566242218018,,,,,
1,,,1399,,,,,,,3.5495502948760986,,,,,
1,,,1419,,,,,,,4.808006763458252,,,,,
1,,,1433,,,,,,,,0.3028154671192169,0.1790086030960083,5.287287712097168,0.14164476096630096,0.3213467299938202
1,,,1433,,,,,0.26196232438087463,4.6541643142700195,,,,,,
,5.9999999999999995e-05,5.9999999999999995e-05,1434,,,,,,,,,,,,
2,,,1439,,,,,,,4.419483184814453,,,,,
2,,,1459,,,,,,,4.65655517578125,,,,,
2,,,1479,,,,,,,4.938484191894531,,,,,
2,,,1499,,,,,,,3.4526937007904053,,,,,
2,,,1519,,,,,,,3.2972373962402344,,,,,
2,,,1539,,,,,,,3.3691301345825195,,,,,
2,,,1559,,,,,,,4.8055877685546875,,,,,
2,,,1579,,,,,,,4.76937198638916,,,,,
2,,,1599,,,,,,,4.319602012634277,,,,,
2,,,1619,,,,,,,6.17274284362793,,,,,
2,,,1639,,,,,,,4.374950408935547,,,,,
2,,,1659,,,,,,,3.5737199783325195,,,,,
2,,,1679,,,,,,,4.508169174194336,,,,,
2,,,1699,,,,,,,4.078734397888184,,,,,
2,,,1719,,,,,,,3.56427001953125,,,,,
2,,,1739,,,,,,,4.426435470581055,,,,,
2,,,1759,,,,,,,3.726731777191162,,,,,
2,,,1779,,,,,,,2.968947172164917,,,,,
2,,,1799,,,,,,,3.98146390914917,,,,,
2,,,1819,,,,,,,5.194612503051758,,,,,
2,,,1839,,,,,,,6.283927917480469,,,,,
2,,,1859,,,,,,,3.56564998626709,,,,,
2,,,1879,,,,,,,4.286142349243164,,,,,
2,,,1899,,,,,,,3.6611928939819336,,,,,
2,,,1919,,,,,,,2.869586706161499,,,,,
2,,,1939,,,,,,,3.810559034347534,,,,,
2,,,1959,,,,,,,3.7326064109802246,,,,,
2,,,1979,,,,,,,3.866480827331543,,,,,
2,,,1999,,,,,,,5.0249152183532715,,,,,
2,,,2019,,,,,,,3.9219906330108643,,,,,
2,,,2039,,,,,,,3.7078142166137695,,,,,
2,,,2059,,,,,,,2.829739570617676,,,,,
2,,,2079,,,,,,,3.1245100498199463,,,,,
2,,,2099,,,,,,,2.886770248413086,,,,,
2,,,2119,,,,,,,2.854243755340576,,,,,
2,,,2139,,,,,,,3.423501968383789,,,,,
2,,,2150,,,,,,,,0.2581239640712738,0.14548759162425995,6.270049571990967,0.04308149963617325,0.3532226085662842
2,,,2150,,,,,0.27429696917533875,4.034002780914307,,,,,,
,8.999999999999999e-05,8.999999999999999e-05,2151,,,,,,,,,,,,
3,,,2159,,,,,,,4.385195255279541,,,,,
3,,,2179,,,,,,,2.594978094100952,,,,,
3,,,2199,,,,,,,4.856795787811279,,,,,
3,,,2219,,,,,,,2.967568874359131,,,,,
3,,,2239,,,,,,,3.229173183441162,,,,,
3,,,2259,,,,,,,4.757599353790283,,,,,
3,,,2279,,,,,,,2.9453015327453613,,,,,
3,,,2299,,,,,,,5.827604293823242,,,,,
3,,,2319,,,,,,,3.188081741333008,,,,,
3,,,2339,,,,,,,2.798612117767334,,,,,
3,,,2359,,,,,,,3.2354867458343506,,,,,
3,,,2379,,,,,,,2.0288748741149902,,,,,
3,,,2399,,,,,,,3.6802759170532227,,,,,
3,,,2419,,,,,,,3.1530494689941406,,,,,
3,,,2439,,,,,,,3.5530807971954346,,,,,
3,,,2459,,,,,,,5.719088554382324,,,,,
3,,,2479,,,,,,,4.651042938232422,,,,,
3,,,2499,,,,,,,2.8838388919830322,,,,,
3,,,2519,,,,,,,5.440739631652832,,,,,
3,,,2539,,,,,,,4.503891944885254,,,,,
3,,,2559,,,,,,,4.93178653717041,,,,,
3,,,2579,,,,,,,4.963836669921875,,,,,
3,,,2599,,,,,,,4.125410556793213,,,,,
3,,,2619,,,,,,,3.9745302200317383,,,,,
3,,,2639,,,,,,,4.7563157081604,,,,,
3,,,2659,,,,,,,3.5840377807617188,,,,,
3,,,2679,,,,,,,2.581937551498413,,,,,
3,,,2699,,,,,,,2.5284264087677,,,,,
3,,,2719,,,,,,,4.6388139724731445,,,,,
3,,,2739,,,,,,,3.570371150970459,,,,,
3,,,2759,,,,,,,2.4051222801208496,,,,,
3,,,2779,,,,,,,5.983468532562256,,,,,
3,,,2799,,,,,,,1.8670655488967896,,,,,
3,,,2819,,,,,,,3.3634822368621826,,,,,
3,,,2839,,,,,,,5.191431999206543,,,,,
3,,,2859,,,,,,,3.9100699424743652,,,,,
3,,,2867,,,,,,,,0.34533894062042236,0.29609283804893494,9.298998832702637,0.1638754904270172,0.3473312258720398
3,,,2867,,,,,0.30172890424728394,3.4901795387268066,,,,,,
,0.00011999999999999999,0.00011999999999999999,2868,,,,,,,,,,,,
4,,,2879,,,,,,,3.567941427230835,,,,,
4,,,2899,,,,,,,2.311319589614868,,,,,
4,,,2919,,,,,,,4.356724739074707,,,,,
4,,,2939,,,,,,,4.196250915527344,,,,,
